t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,26.1,15030
2.6,15,0,20.2,15033
3.6,15,0,21.3,15051
4.6,15,0,20.5,15052
5.7,15,0,20.8,15050
6.7,15,0,20.9,15063
7.7,15,0,19.9,15061
8.8,15,0,20.9,15043
9.8,15,0,21.4,15030
10.8,15,0,23.7,15003
11.8,15,0,20.7,14982
12.9,15,0,20.4,14984
13.9,15,0,20.6,14993
14.9,15,0,20.4,15000
16.0,15,0,20.6,15007
17.0,15,0,21.2,15015
18.0,15,0,20.0,15023
19.1,15,0,19.8,15032
20.1,15,0,20.1,15039
21.1,15,0,19.9,15052
22.2,15,0,15.7,15056
23.2,15,0,20.6,14319
24.2,15,0,19.1,14316
25.3,15,0,18.1,14318
26.3,15,0,16.7,14302
27.3,15,0,18.2,14265
28.4,15,0,18.3,14288
29.4,15,0,17.2,14267
30.4,15,0,15.7,14267
31.5,15,0,16.6,14273
32.5,15,0,16.8,14246
33.5,15,0,17.8,14246
34.6,15,0,16.5,14262
35.6,15,0,16.5,14224
36.6,15,0,23.0,14346
37.7,15,0,26.4,14595
38.7,15,0,16.2,14612
39.7,15,0,15.6,14599
40.8,15,0,16.6,14592
41.8,15,0,15.8,14605
42.8,15,0,16.3,14577
43.9,15,0,16.1,14571
44.9,15,0,16.1,14509
45.9,15,0,18.6,14261
47.0,15,0,15.6,14259
48.0,15,0,15.6,14230
49.0,15,0,18.4,14235
50.1,15,0,15.8,14234
51.1,15,0,16.0,14211
52.1,15,0,16.8,14209
53.2,15,0,17.6,14225
54.2,15,0,15.6,14219
55.2,15,0,18.9,14155
56.2,15,0,15.8,14181
57.3,15,0,17.8,14155
58.3,15,0,15.8,14151
59.3,15,0,16.3,14159
60.4,15,0,18.9,14196
61.4,15,0,54.3,14212
62.5,15,0,81.7,14212
63.5,15,0,16.1,14221
64.5,15,0,16.2,14209
65.6,15,0,15.8,14183
66.6,15,0,15.9,14192
67.6,15,0,15.7,14198
68.7,15,0,16.1,14200
69.7,15,0,15.6,14199
70.7,15,0,16.1,14208
71.8,15,0,16.4,14206
72.8,15,0,15.6,14214
73.8,15,0,15.7,14223
74.8,15,0,15.2,14230
75.9,15,0,16.2,14215
76.9,15,0,16.7,14205
77.9,15,0,17.5,14187
79.0,15,0,16.6,14205
80.0,15,0,15.7,14211
81.0,15,0,17.2,14225
82.1,15,0,16.5,14224
83.1,15,0,18.3,14218
84.1,15,0,16.6,14228
85.2,15,0,18.7,14220
86.2,15,0,16.4,14220
87.2,15,0,17.7,14242
88.3,15,0,16.8,14259
89.3,15,0,17.5,14186
90.3,15,0,16.7,14201
91.4,15,0,16.8,14211
92.4,15,0,15.1,14230
93.4,15,0,15.7,14231
94.5,15,0,15.4,14216
95.5,15,0,15.5,14202
96.5,15,0,21.3,14360
97.6,15,0,31.8,14643
98.6,15,0,18.2,14664
99.6,15,0,15.9,14665
100.7,15,0,15.9,14660
101.7,15,0,17.3,14588
102.7,15,0,17.0,14556
103.8,15,0,16.7,14546
104.8,15,0,17.8,14541
105.8,15,0,18.4,14302
106.8,15,0,19.4,14285
107.9,15,0,69.0,14257
108.9,15,0,90.5,14261
110.0,15,0,18.3,14258
111.0,15,0,79.0,14278
112.0,15,0,44.7,14295
113.1,15,0,77.6,14285
114.1,15,0,89.7,14260
115.2,15,0,51.8,14249
116.2,15,0,16.1,14257
117.2,15,0,16.3,14267
118.3,15,0,15.4,14232
119.3,15,0,15.6,14232
120.3,15,0,15.7,14227
121.4,15,0,15.8,14235
122.4,15,0,14.8,14233
123.4,15,0,15.9,14227
124.5,15,0,25.4,14244
125.5,15,0,92.4,14236
126.5,15,0,62.1,14269
127.6,15,0,72.1,14278
128.6,15,0,80.4,14295
129.6,15,0,16.3,14278
130.7,15,0,37.1,14259
131.7,15,0,71.7,14252
132.7,15,0,16.4,14246
133.8,15,0,16.4,14245
134.8,15,0,95.2,14264
135.8,15,0,62.6,14253
136.9,15,0,59.1,14257
137.9,15,0,15.8,14268
138.9,15,0,77.4,14289
140.0,15,0,16.6,14259
141.0,15,0,15.4,14242
142.0,15,0,15.1,14232
143.1,15,0,16.0,14255
144.1,15,0,15.8,14241
145.1,15,0,16.0,14238
146.2,15,0,15.6,14255
147.2,15,0,16.3,14256
148.2,15,0,15.8,14257
149.3,15,0,16.4,14249
150.3,15,0,16.1,14257
151.3,15,0,15.8,14272
152.4,15,0,16.1,14269
153.4,15,0,15.7,14300
154.4,15,0,15.8,14283
155.4,15,0,15.7,14262
156.5,15,0,20.4,14385
157.5,15,0,26.5,14585
158.5,15,0,16.6,14574
159.6,15,0,16.5,14563
160.6,15,0,15.5,14548
161.6,15,0,15.9,14472
162.7,15,0,16.1,14459
163.7,15,0,15.8,14474
164.7,15,0,16.3,14458
165.8,15,0,19.4,14232
166.8,15,0,19.8,14239
167.8,15,0,16.8,14232
