t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,16,9,33.0,12079
2.6,16,0,22.6,12214
3.6,16,0,22.2,12360
4.7,16,0,26.3,12397
5.7,16,0,22.8,12398
6.7,16,0,25.9,12377
7.7,16,0,24.2,12368
8.8,16,0,22.1,12375
9.8,16,0,21.1,12381
10.8,16,0,21.3,12359
11.9,16,0,24.2,12355
12.9,16,0,24.1,12352
13.9,16,0,28.0,12334
15.0,16,0,24.0,12235
16.0,16,0,24.3,12255
17.0,16,0,24.4,12220
18.1,16,0,24.7,12251
19.1,16,0,28.0,12252
20.1,16,0,30.7,12588
21.2,16,0,24.5,12687
22.2,16,0,24.7,12693
23.2,16,0,24.6,12632
24.3,16,0,32.0,12605
25.3,16,0,35.7,12588
26.4,16,0,33.1,12565
27.4,16,0,34.9,12616
28.4,16,0,36.2,12574
29.5,16,0,34.3,12541
30.5,16,0,42.9,12409
31.5,16,0,29.4,12452
32.6,16,0,27.2,12418
33.6,16,0,27.4,12390
34.6,16,0,26.1,12399
35.7,16,0,31.0,12399
36.7,16,0,25.9,12374
37.7,16,0,24.3,12332
38.8,16,0,24.8,12319
39.8,16,0,25.1,12210
40.8,16,0,28.2,12227
41.9,16,0,26.5,12219
42.9,16,0,27.5,12214
44.0,16,0,26.9,12204
45.0,16,0,27.0,12205
46.0,16,0,32.0,12204
47.1,16,0,28.1,12214
48.1,16,0,27.1,12214
49.1,16,0,27.2,12192
50.2,16,0,29.2,12185
51.2,16,0,28.6,12185
52.2,16,0,33.6,12224
53.3,16,0,25.0,12188
54.3,16,0,25.8,12202
55.3,16,0,25.5,12209
56.4,16,0,28.3,12210
57.4,16,0,30.6,12224
58.4,16,0,27.7,12209
59.5,16,0,26.2,12216
60.5,16,0,31.8,12672
61.5,16,0,34.0,12696
62.6,16,0,42.5,12969
63.6,16,0,46.7,12853
64.7,16,0,36.5,12870
65.7,16,0,27.4,12833
66.7,16,0,24.9,12810
67.8,16,0,26.0,12760
68.8,16,0,29.9,12750
69.8,16,0,29.2,12728
70.9,16,0,26.9,12687
71.9,16,0,29.1,12670
72.9,16,0,27.4,12666
74.0,16,0,29.7,12686
75.0,16,0,31.0,12690
76.0,16,0,28.2,12679
77.1,16,0,27.5,12678
78.1,16,0,27.4,12686
79.2,16,0,28.7,12688
80.2,16,0,37.9,13051
81.2,16,0,29.4,12962
82.3,16,0,33.2,12864
83.3,16,0,28.2,12717
84.3,16,0,26.8,12727
85.4,16,0,35.8,12535
86.4,16,0,26.9,12518
87.4,16,0,28.7,12477
88.5,16,0,28.0,12486
89.5,16,0,28.2,12479
90.5,16,0,32.9,12474
91.6,16,0,30.5,12456
92.6,16,0,27.9,12469
93.7,16,0,29.0,12457
94.7,16,0,30.0,12508
95.7,16,0,31.5,12450
96.8,16,0,27.4,12400
97.8,16,0,25.5,12375
98.8,16,0,29.7,12396
99.9,16,0,27.2,12401
100.9,16,0,31.3,12425
101.9,16,0,30.7,12430
103.0,16,0,27.7,12415
104.0,16,0,26.9,12420
105.0,16,0,29.3,12427
106.1,16,0,30.7,12425
107.1,16,0,32.6,12431
108.1,16,0,28.4,12392
109.2,16,0,29.2,12405
110.2,16,0,29.0,12403
111.2,16,0,26.9,12418
112.3,16,0,31.8,12446
113.3,16,0,26.5,12448
114.3,16,0,26.9,12436
115.4,16,0,28.1,12437
116.4,16,0,28.3,12455
117.5,16,0,34.4,12436
118.5,16,0,27.9,12458
119.5,16,0,29.9,12446
120.6,16,0,29.4,12468
121.6,16,0,29.2,12426
122.6,16,0,31.7,12468
123.7,16,0,30.6,12495
124.7,16,0,31.1,12502
125.7,16,0,28.7,12498
126.8,16,0,27.7,12503
127.8,16,0,30.7,12530
128.8,16,0,34.6,12446
129.9,16,0,26.7,12431
130.9,16,0,30.1,12455
131.9,16,0,32.2,12439
133.0,16,0,32.6,12478
134.0,16,0,31.9,12506
135.0,16,0,29.1,12494
136.1,16,0,29.3,12505
137.1,16,0,29.8,12486
138.1,16,0,31.4,12503
139.2,16,0,36.2,12518
140.2,16,0,38.3,12947
141.3,16,0,29.7,13011
142.3,16,0,29.7,12944
143.3,16,0,30.7,12981
144.4,16,0,35.4,12990
145.4,16,0,29.8,12948
146.4,16,0,30.2,12929
147.5,16,0,31.4,12889
148.5,16,0,30.6,12855
149.5,16,0,35.1,12857
150.6,16,0,31.8,12816
151.6,16,0,42.3,12488
152.6,16,0,32.6,12498
153.7,16,0,31.3,12513
154.7,16,0,35.8,12514
155.8,16,0,32.3,12497
156.8,16,0,31.9,12510
157.8,16,0,29.4,12499
158.9,16,0,31.2,12513
159.9,16,0,34.3,12525
160.9,16,0,32.0,12565
162.0,16,0,32.4,12563
163.0,16,0,34.6,12571
164.0,16,0,39.4,12602
165.1,16,0,35.4,12581
166.1,16,0,34.1,12622
167.2,16,0,31.5,12612
168.2,16,0,31.9,12599
