t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,35.0,13253
1.0,2241,0,28.5,13580
2.1,3049,0,20.7,13851
3.1,3035,19,27.0,13864
4.1,3033,31,26.2,13868
5.2,3033,9,25.3,13880
6.2,3033,52,24.8,13899
7.2,3033,45,27.2,13888
8.2,3035,14,27.5,13921
9.3,3037,43,25.8,13916
10.3,3033,7,24.6,13904
11.3,3049,46,29.6,13929
12.3,3033,18,23.4,13876
13.4,3039,4,26.2,13896
14.4,3033,18,26.7,13874
15.4,3035,25,30.1,13829
16.5,3035,24,35.0,13784
17.5,3039,26,30.4,13755
18.5,3033,28,33.6,13756
19.6,3033,29,29.9,13776
20.6,3033,27,29.4,13764
21.6,3033,26,30.7,13768
22.6,3039,24,30.1,13736
23.7,3039,25,30.8,13762
24.7,3033,24,36.0,13822
25.8,3033,0,31.9,13848
26.8,3057,7,33.8,13852
27.8,3039,5,29.5,13870
28.9,3033,20,36.2,13836
29.9,3033,9,29.0,13834
30.9,3035,0,27.2,13855
32.0,3033,50,32.4,13868
33.0,3039,14,32.3,13865
34.0,3049,14,34.3,13858
35.1,3033,16,30.6,13885
36.1,3033,0,25.9,13898
37.1,3033,54,31.0,13909
38.1,3033,7,25.9,13897
39.2,3039,57,30.9,13891
40.2,3033,18,30.8,13882
41.2,3033,0,27.8,13897
42.3,3033,50,28.7,13886
43.3,3035,20,28.0,13888
44.3,3057,32,29.3,13867
45.4,3035,56,31.6,13854
46.4,3033,26,30.6,13866
47.4,3039,54,38.2,13889
48.5,3033,52,29.5,13911
49.5,3033,58,32.4,13900
50.5,3039,16,31.5,13895
51.6,3033,58,27.8,13903
52.6,3033,22,33.6,13834
53.6,3033,0,29.7,13848
54.7,3039,0,33.4,13924
55.7,3057,54,27.6,13927
56.7,3033,47,25.5,13920
57.8,3033,49,26.7,13917
58.8,3039,37,30.1,13929
59.8,3033,38,35.1,13925
60.9,3049,10,34.7,13968
61.9,3057,22,37.7,14049
62.9,3033,44,38.4,14039
64.0,3035,49,47.5,14041
65.0,3033,51,42.0,14064
66.0,3033,27,44.8,14071
67.1,3033,15,48.4,14055
68.1,3039,10,47.2,14073
69.2,3033,33,41.2,14105
70.2,3049,47,44.3,14122
71.2,3033,35,42.7,14120
72.3,3039,22,50.2,14123
73.3,3039,15,44.6,14105
74.3,3049,0,48.9,14148
75.4,3033,15,42.6,14078
76.4,3049,22,46.0,14120
77.4,3033,0,42.7,14128
78.5,3057,54,44.6,14139
79.5,3033,0,48.4,14125
80.5,3035,18,42.8,14128
81.6,3049,60,48.1,14117
82.6,3033,26,41.0,14106
83.6,3049,0,46.2,14054
84.7,3039,44,44.5,14048
85.7,3039,16,48.6,14046
86.7,3033,38,46.7,13985
87.8,3049,0,37.2,14101
88.8,3039,22,42.3,14047
89.8,3039,23,32.9,14052
90.9,3033,59,29.5,14029
91.9,3035,57,28.8,14016
92.9,3057,24,32.0,14035
94.0,3033,48,29.4,14042
95.0,3033,4,30.3,14037
96.0,3033,5,32.1,14042
97.1,3039,11,32.5,14041
98.1,3033,21,33.0,14036
99.1,3035,20,32.0,14053
100.2,3033,19,33.1,14043
101.2,3033,26,29.7,14042
102.2,3033,54,30.5,14056
103.3,3049,19,30.3,14039
104.3,3035,12,28.3,14084
105.3,3039,60,30.9,14083
106.4,3033,10,30.8,14054
107.4,3033,17,22.8,14047
108.4,3033,0,13.9,14061
109.5,15,7,14.7,13202
110.5,15,0,13.5,13227
111.5,15,0,12.2,13256
112.6,15,0,10.0,13271
113.6,15,0,10.5,13262
114.6,15,0,16.9,13291
115.7,15,0,19.7,13242
116.7,15,0,26.0,13200
117.7,15,0,18.3,13278
