t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,88.9,18626
1.0,15,0,97.7,18724
2.1,15,0,96.5,18747
3.2,15,0,97.0,18742
4.3,15,0,92.0,18737
5.3,15,0,96.8,18769
6.4,15,0,97.8,18786
7.5,15,0,97.4,18815
8.5,15,0,96.5,18841
9.6,15,0,97.2,18690
10.6,15,0,96.9,18758
11.7,15,0,96.2,18774
12.7,15,0,96.4,18810
13.8,15,0,95.4,18822
14.9,15,0,96.4,18878
15.9,15,0,96.4,18853
17.0,15,0,96.7,18922
18.0,15,0,95.6,18823
19.1,15,0,95.8,18846
20.1,15,0,90.1,18818
21.2,15,0,94.2,18876
22.2,15,0,96.5,18863
23.3,15,0,95.9,18906
24.3,15,0,95.9,18903
25.4,15,0,97.2,18941
26.5,15,0,96.7,18896
27.5,15,0,97.8,18930
28.6,15,0,97.2,18907
29.6,15,0,97.0,18895
30.7,15,0,96.6,18960
31.7,15,0,97.0,19019
32.8,15,0,96.9,19051
33.8,15,0,96.7,19024
34.9,15,0,97.2,19039
35.9,15,0,96.8,19014
37.0,15,0,96.9,19020
38.0,15,0,96.2,18998
39.1,15,0,94.5,19041
40.1,15,0,95.4,19024
41.1,15,0,96.4,19051
42.2,15,0,97.0,19078
43.2,15,0,96.9,19048
44.3,15,0,95.7,19030
45.3,15,0,95.2,19076
46.4,15,0,95.1,19114
