# timestamp tx ty tz qx qy qz qw
1.403636579763555765e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.073758096550737090e-02 -8.009008259121380702e-01 0.000000000000000000e+00 5.974096722939241655e-01
1.403636579813555479e+09 3.869347274303436279e-04 -7.478141924366354942e-05 -2.071715891361236572e-03 -4.345868555618478957e-02 -7.997070005898195832e-01 -1.503419955540539685e-03 5.988136568130358883e-01
1.403636579863555670e+09 1.899732742458581924e-03 -3.379026311449706554e-04 -7.860098034143447876e-03 -4.505340555601487079e-02 -8.008328321814339734e-01 -3.101128481923460210e-03 5.971828434828040377e-01
1.403636579913555622e+09 4.492932930588722229e-03 -6.985952495597302914e-04 -1.666026376187801361e-02 -4.697903417502011930e-02 -8.034940614736083564e-01 -2.755302818120392450e-03 5.934498056542002464e-01
1.403636579963555574e+09 -1.880446914583444595e-03 -3.410288132727146149e-03 -8.542641252279281616e-02 -4.265109525699412735e-02 -8.132684375862632153e-01 -5.592273182330423364e-03 5.802965267688849904e-01
1.403636580013555527e+09 -9.429162018932402134e-04 -4.791732411831617355e-03 -1.132241636514663696e-01 -4.409659400638053089e-02 -8.185934550296511958e-01 -4.382303198563758904e-03 5.726613669511245730e-01
1.403636580063555717e+09 -1.179754151962697506e-03 -4.826994147151708603e-03 -1.411360204219818115e-01 -4.277775184928205021e-02 -8.197566384515920790e-01 -6.976392640942653649e-03 5.710695645952307276e-01
1.403636580113555431e+09 -3.949814708903431892e-04 -6.145832594484090805e-03 -1.678929179906845093e-01 -4.463329310642855097e-02 -8.213284192032619391e-01 -5.004183599211928929e-03 5.686848469073636503e-01
1.403636580163555622e+09 8.859329391270875931e-04 -7.410382851958274841e-03 -1.939709335565567017e-01 -4.540008624215371297e-02 -8.224212427974332273e-01 -3.981324795991032263e-03 5.670505097586981957e-01
1.403636580213555574e+09 2.106368774548172951e-03 -8.376402780413627625e-03 -2.184038311243057251e-01 -4.516062684043308656e-02 -8.237537374151737701e-01 -3.655415098081689004e-03 5.651344404815304978e-01
1.403636580263555765e+09 3.504344029352068901e-03 -9.595964103937149048e-03 -2.409564703702926636e-01 -4.471395308254522138e-02 -8.252397353003194658e-01 -3.678462046864462796e-03 5.629977891592119477e-01
1.403636580313555479e+09 5.386722274124622345e-03 -1.075321622192859650e-02 -2.611331343650817871e-01 -4.279888578888491751e-02 -8.275932254019162659e-01 -5.246905346463767890e-03 5.596697049406627045e-01
1.403636580363555670e+09 7.718430366367101669e-03 -1.232827827334403992e-02 -2.793895304203033447e-01 -4.195051156729788511e-02 -8.306672353270756481e-01 -4.469333563937616903e-03 5.551685543965986236e-01
1.403636580413555622e+09 1.010943483561277390e-02 -1.358313579112291336e-02 -2.950615286827087402e-01 -4.097098972686099433e-02 -8.349262548272166073e-01 -5.108446028010328425e-03 5.488109244358917449e-01
1.403636580463555574e+09 1.225607190281152725e-02 -1.490693446248769760e-02 -3.066892027854919434e-01 -4.064794934512136471e-02 -8.398051121763780991e-01 -4.501833970973615970e-03 5.413454084661246668e-01
1.403636580513555527e+09 1.374807395040988922e-02 -1.601663790643215179e-02 -3.128923475742340088e-01 -4.064361001479446789e-02 -8.444507708649235944e-01 -4.017171911131247643e-03 5.340738290540344435e-01
1.403636580563555717e+09 1.425653416663408279e-02 -1.673374325037002563e-02 -3.100417256355285645e-01 -4.102534950233371197e-02 -8.479156629157280634e-01 -2.283061264745114144e-03 5.285364102043060841e-01
1.403636580613555431e+09 1.388578303158283234e-02 -1.728787459433078766e-02 -2.975987493991851807e-01 -4.076727232661490202e-02 -8.492354236027583880e-01 -6.468061664287600831e-04 5.264378467084924740e-01
1.403636580663555622e+09 1.256527286022901535e-02 -1.764957979321479797e-02 -2.763452529907226562e-01 -4.046734289410493235e-02 -8.485858757476336667e-01 -8.476377419003932679e-04 5.275070493850970710e-01
1.403636580713555574e+09 1.029397640377283096e-02 -1.778855733573436737e-02 -2.488160282373428345e-01 -3.943559819223658308e-02 -8.466300195051391642e-01 -3.477168431127961989e-03 5.307074080580087561e-01
1.403636580763555765e+09 7.309598848223686218e-03 -1.730800978839397430e-02 -2.164399027824401855e-01 -3.815539101264214805e-02 -8.438805760901740838e-01 -7.346131684893723868e-03 5.351222045324378618e-01
1.403636580813555479e+09 3.771660150960087776e-03 -1.668737642467021942e-02 -1.804627627134323120e-01 -3.736221409165543100e-02 -8.404881338757314024e-01 -1.231409885873793048e-02 5.403999673774577683e-01
1.403636580863555670e+09 6.020588625688105822e-05 -1.614967174828052521e-02 -1.414199322462081909e-01 -3.734788306934923308e-02 -8.365286607322232060e-01 -1.871846806706627120e-02 5.463282478117101881e-01
1.403636580913555622e+09 -3.649481805041432381e-03 -1.593599654734134674e-02 -1.018253043293952942e-01 -3.739129360511110611e-02 -8.324868637010593986e-01 -2.523481646848994842e-02 5.522053213846385145e-01
1.403636580963555574e+09 -7.030107080936431885e-03 -1.656721532344818115e-02 -6.267552077770233154e-02 -3.699187752662913553e-02 -8.283312509808528068e-01 -2.835935028642892070e-02 5.582962357896403827e-01
1.403636581013555527e+09 -1.001069601625204086e-02 -1.725688576698303223e-02 -2.625039964914321899e-02 -3.599860426657827683e-02 -8.245095994774042092e-01 -2.934973797772042967e-02 5.639384840043353275e-01
1.403636581063555717e+09 -1.272488664835691452e-02 -1.837210357189178467e-02 7.799934130162000656e-03 -3.566300407569127084e-02 -8.207839522821694933e-01 -2.889281811820570978e-02 5.693918324647330165e-01
1.403636581113555431e+09 -1.520145777612924576e-02 -1.837403699755668640e-02 3.906400874257087708e-02 -3.666631351274320799e-02 -8.169331804378267003e-01 -2.885646997193103830e-02 5.748417732679848013e-01
1.403636581163555622e+09 -1.730149425566196442e-02 -1.801941171288490295e-02 6.810168921947479248e-02 -3.908784834475616254e-02 -8.122858532396746156e-01 -2.787145066350176295e-02 5.812804959538749872e-01
1.403636581213555574e+09 -1.857712119817733765e-02 -1.713710092008113861e-02 9.378736466169357300e-02 -4.072576164926941522e-02 -8.075011071436613008e-01 -2.748488548940973206e-02 5.878162598716391019e-01
1.403636581263555765e+09 -1.939631067216396332e-02 -1.618007011711597443e-02 1.170332580804824829e-01 -4.246089350241500499e-02 -8.022680988657304724e-01 -2.631976854793736942e-02 5.948699352370449001e-01
1.403636581313555479e+09 -1.870139874517917633e-02 -1.540139317512512207e-02 1.343018263578414917e-01 -4.143738344791152856e-02 -7.977439108663548772e-01 -2.691895681942136145e-02 6.009683566481669459e-01
1.403636581363555670e+09 -1.744495145976543427e-02 -1.530153397470712662e-02 1.442678570747375488e-01 -4.138775384751669506e-02 -7.942721541218062953e-01 -2.788594817708837589e-02 6.055090196788384116e-01
1.403636581413555622e+09 -1.576280221343040466e-02 -1.471432670950889587e-02 1.450014263391494751e-01 -4.046124050688802709e-02 -7.931551601597557344e-01 -3.136413413254177801e-02 6.068641289602739741e-01
1.403636581463555574e+09 -1.387534011155366898e-02 -1.366444863379001617e-02 1.362813860177993774e-01 -3.885419272498516485e-02 -7.943574741740582201e-01 -3.411494548902417601e-02 6.052460040560212473e-01
1.403636581513555527e+09 -1.203201990574598312e-02 -1.251353882253170013e-02 1.189902275800704956e-01 -3.768607226901273671e-02 -7.975310082774468290e-01 -3.639328105216521614e-02 6.009988185405625849e-01
1.403636581563555717e+09 -1.120332814753055573e-02 -1.161695364862680435e-02 9.501275420188903809e-02 -3.926195046921058390e-02 -8.011734760613334894e-01 -3.592293565560264468e-02 5.960613250287561948e-01
1.403636581613555431e+09 -1.049480959773063660e-02 -1.053017005324363708e-02 6.682461500167846680e-02 -3.984252028220005432e-02 -8.050809577983594201e-01 -3.405746104419694886e-02 5.908445771226658039e-01
1.403636581663555622e+09 -9.806965477764606476e-03 -9.655189700424671173e-03 3.550672903656959534e-02 -4.146369677828416062e-02 -8.081093090130063716e-01 -3.212772783949999211e-02 5.866923517823212642e-01
1.403636581713555574e+09 -9.009478613734245300e-03 -7.498377934098243713e-03 3.343837568536400795e-03 -3.994204664533693161e-02 -8.104066474471190995e-01 -3.220078572924205823e-02 5.836170046200864769e-01
1.403636581763555765e+09 -7.726999465376138687e-03 -5.858196411281824112e-03 -3.036268614232540131e-02 -4.076658637504037425e-02 -8.114835029027132052e-01 -2.987219361996981681e-02 5.821857624507830176e-01
1.403636581813555479e+09 -5.552592687308788300e-03 -5.068589933216571808e-03 -6.396681815385818481e-02 -3.921532779644860273e-02 -8.124028752394614195e-01 -2.709234608639743414e-02 5.811451893907477739e-01
1.403636581863555670e+09 -3.389282617717981339e-03 -4.425694700330495834e-03 -9.782975167036056519e-02 -3.904695500987176437e-02 -8.137646271843638202e-01 -2.584642154315250351e-02 5.793051262861085293e-01
1.403636581913555622e+09 -7.216227822937071323e-04 -4.655670840293169022e-03 -1.313417404890060425e-01 -4.009177387707146129e-02 -8.164148625220175592e-01 -2.276217108347173071e-02 5.756225373351114838e-01
1.403636581963555574e+09 1.980488654226064682e-03 -4.725313279777765274e-03 -1.634020060300827026e-01 -4.243275908300306321e-02 -8.201004291063050955e-01 -2.359741001869649149e-02 5.701560394985460967e-01
1.403636582013555527e+09 4.189521539956331253e-03 -5.520361941307783127e-03 -1.927525848150253296e-01 -4.490100934289334433e-02 -8.245091382076608078e-01 -2.405501513173155179e-02 5.635511836728427371e-01
1.403636582063555717e+09 6.322392262518405914e-03 -6.075789220631122589e-03 -2.198441028594970703e-01 -4.589368773605445595e-02 -8.292570706782489420e-01 -2.502698822783593763e-02 5.564172265632677528e-01
1.403636582113555431e+09 8.276359178125858307e-03 -7.053553126752376556e-03 -2.419659197330474854e-01 -4.523909670716439596e-02 -8.339528134882530086e-01 -2.485316900450086283e-02 5.494164622529804642e-01
1.403636582163555622e+09 1.034692861139774323e-02 -8.876495063304901123e-03 -2.577862143516540527e-01 -4.494988917672415596e-02 -8.378324409169033427e-01 -2.262891454890566395e-02 5.436030175013399912e-01
1.403636582213555574e+09 1.174605078995227814e-02 -1.066493801772594452e-02 -2.661454081535339355e-01 -4.365157562583898976e-02 -8.409827070401595384e-01 -2.130625698262049450e-02 5.388772307475770962e-01
1.403636582263555765e+09 1.181786879897117615e-02 -1.213958673179149628e-02 -2.656231224536895752e-01 -4.298718161466837800e-02 -8.429630774829869333e-01 -2.053127943048197596e-02 5.358580211046457542e-01
1.403636582313555479e+09 1.069901976734399796e-02 -1.354873739182949066e-02 -2.555425465106964111e-01 -4.224524897048373417e-02 -8.435545319133122000e-01 -1.923487093412933058e-02 5.350337469432017157e-01
1.403636582363555670e+09 8.946214802563190460e-03 -1.505714748054742813e-02 -2.370521426200866699e-01 -4.222083958300835299e-02 -8.421615457510464031e-01 -1.805240739840580436e-02 5.372666397146169670e-01
1.403636582413555622e+09 7.238254416733980179e-03 -1.654261350631713867e-02 -2.121517062187194824e-01 -4.180747953763108704e-02 -8.387550587488026288e-01 -1.806449118341489288e-02 5.426009217060798751e-01
