timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403636579813555456, -2.831540803716656007e-13, 2.766359127644595815e-13, 3.551858891473454603e-13, -4.499593244186902291e-02, -8.078785695589401072e-01, -1.954620449731938551e-03, 5.876255290318700419e-01, -2.047770964905108390e-02, -3.308339707585558273e-03, -3.692885215681107614e-01, -3.320247780157897614e-03, 2.136346857407842026e-02, 7.771080269257875373e-02, -3.654190223925826708e-02, 1.082449307586313830e-01, 4.799667651835352877e-02, 0
1403636579863555584, -8.000655671509251596e-04, -3.460461173922923660e-04, -2.006089149906381888e-02, -4.500853905231603364e-02, -8.092613729704695169e-01, -4.657496538597726866e-03, 5.857034824519312677e-01, -1.601439910810464884e-02, -9.849772480726626603e-03, -4.295690969739786036e-01, -3.320305655287699928e-03, 2.136390906852438792e-02, 7.771235800911813207e-02, -3.652641819943489021e-02, 1.082627811207482749e-01, 4.808333873318934581e-02, 0
1403636579913555456, -1.140255395645335679e-03, -1.115783970505217172e-03, -4.301282544746656139e-02, -4.530048935031592144e-02, -8.122526956146711719e-01, -5.403257433013435723e-03, 5.815188981799602752e-01, 3.310663719870882669e-03, -2.255083230450622214e-02, -4.852287835129222571e-01, -3.320231755842529935e-03, 2.136434020534442452e-02, 7.771388664648663791e-02, -3.652400208247626179e-02, 1.082659731470612119e-01, 4.820203748755883671e-02, 0
1403636579963555584, -8.557791271835363603e-04, -2.411098448137299378e-03, -6.779614042857229350e-02, -4.554046379985855070e-02, -8.158016523000831688e-01, -4.986121094744218156e-03, 5.765144133998528764e-01, 4.951548617597917312e-03, -2.211948452844352681e-02, -4.813227405553644478e-01, -3.320231755842529935e-03, 2.136434020534442452e-02, 7.771388664648663791e-02, -3.652400208247626179e-02, 1.082659731470612119e-01, 4.820203748755883671e-02, 3
1403636580013555456, -3.707019665359478217e-04, -3.928239312903344764e-03, -9.430544312080328673e-02, -4.706955190569817732e-02, -8.185292045253553805e-01, -3.611086996310262920e-03, 5.725219285522528123e-01, 3.476804170035874275e-03, -2.200374334279156519e-02, -4.833955438213294320e-01, -3.320231755842529935e-03, 2.136434020534442452e-02, 7.771388664648663791e-02, -3.652400208247626179e-02, 1.082659731470612119e-01, 4.820203748755883671e-02, 3
1403636580063555584, 3.382927466141841255e-04, -5.513778888932662284e-03, -1.216426411519909434e-01, -4.799825085158340721e-02, -8.205436312552437661e-01, -3.127509248776750607e-03, 5.695564377720140348e-01, 3.160993439042691922e-03, -2.162150313002460245e-02, -4.858731336646655019e-01, -3.320231755842529935e-03, 2.136434020534442452e-02, 7.771388664648663791e-02, -3.652400208247626179e-02, 1.082659731470612119e-01, 4.820203748755883671e-02, 3
1403636580113555456, 8.754201658089724725e-04, -6.810048881016926917e-03, -1.481414289435870058e-01, -4.970631342223188337e-02, -8.218365424988773871e-01, -1.209972052799751030e-03, 5.675495712156720662e-01, 1.928288210077039322e-03, -2.096694592929645995e-02, -4.871147179583295572e-01, -3.320231755842529935e-03, 2.136434020534442452e-02, 7.771388664648663791e-02, -3.652400208247626179e-02, 1.082659731470612119e-01, 4.820203748755883671e-02, 3
1403636580163555584, 2.150357913687304945e-03, -8.284579424490141203e-03, -1.736562267544347893e-01, -5.061829749360806374e-02, -8.228731913743417836e-01, 2.590262822939944104e-05, 5.659659867918814813e-01, 3.397270322934742293e-03, -2.011699024644038325e-02, -4.876252020387853992e-01, -3.320231755842529935e-03, 2.136434020534442452e-02, 7.771388664648663791e-02, -3.652400208247626179e-02, 1.082659731470612119e-01, 4.820203748755883671e-02, 3
1403636580213555456, 3.185772410468586113e-03, -9.494051181400063252e-03, -1.975659851512156784e-01, -5.050023291240406109e-02, -8.240826049756669880e-01, 5.374455904777458021e-04, 5.642138759411623461e-01, 2.888484480686515088e-03, -1.856451151235639918e-02, -4.870689911155309249e-01, -3.320231755842529935e-03, 2.136434020534442452e-02, 7.771388664648663791e-02, -3.652400208247626179e-02, 1.082659731470612119e-01, 4.820203748755883671e-02, 3
1403636580263555584, 5.132832253139677121e-03, -1.164542857153644598e-02, -2.186599898601663539e-01, -4.963069468819276964e-02, -8.255941685570182820e-01, -6.301524604181829971e-05, 5.620774493061357902e-01, 2.800701539216628524e-02, -3.197501215904429567e-02, -4.151810388404804653e-01, -3.319734309181659408e-03, 2.136779883375573841e-02, 7.772500929783611456e-02, -3.743735910835697955e-02, 1.073238401039942197e-01, 4.864023929606890728e-02, 0
