timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1403636579813555456, -1.200763936946438718e-17, 1.370092811807381856e-17, 1.286632563869822051e-16, -4.674907448183508729e-02, -8.134669585975735639e-01, 5.581783821007177057e-05, 5.797292714616664178e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000278e-02, 8.999999999999999667e-02, 1.000000000000000021e-02, 
1403636579863555584, 2.682861222694667537e-04, -4.278667606392396903e-04, -2.343356469077333484e-02, -3.839180788586314674e-02, -8.091515149752378511e-01, -1.424000107578083166e-02, 5.861715766479081990e-01, 4.456127685037006118e-03, -1.576553159154736941e-02, -4.969274367710848073e-01, -7.850277182412927768e-03, 1.321555839244887860e-03, 1.724113773389794949e-02, -4.895978866427801862e-02, 8.997667531408896913e-02, 9.664057834063726274e-03, 
1403636579913555456, 1.850980669989318482e-03, 6.610892194633738103e-04, -4.552441456432332334e-02, -3.873283337125178749e-02, -8.233032299241085372e-01, -1.575514352539725965e-02, 5.660594797970084358e-01, 1.478880744727072150e-02, -1.318594481294990510e-02, -5.102139522713821096e-01, -8.137449065111558230e-03, 1.031454861023476006e-02, 3.859348925173791689e-02, -4.547290612607240295e-02, 8.991054870422840462e-02, 8.319525737857848963e-03, 
1403636579963555584, 1.132668151714610769e-04, -2.345436964265420771e-03, -6.900489491402690689e-02, -4.618453198593396036e-02, -8.167907014226409856e-01, -4.209863514781282158e-03, 5.750671405357268284e-01, 1.089599453596331972e-02, -2.129810140658163972e-02, -5.207914291790007866e-01, -5.896010031181723142e-03, 1.561491678180216072e-02, 5.160867905714130316e-02, -3.801606940228709208e-02, 8.939395652970517914e-02, 5.885686977562522466e-03, 
1403636580013555456, 5.800218171286495835e-04, -3.714304812142982942e-03, -9.452625761776163593e-02, -4.681080406875551964e-02, -8.198922431827747603e-01, -4.186467799573872529e-03, 5.705856041634045361e-01, 1.194305804604489998e-02, -3.719497474864640746e-02, -5.403968903179817707e-01, -5.427923988598142881e-03, 1.751164041138175004e-02, 5.702579723565460307e-02, -5.046374197409295159e-02, 9.001614711706984462e-02, 1.021782944674391909e-02, 
1403636580063555584, 8.305685748716257330e-04, -5.455451366804012561e-03, -1.207870483779180382e-01, -4.811607294521041966e-02, -8.208848613235553149e-01, -3.020309138965905724e-03, 5.690551517268281900e-01, 9.855593989914914962e-03, -1.924376113106133698e-02, -5.297718720664269521e-01, -5.042378190909050859e-03, 1.875638872319849298e-02, 6.129968845866464594e-02, -5.400781941037650219e-02, 9.014592828759217247e-02, 1.138038295060751076e-02, 
1403636580113555456, 1.374603894655352038e-03, -6.480501612353145244e-03, -1.470099624773754665e-01, -4.913562567155840138e-02, -8.225440035899005409e-01, -2.168628758234700856e-03, 5.665706924095801345e-01, 1.378957211543323062e-02, -2.863042498088627652e-02, -5.199425413959980480e-01, -5.342748320399432274e-03, 1.944092199145241659e-02, 6.393518846972554015e-02, -2.520213968372393698e-02, 8.872497907434469255e-02, 3.988353760113797462e-04, 
1403636580163555584, 1.890949927601503480e-03, -7.802399790545411044e-03, -1.732655063907108661e-01, -4.996488031516304468e-02, -8.226003326672022276e-01, -9.391476529017997758e-04, 5.664197396212335978e-01, 1.759570948943611768e-02, -2.313041989709750668e-02, -4.962328347889276570e-01, -5.361050588844940706e-03, 1.945803318579510804e-02, 6.480359689033560189e-02, -1.933030712651893912e-02, 8.821261002876211454e-02, -1.906437380443008018e-03, 
1403636580213555456, 2.811431743619398783e-03, -8.884197946232460369e-03, -1.977060345799837859e-01, -4.990778248319549526e-02, -8.235033497098577238e-01, -3.232946347282109208e-04, 5.651117957933924352e-01, 2.275018870251651823e-02, -2.064337264449120010e-02, -4.605931052225291089e-01, -5.370252982391246314e-03, 1.944420691097173068e-02, 6.579713362081393568e-02, -3.368323589704828869e-02, 8.890259882140728875e-02, 3.595723917810521048e-03, 
1403636580263555584, 3.692087529207954081e-03, -9.808438324755435270e-03, -2.195225865859523617e-01, -4.926575123954117508e-02, -8.246380765043732630e-01, -4.167515513483623459e-04, 5.635110955891780016e-01, 2.486582734542368625e-02, -2.486408156467226349e-02, -4.169856972313801813e-01, -5.734834972211354243e-03, 1.927750158959235308e-02, 6.635050637311255828e-02, -4.151438193697570139e-02, 8.942978454786673637e-02, 6.336091005869256762e-03, 
1403636580313555456, 5.550254040232327143e-03, -1.098267281110965575e-02, -2.397316856401523755e-01, -4.712864837400453089e-02, -8.270045193402810746e-01, -2.284285138378332278e-03, 5.602117434815130359e-01, 4.057482140072788540e-02, -2.534996831837187103e-02, -3.797418182488288552e-01, -5.445862680682792348e-03, 1.968721720211194515e-02, 6.782545161753845975e-02, -3.463264546377659014e-02, 8.865351530530665713e-02, 2.352790044775433364e-03, 
1403636580363555584, 7.598395527280348699e-03, -1.233128634060583033e-02, -2.581613504456238273e-01, -4.605509166357794892e-02, -8.300444875082098051e-01, -1.779121697880615971e-03, 5.557894493556683191e-01, 4.402592661777835620e-02, -3.069818436213747267e-02, -3.504170242927203138e-01, -5.161018722741691871e-03, 1.976906914440428389e-02, 6.856737881780390620e-02, -3.382079140954125096e-02, 8.827737427723868213e-02, 2.378850631855919211e-03, 
1403636580413555456, 9.924894620380569910e-03, -1.396447842954718667e-02, -2.739813555888925278e-01, -4.526913556486737017e-02, -8.342340997630017796e-01, -2.467418198840252725e-03, 5.495435233038923339e-01, 3.987542129290790049e-02, -2.619901313092882697e-02, -2.908894986037580122e-01, -4.504551451036942038e-03, 1.964055098835686131e-02, 6.871795866702368194e-02, -4.378747841306251942e-02, 8.837147719065746587e-02, 7.637529743079653904e-03, 
1403636580463555584, 1.173745952162234818e-02, -1.553330199844199337e-02, -2.862002271877038817e-01, -4.489313382899999538e-02, -8.389610451588809248e-01, -1.607330111604166143e-03, 5.423342029881962345e-01, 3.182218218093127438e-02, -2.556474806561074772e-02, -2.006734901948775129e-01, -4.520129140437404228e-03, 1.989038500435038812e-02, 6.979057551243211810e-02, -4.593211388380455396e-02, 8.825392282876175221e-02, 9.557639724859704963e-03, 
1403636580513555456, 1.299573959161362709e-02, -1.656855216112728194e-02, -2.932119799328617438e-01, -4.488218245227443282e-02, -8.435142140616341822e-01, -1.171870996773957197e-03, 5.352270425648084640e-01, 1.452871926915416841e-02, -2.147162959793263298e-02, -6.354262694498817587e-02, -4.663937065411610967e-03, 1.925295251091864446e-02, 6.966234109100599703e-02, -4.715227329128404699e-02, 8.835064290329609771e-02, 1.113738273567846035e-02, 
1403636580563555584, 1.357354405863273918e-02, -1.775204678652836029e-02, -2.903283660990517712e-01, -4.533522044964581610e-02, -8.470714187939312190e-01, 7.157887404097765379e-04, 5.295415157432867836e-01, 3.596294831242463630e-03, -1.103214834584856016e-02, 1.157426584032837380e-01, -4.289418777688577301e-03, 1.978466960143066694e-02, 7.078963013190883724e-02, -4.767462651693254311e-02, 8.876664326237791725e-02, 1.398505620318430016e-02, 
1403636580613555456, 1.321615781497680053e-02, -1.830484172277551877e-02, -2.792446971934647304e-01, -4.511620491908286540e-02, -8.484134998389866178e-01, 2.375935196619663719e-03, 5.274025182691134406e-01, -1.072987867084747478e-02, -5.856890116707124880e-03, 3.070641953470845120e-01, -3.862307197361883500e-03, 2.018730681143538278e-02, 7.171914256345392202e-02, -5.467913538758491926e-02, 8.967895838747470816e-02, 2.434125665149687243e-02, 
1403636580663555584, 1.208458776988591103e-02, -1.841717741585846210e-02, -2.596673208271293443e-01, -4.484201597179000159e-02, -8.476622830527017483e-01, 2.395483441813344491e-03, 5.286323005195077140e-01, -2.831545558688382952e-02, -3.132357647193231842e-03, 4.588602881453385240e-01, -4.002269849277332626e-03, 2.036917069776627079e-02, 7.223890107541271199e-02, -5.167864629667864862e-02, 9.012836462691729833e-02, 2.046794792235568164e-02, 
1403636580713555456, 1.022305820996917414e-02, -1.839551853577749488e-02, -2.325941556339592986e-01, -4.391492388347278952e-02, -8.456884135976141526e-01, -1.129109663127762575e-04, 5.318670640471858668e-01, -4.470663313224831209e-02, 1.238921670606159785e-02, 5.852513193085836507e-01, -3.671125578901234150e-03, 2.071465470695765462e-02, 7.323430958682196346e-02, -5.160966949591797026e-02, 9.047565700088629204e-02, 2.017744218793680530e-02, 
1403636580763555584, 7.277093485278855398e-03, -1.774658050468921888e-02, -2.007401223779612109e-01, -4.251476656785444647e-02, -8.428101213772458689e-01, -4.185667534540938109e-03, 5.365128834567194360e-01, -6.644094482427018167e-02, 2.027893309624882734e-02, 6.858960458379647074e-01, -3.669043758402611849e-03, 2.098332999270155833e-02, 7.368197874771688360e-02, -4.787593909855028529e-02, 9.157205527215504792e-02, 1.274302378933616850e-02, 
1403636580813555456, 4.102265998734904578e-03, -1.687687818839817694e-02, -1.637516466843532692e-01, -4.157447574347382380e-02, -8.397899115095969202e-01, -9.425517852491842319e-03, 5.412352788820875560e-01, -6.729932569981542101e-02, 1.667818358218209340e-02, 7.607892009341469253e-01, -3.492974696238263475e-03, 2.124514083637218942e-02, 7.463220691478379687e-02, -5.344708758177769276e-02, 9.156992205926085815e-02, 2.748615877658200368e-02, 
1403636580863555584, 6.038553751957921167e-04, -1.626178539877910084e-02, -1.250943567244882648e-01, -4.163679704950994792e-02, -8.355757245822298396e-01, -1.580764893333923976e-02, 5.475670770376354080e-01, -7.165569343850083928e-02, 1.781777571078350247e-02, 7.998439630592244498e-01, -3.432853755461280371e-03, 2.124762448768111739e-02, 7.480666253509266062e-02, -5.169789980773792371e-02, 9.260024897738716732e-02, 2.254943480038625048e-02, 
1403636580913555456, -2.601499629671045078e-03, -1.593551848099826473e-02, -8.526855953933949739e-02, -4.167090900248378305e-02, -8.314783256430899883e-01, -2.254706101078234395e-02, 5.535331601344642971e-01, -6.292088371785478640e-02, -1.903423756935012723e-03, 7.906770164459924199e-01, -3.172390831407286092e-03, 2.135354174444580380e-02, 7.557715296805683769e-02, -5.109110230362562399e-02, 9.253743341641949838e-02, 2.644090804147138096e-02, 
1403636580963555584, -5.368729169912245767e-03, -1.637521842677243725e-02, -4.728016070372275531e-02, -4.127540849985945892e-02, -8.270164984963636057e-01, -2.568254788557288240e-02, 5.600718334303996793e-01, -4.940817854892388256e-02, -1.035904517767914992e-02, 7.578782261755219185e-01, -3.150082297741070309e-03, 2.123672669511143113e-02, 7.596902355995636957e-02, -5.011892505979844564e-02, 9.489259831156829361e-02, 2.143240485662520345e-02, 
1403636581013555456, -7.660152231563568601e-03, -1.722071249652774860e-02, -1.053306699189461224e-02, -4.015394057617161644e-02, -8.231916274257375932e-01, -2.685629785650999260e-02, 5.657048213139194148e-01, -4.464470338048561610e-02, -1.569349229245411634e-02, 7.042059511072676914e-01, -3.028644416396967295e-03, 2.128472385921920118e-02, 7.655032885824814004e-02, -5.045527304109991701e-02, 9.368279023359196711e-02, 2.361451573515734731e-02, 
1403636581063555584, -9.874457175436862633e-03, -1.755926977301983799e-02, 2.371678186169943331e-02, -4.020400195038013880e-02, -8.192718310873622345e-01, -2.588373105174613178e-02, 5.714082056470445314e-01, -3.891777621000571535e-02, 1.740180511051697080e-03, 6.642921187564583274e-01, -2.977165210855786757e-03, 2.118428882254690809e-02, 7.665879988920924759e-02, -4.943090024649832853e-02, 9.311432922716383898e-02, 1.898766647185532938e-02, 
1403636581113555456, -1.200974761346480964e-02, -1.724300340756847877e-02, 5.568171961177897228e-02, -4.102238025921289138e-02, -8.155311670438956106e-01, -2.593596813646177959e-02, 5.766744362764094634e-01, -4.206886928688269300e-02, 7.824683502030522000e-03, 6.120847020146624740e-01, -3.050358735954093216e-03, 2.124539433663362453e-02, 7.669086530908865440e-02, -5.088836170016036720e-02, 9.241537445466953271e-02, 2.144348434972626408e-02, 
