t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,26.0,17233
2.6,15,0,15.6,17251
3.6,15,0,15.5,17302
4.7,15,0,17.0,17281
5.7,15,0,20.8,17293
6.7,15,0,19.0,17265
7.7,15,0,18.1,17254
8.8,15,0,26.7,17035
9.8,15,0,26.9,17347
10.8,15,0,19.2,17329
11.9,15,0,17.0,17314
12.9,15,0,20.2,17146
13.9,15,0,19.0,17384
15.0,15,0,18.1,17284
16.0,15,0,16.4,17203
17.0,15,0,16.1,17192
18.1,15,0,15.2,17201
19.1,15,0,16.4,17216
20.1,15,0,17.2,17085
21.2,15,0,17.1,17068
22.2,15,0,16.4,17075
23.2,15,0,16.2,17083
24.3,15,0,20.0,17118
25.3,15,0,16.2,17109
26.3,15,0,18.7,17104
27.4,15,0,16.1,17001
28.4,15,0,15.1,17016
29.4,15,0,15.7,17039
30.5,15,0,15.4,17015
31.5,15,0,14.9,17040
32.6,15,0,15.0,17040
33.6,15,0,14.5,17049
34.6,15,0,14.6,17048
35.7,15,0,15.2,17058
36.7,15,0,15.1,17061
37.7,15,0,17.8,17060
38.8,15,0,15.1,17076
39.8,15,0,15.7,17083
40.8,15,0,15.6,17051
41.9,15,0,15.7,17058
42.9,15,0,15.8,17084
43.9,15,0,16.4,17074
45.0,15,0,16.1,17091
46.0,15,0,16.9,17082
47.0,15,0,18.7,16976
48.1,15,0,13.9,17003
49.1,15,0,14.7,17026
50.1,15,0,14.4,17022
51.2,15,0,13.6,17011
52.2,15,0,13.8,17022
53.2,15,0,13.3,17024
54.3,15,0,15.7,17022
55.3,15,0,12.9,17016
56.3,15,0,13.8,17005
57.4,15,0,12.8,17008
58.4,15,0,19.2,17091
59.4,15,0,21.2,16403
60.5,15,0,20.2,16388
61.5,15,0,20.9,16386
62.5,15,0,18.2,16404
63.6,15,0,13.7,16435
64.6,15,0,16.6,16508
65.6,15,0,14.7,16511
66.7,15,0,14.5,16531
67.7,15,0,19.5,16179
68.7,15,0,14.5,16163
69.8,15,0,14.7,16162
70.8,15,0,17.2,16165
71.8,15,0,14.2,16141
72.9,15,0,13.6,16298
73.9,15,0,16.0,16572
74.9,15,0,14.4,16567
76.0,15,0,15.9,16574
77.0,15,0,22.0,16346
78.0,15,0,19.0,16297
79.1,15,0,19.4,16268
80.1,15,0,13.8,16248
81.1,15,0,13.7,16235
82.2,15,0,13.9,16223
83.2,15,0,15.9,16201
84.2,15,0,14.0,16198
85.3,15,0,16.2,16212
86.3,15,0,13.1,16198
87.3,15,0,14.0,16192
88.4,15,0,15.8,16167
89.4,15,0,16.0,16201
90.4,15,0,15.3,16202
91.5,15,0,20.0,16171
92.5,15,0,20.0,16171
93.5,15,0,23.1,16477
94.6,15,0,28.3,16604
95.6,15,0,21.3,16584
96.6,15,0,21.8,16531
97.7,15,0,26.3,16713
98.7,15,0,29.0,16553
99.7,15,0,24.9,16532
100.8,15,0,29.4,16525
101.8,15,0,28.2,16632
102.9,15,0,26.6,16662
103.9,15,0,39.2,16744
104.9,15,0,29.8,16774
106.0,15,0,44.9,16930
107.0,15,0,24.2,17010
108.0,15,0,17.1,16992
109.1,15,0,16.3,16953
110.1,15,0,17.3,16936
111.1,15,0,20.1,16910
112.2,15,0,16.5,16884
113.2,15,0,16.2,16880
114.2,15,0,16.5,16848
115.3,15,0,20.0,16856
116.3,15,0,21.6,16881
117.3,15,0,14.7,16844
118.4,15,0,14.2,16808
119.4,15,0,14.8,16754
120.4,15,0,26.6,16809
121.5,15,0,18.1,16771
122.5,15,0,32.5,16876
123.6,15,0,28.0,16913
124.6,15,0,19.4,16905
125.6,15,0,23.5,16909
126.7,15,0,19.7,16884
127.7,15,0,20.7,16884
128.7,15,0,18.0,16873
129.8,15,0,17.7,16885
130.8,15,0,15.1,16871
131.8,15,0,19.2,16745
132.9,15,0,22.5,16975
133.9,15,0,26.2,17087
134.9,15,0,14.6,17076
136.0,15,0,14.2,17039
137.0,15,0,14.4,17048
138.0,15,0,13.5,16979
139.1,15,0,13.3,16978
140.1,15,0,16.5,16931
141.1,15,0,14.1,16895
142.2,15,0,13.7,16908
143.2,15,0,13.8,16889
144.2,15,0,13.6,16892
145.3,15,0,14.2,16862
146.3,15,0,14.4,16860
147.3,15,0,14.0,16870
148.4,15,0,14.2,16888
149.4,15,0,14.9,16895
150.4,15,0,25.2,16949
151.4,15,0,14.9,16924
152.5,15,0,15.1,16849
153.5,15,0,15.0,16821
154.5,15,0,17.6,16852
155.6,15,0,15.9,16855
156.6,15,0,14.3,16848
157.7,15,0,16.3,16851
158.7,15,0,13.9,16856
159.7,15,0,13.8,16862
160.7,15,0,13.6,16843
161.8,15,0,13.6,16869
162.8,15,0,13.6,16867
163.8,15,0,19.6,16871
164.9,15,0,17.9,16887
165.9,15,0,16.7,16906
166.9,15,0,15.0,16889
168.0,15,0,16.7,16894
169.0,15,0,14.3,16929
170.0,15,0,15.8,16917
171.1,15,0,18.5,16919
172.1,15,0,18.9,16934
173.1,15,0,18.5,16944
174.2,15,0,20.6,16930
175.2,15,0,18.0,16921
176.2,15,0,19.6,16833
177.3,15,0,14.2,16835
178.3,15,0,18.6,16818
179.3,15,0,18.2,16817
180.4,15,0,21.8,16806
181.4,15,0,19.1,16822
182.4,15,0,23.1,16816
183.5,15,0,19.8,16828
184.5,15,0,22.2,16828
185.5,15,0,25.0,16849
186.6,15,0,24.9,16858
187.6,15,0,33.1,16965
188.6,15,0,28.5,17095
189.7,15,0,15.4,17130
190.7,15,0,12.0,17127
191.7,15,0,18.1,17016
192.8,15,0,13.7,17100
193.8,15,0,13.7,17238
194.8,15,0,24.4,17255
195.9,15,0,29.0,17305
196.9,15,0,21.5,17261
198.0,15,0,12.9,17281
199.0,15,0,13.3,17297
200.0,15,0,10.7,17299
201.1,15,0,12.3,17295
202.1,15,0,8.6,17273
203.1,15,0,8.3,17248
204.1,15,0,11.2,17229
205.2,15,0,12.2,17210
206.2,15,0,8.9,17193
207.3,15,0,13.7,17182
208.3,15,0,10.8,17162
209.3,15,0,12.6,17137
210.4,15,0,11.8,17136
211.4,15,0,9.6,17149
212.4,15,0,8.2,17144
213.5,15,0,12.3,17137
214.5,15,0,13.1,17151
215.5,15,0,16.0,17124
216.6,15,0,11.1,17145
217.6,15,0,9.7,17152
218.6,15,0,7.5,17143
219.7,15,0,20.1,17170
220.7,15,0,18.7,17215
221.7,15,0,21.5,17222
222.8,15,0,17.4,17240
223.8,15,0,20.3,17272
224.8,15,0,18.3,17264
225.9,15,0,14.5,17268
226.9,15,0,18.9,17256
227.9,15,0,30.3,17267
229.0,15,0,35.5,17294
230.0,15,0,31.0,17284
231.0,15,0,33.9,17302
232.1,15,0,24.8,17299
233.1,15,0,23.5,17315
234.2,15,0,19.4,17301
235.2,15,0,24.9,17297
236.2,15,0,28.5,17342
237.3,15,0,28.4,17400
238.3,15,0,33.0,17399
239.3,15,0,30.1,17394
240.4,15,0,29.2,17396
241.4,15,0,27.1,17359
242.4,15,0,14.8,17370
243.5,15,0,14.1,17366
244.5,15,0,15.9,17375
245.6,15,0,13.6,17389
246.6,15,0,11.0,17383
247.6,15,0,8.0,17396
248.7,15,0,10.3,17393
249.7,15,0,13.3,17371
250.7,15,0,10.4,17360
251.8,15,0,17.7,16982
252.8,15,0,17.1,16623
253.8,15,0,13.5,16646
254.9,15,0,19.0,16663
255.9,15,0,16.3,16808
256.9,15,0,13.2,17098
257.9,15,0,11.5,17129
259.0,15,0,10.8,17122
260.0,15,0,10.9,17085
261.0,15,0,14.4,17029
262.1,15,0,13.8,17005
263.1,15,0,10.8,16973
264.1,15,0,11.4,16958
265.2,15,0,10.4,16926
266.2,15,0,13.1,16913
267.2,15,0,11.8,16965
268.3,15,0,11.4,16844
269.3,15,0,14.0,16804
270.3,15,0,16.6,16775
271.4,15,0,13.0,16750
272.4,15,0,9.4,16731
273.4,15,0,8.8,16729
274.5,15,0,23.1,16794
275.5,15,0,34.5,16872
276.5,15,0,33.0,16885
277.6,15,0,16.1,16903
278.6,15,0,12.8,16903
279.6,15,0,13.6,16923
280.7,15,0,13.5,16916
281.7,15,0,11.6,16898
282.7,15,0,16.5,16914
283.8,15,0,15.3,16929
284.8,15,0,14.8,16927
285.8,15,0,13.8,16906
286.9,15,0,12.9,16895
287.9,15,0,19.3,16890
289.0,15,0,14.8,16891
290.0,15,0,13.6,16884
291.0,15,0,12.7,16887
292.1,15,0,11.2,16881
293.1,15,0,13.1,16868
294.1,15,0,13.1,16904
295.2,15,0,12.1,16878
296.2,15,0,17.9,16897
297.2,15,0,15.7,16947
298.2,15,0,15.0,16886
299.3,15,0,15.0,16884
300.3,15,0,14.0,16905
301.3,15,0,11.2,16935
302.4,15,0,13.6,16926
303.4,15,0,10.9,16907
304.4,15,0,13.7,16897
305.5,15,0,13.3,16890
306.5,15,0,13.4,16852
307.5,15,0,13.8,16858
308.6,15,0,10.8,16857
309.6,15,0,10.7,16855
310.7,15,0,11.4,16825
311.7,15,0,8.5,16842
312.7,15,0,8.7,16994
313.7,15,0,13.7,17138
314.8,15,0,9.7,17126
315.8,15,0,11.4,17096
316.8,15,0,16.5,17102
317.9,15,0,19.1,17100
318.9,15,0,28.1,16965
320.0,15,0,33.0,16974
321.0,15,0,35.2,16966
322.0,15,0,34.6,16934
323.1,15,0,32.9,16911
324.1,15,0,33.9,16893
325.1,15,0,26.6,16633
326.2,15,0,17.5,17150
327.2,15,0,29.5,17125
328.3,15,0,23.8,17120
329.3,15,0,25.4,17115
330.3,15,0,23.5,16999
331.4,15,0,27.1,17069
332.4,15,0,37.6,17183
333.5,15,0,32.8,17189
334.5,15,0,32.4,17126
335.5,15,0,39.6,17080
336.6,15,0,33.6,17064
337.6,15,0,36.7,17015
338.6,15,0,26.7,16988
339.7,15,0,22.3,17013
340.7,15,0,24.0,16974
341.8,15,0,30.6,16941
342.8,15,0,36.8,16916
343.8,15,0,34.0,16919
344.9,15,0,33.5,16906
345.9,15,0,34.1,16880
347.0,15,0,34.2,16883
348.0,15,0,34.1,16880
349.0,15,0,34.9,16892
350.1,15,0,32.8,16896
351.1,15,0,26.1,16898
352.2,15,0,26.7,16909
353.2,15,0,25.8,16897
354.2,15,0,24.7,16897
355.3,15,0,24.0,16899
356.3,15,0,24.7,16907
357.3,15,0,23.6,16883
358.4,15,0,21.7,16883
359.4,15,0,24.0,16738
360.5,15,0,22.6,16742
361.5,15,0,32.0,16742
362.5,15,0,36.0,16778
363.6,15,0,37.6,16811
364.6,15,0,40.0,16868
365.7,15,0,43.0,16908
366.7,15,0,36.5,16946
367.7,15,0,33.4,17004
368.8,15,0,16.1,17018
369.8,15,0,15.3,17042
370.8,15,0,14.3,17037
371.9,15,0,15.7,17041
372.9,15,0,19.3,16882
373.9,15,0,21.8,17017
375.0,15,0,18.1,17015
376.0,15,0,16.8,16968
377.0,15,0,25.4,16943
378.1,15,0,32.2,16946
379.1,15,0,32.2,16972
380.2,15,0,30.0,16961
381.2,15,0,31.5,16955
382.3,15,0,30.9,16961
383.3,15,0,23.8,16958
384.3,15,0,23.9,16922
385.4,15,0,24.2,16930
386.4,15,0,26.5,16911
387.5,15,0,33.6,16909
388.5,15,0,31.9,16938
389.5,15,0,33.9,16951
390.6,15,0,32.8,16938
391.6,15,0,34.9,16932
392.7,15,0,31.0,16920
393.7,15,0,33.4,16925
394.7,15,0,36.1,16948
395.8,15,0,32.4,16974
396.8,15,0,31.2,16996
397.9,15,0,37.5,16999
398.9,15,0,31.3,17020
399.9,15,0,39.0,16627
401.0,15,0,30.2,16613
402.0,15,0,35.4,16592
403.1,15,0,33.4,16607
404.1,15,0,33.5,16595
405.1,15,0,29.3,16610
406.2,15,0,32.6,16613
407.2,15,0,27.1,16609
408.3,15,0,25.9,16628
409.3,15,0,35.3,16675
410.3,15,0,34.3,16664
411.4,15,0,29.8,16667
412.4,15,0,35.2,16666
413.5,15,0,41.0,16716
414.5,15,0,35.4,16539
415.5,15,0,32.2,16537
416.6,15,0,32.0,16544
417.6,15,0,28.8,16551
418.7,15,0,30.2,16545
419.7,15,0,18.0,16541
420.7,15,0,16.4,16535
421.8,15,0,19.4,16229
422.8,15,0,26.0,16281
423.8,15,0,20.3,16284
424.9,15,0,23.0,16295
425.9,15,0,21.7,16295
426.9,15,0,17.8,16284
