t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,3051,52,75.3,15123
1.0,3041,18,71.7,15052
2.1,3035,55,56.4,15118
3.1,3041,8,60.1,15175
4.2,3041,54,55.9,15170
5.2,3041,16,49.3,15161
6.2,3035,59,56.6,15234
7.3,3035,24,53.1,15268
8.3,3035,5,63.4,15588
9.3,3051,14,64.8,15887
10.4,3035,47,69.0,16036
11.4,3037,17,66.7,16396
12.4,3035,46,63.5,16764
13.5,3035,35,69.3,17063
14.5,3041,21,70.5,17342
15.6,3037,36,66.4,17646
16.6,3035,56,61.8,17967
17.6,3035,54,59.7,18047
18.7,3037,27,62.2,18170
19.7,3051,47,69.5,18229
20.8,3037,49,63.3,18328
21.8,3051,57,65.5,18369
22.8,3041,41,67.9,18403
23.9,3051,39,67.5,18490
24.9,3061,35,66.2,18569
26.0,3035,12,55.2,18605
27.0,3061,54,53.1,18643
28.0,3051,44,62.2,18625
29.1,3035,13,64.2,18658
30.1,3059,19,69.5,18771
31.2,3041,62,76.2,18842
32.2,3051,54,76.0,18862
33.3,3039,52,74.5,18891
34.3,3035,54,74.7,18955
35.3,3041,35,80.3,18913
36.4,3037,39,77.0,18934
37.4,3041,44,75.5,18965
38.5,3041,45,69.7,19007
39.5,3041,37,71.1,19057
40.5,3037,34,72.7,19061
41.6,3035,44,70.9,19104
42.6,3035,39,69.0,19099
43.7,3035,42,72.5,19084
44.7,3041,22,69.7,19070
45.8,3037,49,75.1,18961
46.8,3051,40,73.9,19084
47.8,3035,15,74.1,19072
48.9,3051,52,72.4,19156
49.9,3037,55,78.5,19106
51.0,3035,24,70.2,19099
52.0,3051,24,70.8,19170
53.1,3037,24,74.2,19126
54.1,3037,45,80.6,19096
55.1,3051,48,77.7,18982
56.2,3051,43,75.7,19039
57.2,3037,7,78.8,19100
58.3,3035,4,78.1,19104
59.3,3035,32,74.7,19057
60.4,3035,19,76.8,19075
61.4,3035,6,74.0,19116
62.4,3041,17,75.2,19079
63.5,3061,28,72.7,19151
64.5,3035,34,75.9,19124
65.6,3035,19,73.2,19029
66.6,3035,39,75.9,19086
67.7,3041,3,79.0,19170
68.7,3051,14,77.3,19156
69.8,3035,47,75.4,19158
70.8,3037,1,78.3,19189
71.9,3035,53,76.1,19168
72.9,3035,31,76.7,19190
73.9,3035,44,75.1,19178
75.0,3037,27,72.4,19193
76.0,3059,13,72.8,19163
77.1,3041,5,71.6,19209
78.1,3037,6,77.3,19214
79.2,3035,46,70.8,19212
80.2,3035,0,72.2,19234
81.3,3037,57,73.4,19230
82.3,3035,10,71.2,19205
83.3,3035,34,73.6,19225
84.4,3035,33,74.3,19248
85.4,3035,7,74.1,19114
86.4,3041,38,77.4,19141
87.5,3035,43,76.0,19183
88.5,3059,52,78.2,19157
89.6,3035,26,77.9,19224
90.6,3035,8,80.4,19303
91.7,3035,17,79.4,19338
92.7,3035,36,77.2,19322
93.8,3051,20,71.1,19420
94.8,3035,25,74.1,19385
95.8,3035,0,71.9,19296
96.9,3059,5,71.0,19330
97.9,3051,41,72.3,19340
99.0,3035,35,61.2,17738
100.0,3035,50,51.9,17750
101.1,3035,12,42.5,17711
102.1,3059,30,42.7,17687
103.1,3035,36,43.7,17715
104.2,3035,3,40.8,17718
105.2,3059,10,46.2,17681
106.2,3051,45,43.3,17689
107.3,3037,48,45.2,17703
108.3,3035,58,43.8,17706
109.4,3035,43,48.6,17731
110.4,3041,55,52.1,17585
111.4,3037,45,41.8,17692
112.5,3037,40,39.9,17723
113.5,3035,38,42.8,17745
114.5,3051,12,41.2,17733
115.6,3035,8,42.8,17745
116.6,3035,36,43.1,17727
117.6,3035,0,46.6,17611
118.7,3035,27,42.9,17706
119.7,3059,23,43.3,17743
120.7,3035,44,40.2,17748
121.8,3051,23,45.3,17770
122.8,3035,26,44.4,17747
123.8,3035,18,41.7,17753
124.9,3035,57,45.6,17777
125.9,3037,48,49.6,17679
127.0,3037,53,50.2,17736
128.0,3035,28,53.2,17785
129.0,3035,61,48.1,17764
130.1,3051,53,45.7,17776
131.1,3051,41,46.0,17792
132.1,3035,22,44.0,17800
133.2,3051,21,43.8,17687
134.2,3051,50,49.9,17755
135.3,3061,0,44.3,17720
136.3,3035,18,40.7,17728
137.3,3035,40,50.1,17733
138.4,3051,52,43.5,17747
139.4,3037,12,40.7,17750
140.4,3059,13,51.7,17780
141.5,3041,49,45.2,17769
142.5,3041,60,50.1,17781
143.5,3041,48,48.1,17759
144.6,3051,54,44.5,17765
145.6,3037,19,42.1,17769
146.6,3051,49,50.5,17797
147.7,3037,32,43.5,17659
148.7,3035,61,47.2,17733
149.7,3059,3,44.6,17835
150.8,3051,49,42.3,17836
151.8,3059,14,44.1,17838
152.9,3035,44,49.8,17861
153.9,3035,38,43.2,17877
154.9,3041,28,44.1,17863
156.0,3035,14,49.8,17784
157.0,3041,65,39.4,17842
158.0,3035,32,44.4,17819
159.1,3059,55,45.3,17830
160.1,3035,34,34.1,17808
161.1,3051,55,45.3,17841
162.2,3041,43,37.5,17862
163.2,3051,7,37.6,17857
164.2,3051,35,38.9,17892
165.3,3051,57,40.6,17881
166.3,3035,61,44.4,17862
167.3,3035,52,43.9,17886
168.4,3041,12,37.0,17892
169.4,3035,52,34.0,17902
170.4,3051,19,39.2,17910
171.5,3051,28,34.2,17918
172.5,3035,29,39.0,17919
173.5,3041,14,43.3,17915
174.6,3051,18,38.3,17916
175.6,3041,57,36.9,17909
176.7,3035,43,41.1,17926
177.7,3035,18,37.1,17949
178.7,3035,23,34.1,17940
179.8,3047,26,43.5,17944
180.8,3035,53,43.2,17939
181.8,3035,42,38.1,17943
182.9,3037,4,36.5,17956
183.9,3037,5,39.9,17941
184.9,3037,42,48.4,17968
186.0,3061,60,45.4,17970
187.0,3035,38,39.1,17946
188.0,3035,26,38.9,17975
189.1,3039,48,40.2,17966
190.1,3035,53,38.9,17946
191.1,3037,14,36.9,17975
192.2,3035,12,28.7,17997
193.2,3037,14,33.8,18017
194.3,3035,27,28.9,18036
195.3,3041,45,37.9,17968
196.3,3051,61,39.4,14564
