t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,29.0,16642
2.6,15,0,25.0,16569
3.6,15,0,16.5,16525
4.6,15,0,18.7,16476
5.7,15,0,16.1,16482
6.7,15,0,16.1,16475
7.7,15,0,17.1,16414
8.7,15,0,16.4,16370
9.8,15,0,16.1,16325
10.8,15,0,18.5,16327
11.8,15,0,24.9,16328
12.9,15,0,19.4,16325
13.9,15,0,18.2,16267
14.9,15,0,19.0,16250
16.0,15,0,21.4,16246
17.0,15,0,25.1,16234
18.0,15,0,18.9,16242
19.0,15,0,24.7,15923
20.1,15,0,25.2,16074
21.1,15,0,24.6,15985
22.1,15,0,20.5,15953
23.2,15,0,25.6,16043
24.2,15,0,29.1,16561
25.3,15,0,34.8,16611
26.3,15,0,17.1,16584
27.3,15,0,16.7,16541
28.3,15,0,17.0,16512
29.4,15,0,18.1,16496
30.4,15,0,16.0,16494
31.4,15,0,36.7,16536
32.5,15,0,88.6,16558
33.5,15,0,87.6,16515
34.6,15,0,90.0,16521
35.6,15,0,89.0,16056
36.6,15,0,89.4,16014
37.7,15,0,89.5,16032
38.7,15,0,91.2,16021
39.8,15,0,96.9,16042
40.8,15,0,97.9,16040
41.9,15,0,94.0,15994
42.9,15,0,92.1,16018
43.9,15,0,90.0,15998
45.0,15,0,95.0,15995
46.0,15,0,92.3,15976
47.1,15,0,95.2,16022
48.1,15,0,94.1,16029
49.2,15,0,96.3,16064
50.2,15,0,97.4,16102
51.3,15,0,97.4,16099
52.3,15,0,97.1,16083
53.4,15,0,96.7,16102
54.4,15,0,96.9,16102
55.5,15,0,98.6,16240
56.5,15,0,98.9,16220
57.6,15,0,99.0,16228
58.7,15,0,98.9,16261
59.7,15,0,99.2,16247
60.8,15,0,98.7,16261
61.8,15,0,98.5,16251
62.9,15,0,98.9,16258
64.0,15,0,99.2,16262
65.0,15,0,98.5,16264
66.1,15,0,99.0,16275
67.1,15,0,98.2,16316
68.1,15,0,98.8,16339
69.2,15,0,99.3,16360
70.3,15,0,98.6,16363
71.3,15,0,98.2,16349
72.4,15,0,96.8,16377
73.4,15,0,98.8,16571
74.5,15,0,98.9,16813
75.6,15,0,98.7,16875
76.6,15,0,99.1,16863
77.7,15,0,98.4,16834
78.7,15,0,97.9,16823
79.8,15,0,98.4,16814
80.8,15,0,98.3,16763
81.9,15,0,98.4,16814
82.9,15,0,98.9,16769
84.0,15,0,99.3,16934
85.0,15,0,94.9,16798
86.1,15,0,95.2,16789
87.1,15,0,97.5,16792
88.2,15,0,92.8,16770
89.2,15,0,95.7,16732
90.3,15,0,90.6,16697
91.3,15,0,91.0,16660
92.3,15,0,93.3,16678
93.4,15,0,95.9,16647
94.4,15,0,94.9,16289
95.4,15,0,92.9,16283
96.5,15,0,93.4,16259
97.5,15,0,96.6,16248
98.6,15,0,91.4,16253
99.6,15,0,94.9,16252
100.6,15,0,94.3,16242
101.7,15,0,94.2,16288
102.7,15,0,94.5,16274
103.8,15,0,93.3,16267
104.8,15,0,92.6,16255
105.8,15,0,91.9,16228
106.9,15,0,92.8,16252
107.9,15,0,95.8,16276
