t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,32.8,16023
2.6,15,0,25.7,16048
3.6,15,0,31.2,16165
4.7,15,0,27.9,16231
5.7,15,0,27.6,16250
6.7,15,0,24.2,16238
7.8,15,0,28.2,16226
8.8,15,0,27.7,16258
9.8,15,0,28.1,16271
10.9,15,0,28.4,16258
11.9,15,0,28.9,16226
12.9,15,0,28.8,16220
14.0,15,0,31.6,16238
15.0,15,0,28.5,16245
16.1,15,0,27.9,16236
17.1,15,0,26.9,16213
18.1,15,0,24.7,16205
19.2,15,0,28.7,16202
20.2,15,0,30.0,16222
21.2,15,0,25.5,16181
22.3,15,0,25.9,16189
23.3,15,0,27.7,16158
24.4,15,0,28.3,16167
25.4,15,0,27.3,16143
26.4,15,0,26.6,16138
27.5,15,0,28.3,16137
28.5,15,0,25.8,16143
29.6,15,0,25.2,16157
30.6,15,0,25.8,16169
31.6,15,0,24.0,16186
32.7,15,0,26.6,16165
33.7,15,0,27.4,16165
34.7,15,0,26.1,16178
35.8,15,0,28.2,16374
36.8,15,0,37.6,16756
37.9,15,0,31.5,16789
38.9,15,0,26.6,16794
39.9,15,0,24.7,16763
41.0,15,0,25.6,16771
42.0,15,0,30.3,16750
43.0,15,0,26.6,16727
44.1,15,0,31.0,16682
45.1,15,0,27.9,16668
46.2,15,0,31.1,16628
47.2,15,0,30.7,16609
48.2,15,0,16.3,16619
49.3,15,0,15.0,16583
50.3,15,0,28.9,16660
51.3,15,0,14.1,16645
52.4,15,0,12.7,16604
53.4,15,0,12.5,16594
54.4,15,0,13.6,16591
55.5,15,0,14.2,16598
56.5,15,0,14.7,16579
57.5,15,0,12.8,16561
58.6,15,0,13.1,16578
59.6,15,0,13.1,16601
60.6,15,0,15.8,16665
61.7,15,0,12.7,16679
62.7,15,0,13.9,16650
63.7,15,0,13.0,16628
64.8,15,0,13.3,16644
65.8,15,0,12.9,16671
66.8,15,0,13.1,16660
67.9,15,0,13.6,16645
68.9,15,0,18.7,16248
69.9,15,0,14.8,16257
71.0,15,0,17.9,16260
72.0,15,0,15.2,16229
73.0,15,0,14.6,16230
74.1,15,0,15.1,16233
75.1,15,0,18.2,16266
76.1,15,0,13.6,16249
77.2,15,0,12.4,16251
78.2,15,0,18.9,16293
79.2,15,0,19.6,16274
80.3,15,0,14.0,16236
81.3,15,0,13.7,16226
82.3,15,0,14.8,16220
83.4,15,0,14.3,16212
84.4,15,0,14.1,16230
85.4,15,0,14.3,16227
86.5,15,0,13.8,16210
87.5,15,0,13.3,16229
88.5,15,0,14.3,16237
89.6,15,0,12.8,16225
90.6,15,0,13.9,16226
91.6,15,0,12.2,16207
92.7,15,0,12.0,16232
93.7,15,0,12.7,16190
94.7,15,0,14.3,16207
95.8,15,0,13.4,16334
96.8,15,0,18.7,16601
97.8,15,0,14.7,16576
98.9,15,0,18.2,16544
99.9,15,0,15.1,16526
100.9,15,0,12.9,16518
102.0,15,0,18.9,16484
103.0,15,0,19.4,16467
104.0,15,0,20.3,16444
105.1,15,0,27.3,16251
106.1,15,0,28.5,16549
107.1,15,0,18.5,16618
108.2,15,0,25.6,16635
109.2,15,0,14.7,16488
110.2,15,0,22.0,16527
111.3,15,0,20.5,16491
112.3,15,0,20.0,16495
113.3,15,0,20.0,16495
114.4,15,0,23.3,16451
115.4,15,0,29.7,16433
116.5,15,0,22.5,16369
117.5,15,0,34.8,16197
118.5,15,0,23.1,16183
119.6,15,0,16.4,16200
120.6,15,0,19.0,16189
121.6,15,0,20.7,16229
122.7,15,0,25.6,16253
123.7,15,0,27.0,16283
124.7,15,0,25.7,16260
125.8,15,0,25.5,16228
126.8,15,0,31.8,16213
127.8,15,0,29.7,16230
128.9,15,0,34.4,16230
129.9,15,0,26.0,16195
131.0,15,0,27.6,16178
132.0,15,0,32.4,16216
133.0,15,0,26.5,16205
134.1,15,0,28.8,16199
135.1,15,0,25.8,16212
136.2,15,0,26.1,16215
137.2,15,0,25.3,16211
138.2,15,0,26.4,16220
139.3,15,0,33.7,16249
140.3,15,0,31.2,16193
141.4,15,0,27.4,16179
142.4,15,0,25.2,16195
143.4,15,0,23.1,16207
144.5,15,0,24.3,16218
145.5,15,0,23.8,16196
146.5,15,0,28.8,16190
147.6,15,0,24.3,16203
148.6,15,0,25.5,16214
149.7,15,0,26.7,16237
150.7,15,0,24.4,16203
151.7,15,0,23.5,16200
152.8,15,0,22.6,16203
153.8,15,0,22.7,16181
154.8,15,0,22.9,16187
155.9,15,0,33.2,16378
