t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,21.5,11938
2.6,15,0,15.0,11953
3.6,15,0,14.0,11950
4.7,15,0,8.8,11945
5.7,15,0,14.5,12017
6.7,15,0,12.1,12068
7.7,15,0,15.0,12168
8.8,15,0,12.8,12298
9.8,15,0,15.6,12404
10.8,15,0,14.1,12414
11.9,15,0,14.8,12427
12.9,15,0,15.5,12456
13.9,15,0,14.1,12483
14.9,15,0,15.0,12477
16.0,15,0,14.1,12468
17.0,15,0,14.1,12467
18.0,15,0,14.5,12454
19.1,15,0,14.8,12465
20.1,15,0,19.7,12450
21.1,15,0,14.6,12439
22.2,15,0,14.6,12432
23.2,15,0,14.2,12406
24.3,15,0,14.4,12430
25.3,15,0,14.3,12448
26.3,15,0,16.4,12415
27.4,15,0,15.6,12429
28.4,15,0,14.1,12412
29.4,15,0,14.5,12416
30.5,15,0,14.7,12434
31.5,15,0,16.5,12436
32.5,15,0,18.3,12392
33.6,15,0,14.6,12322
34.6,15,0,14.7,12351
35.6,15,0,15.3,12342
36.7,15,0,14.9,12323
37.7,15,0,14.9,12338
38.7,15,0,15.2,12349
39.8,15,0,15.0,12336
40.8,15,0,14.4,12342
41.8,15,0,15.4,12336
42.9,15,0,15.0,12357
43.9,15,0,14.0,12372
44.9,15,0,18.5,12343
46.0,15,0,14.4,12354
47.0,15,0,15.2,12364
48.0,15,0,15.1,12362
49.1,15,0,14.5,12376
50.1,15,0,14.3,12354
51.1,15,0,15.0,12374
52.2,15,0,14.5,12353
53.2,15,0,14.9,12334
54.2,15,0,14.6,12348
55.3,15,0,14.0,12339
56.3,15,0,14.4,12356
57.3,15,0,18.4,12357
58.4,15,0,14.8,12348
59.4,15,0,14.6,12319
60.4,15,0,16.4,12318
61.5,15,0,14.0,12325
62.5,15,0,14.2,12350
63.5,15,0,14.2,12342
64.6,15,0,13.6,12339
65.6,15,0,14.4,12336
66.6,15,0,13.1,12339
67.7,15,0,13.6,12330
68.7,15,0,17.1,12319
69.7,15,0,17.4,12326
70.8,15,0,15.1,12377
71.8,15,0,16.0,12438
72.8,15,0,14.6,12448
73.9,15,0,13.6,12441
74.9,15,0,13.9,12443
75.9,15,0,13.1,12446
77.0,15,0,13.5,12439
78.0,15,0,17.2,12460
79.0,15,0,14.4,12446
80.1,15,0,14.1,12472
81.1,15,0,13.5,12475
82.1,15,0,14.1,12484
83.2,15,0,13.2,12433
84.2,15,0,13.8,12435
85.2,15,0,14.3,12444
86.3,15,0,14.3,12423
87.3,15,0,13.9,12455
88.3,15,0,19.4,12464
89.4,15,0,13.2,12443
90.4,15,0,14.1,12441
91.4,15,0,13.8,12410
92.5,15,0,14.1,12421
93.5,15,0,14.0,12414
94.5,15,0,13.9,12427
95.6,15,0,14.1,12439
96.6,15,0,14.2,12450
97.6,15,0,14.3,12443
98.7,15,0,14.2,12437
99.7,15,0,14.3,12432
100.7,15,0,18.0,12415
101.8,15,0,14.2,12348
102.8,15,0,14.3,12355
103.8,15,0,14.4,12356
104.9,15,0,14.4,12343
105.9,15,0,15.1,12352
106.9,15,0,14.5,12369
108.0,15,0,14.7,12345
109.0,15,0,14.4,12368
110.0,15,0,14.5,12380
111.0,15,0,14.6,12345
112.1,15,0,15.0,12363
113.1,15,0,17.8,12382
114.1,15,0,14.8,12385
115.2,15,0,14.3,12359
116.2,15,0,16.8,12325
117.2,15,0,16.5,12345
118.3,15,0,14.7,12325
119.3,15,0,14.4,12336
120.3,15,0,14.5,12333
121.4,15,0,14.9,12344
122.4,15,0,14.4,12360
123.4,15,0,14.6,12356
124.5,15,0,15.4,12315
125.5,15,0,17.8,12332
126.5,15,0,14.5,12341
127.6,15,0,14.8,12314
128.6,15,0,14.5,12324
129.6,15,0,17.2,12345
130.7,15,0,14.9,12337
131.7,15,0,14.8,12316
132.7,15,0,15.3,12330
133.8,15,0,13.8,12347
134.8,15,0,14.5,12340
135.8,15,0,14.4,12361
136.9,15,0,13.8,12377
137.9,15,0,13.8,12389
138.9,15,0,17.0,12479
140.0,15,0,17.0,12476
141.0,15,0,15.1,12482
142.0,15,0,13.7,12487
143.1,15,0,9.3,12505
144.1,15,0,7.2,12471
145.1,15,0,5.8,12448
146.2,15,0,5.7,12427
147.2,15,0,5.7,12441
148.2,15,0,5.5,12444
149.2,15,0,7.6,12438
150.3,15,0,6.6,12438
151.3,15,0,5.6,12421
152.3,15,0,5.8,12414
153.4,15,0,5.6,12437
154.4,15,0,10.9,12429
155.4,15,0,5.6,12435
156.5,15,0,6.4,12440
157.5,15,0,6.0,12425
158.5,15,0,6.1,12429
159.6,15,0,6.1,12446
160.6,15,0,6.2,12448
161.6,15,0,5.8,12459
162.6,15,0,6.0,12441
163.7,15,0,6.2,12445
164.7,15,0,5.8,12388
165.7,15,0,7.5,12364
166.8,15,0,5.6,12352
167.8,15,0,5.7,12370
168.8,15,0,5.4,12363
169.9,15,0,5.9,12372
170.9,15,0,5.7,12360
171.9,15,0,7.0,12329
172.9,15,0,5.9,12350
174.0,15,0,6.0,12348
175.0,15,0,5.4,12337
176.0,15,0,5.9,12356
177.1,15,0,7.0,12370
178.1,15,0,5.7,12371
179.1,15,0,5.9,12388
180.2,15,0,5.7,12371
181.2,15,0,5.6,12352
182.2,15,0,5.4,12367
183.2,15,0,8.2,12361
184.3,15,0,6.2,12352
185.3,15,0,5.3,12337
186.3,15,0,6.4,12328
187.4,15,0,5.5,12338
188.4,15,0,5.6,12340
189.4,15,0,7.7,12345
190.5,15,0,5.7,12355
191.5,15,0,5.6,12336
192.5,15,0,6.1,12365
193.5,15,0,6.2,12365
194.6,15,0,5.7,12352
195.6,15,0,5.7,12344
196.6,15,0,5.9,12331
197.7,15,0,5.7,12349
198.7,15,0,5.4,12344
199.7,15,0,7.4,12322
200.8,15,0,5.9,12327
201.8,15,0,6.0,12330
202.8,15,0,5.7,12345
