t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,16.3,13322
1.0,215,0,29.5,13673
2.1,3041,12,17.6,13920
3.1,3051,48,36.1,13893
4.1,3035,32,25.0,13896
5.2,3035,54,26.8,13915
6.2,3035,42,27.8,13937
7.2,3041,48,28.2,13972
8.3,3051,54,28.9,13992
9.3,3059,62,34.1,13947
10.3,3051,30,28.3,13948
11.3,3051,52,26.1,13971
12.4,3035,31,26.2,13986
13.4,3035,29,27.6,13996
14.4,3041,38,32.2,14020
15.5,3051,17,28.1,14014
16.5,3037,20,32.1,14038
17.5,3041,52,34.3,14052
18.6,3035,66,32.4,14054
19.6,3051,28,31.3,14059
20.6,3035,47,27.0,14087
21.7,3051,52,26.6,14071
22.7,3059,53,29.0,14061
23.7,3051,50,34.4,14081
24.8,3059,23,32.9,14134
25.8,3035,15,25.2,14131
26.8,3035,31,30.6,14145
27.9,3035,42,31.2,14124
28.9,3035,25,28.9,14116
29.9,3035,18,27.0,14104
31.0,3041,49,27.7,14118
32.0,3037,50,29.4,14120
33.0,3037,44,29.4,14147
34.1,3035,50,37.1,14150
35.1,3035,68,29.4,14132
36.1,3051,46,29.5,14136
37.2,3037,48,28.6,14152
38.2,3035,22,28.8,14169
39.2,3035,34,33.6,14185
40.2,3035,19,26.5,14167
41.3,3035,11,33.2,14212
42.3,3035,68,25.8,14218
43.3,3051,16,26.7,14231
44.4,3041,46,34.9,14233
45.4,3035,32,27.4,14243
46.4,3041,58,31.9,14221
47.5,3035,57,35.1,14211
48.5,3035,23,29.0,14228
49.5,3035,46,30.0,14250
50.6,3041,33,33.3,14272
51.6,3035,50,28.5,14290
52.6,3041,48,30.1,14276
53.7,3037,20,28.5,14262
54.7,3035,28,31.1,14264
55.7,3035,43,31.3,14281
56.8,3035,18,28.5,14303
57.8,3035,54,31.0,14277
58.8,3051,37,30.5,14312
59.9,3051,46,31.1,14321
60.9,3041,21,33.3,14320
61.9,3035,53,28.7,14320
63.0,3037,32,28.4,14337
64.0,3035,34,27.4,14351
65.0,3051,2,28.7,14353
66.1,3035,23,31.7,14366
67.1,3035,42,29.4,14333
68.1,3035,52,26.2,14333
69.2,3037,2,25.0,14346
70.2,3035,0,23.0,14324
71.2,3035,0,12.7,14344
72.2,15,0,12.6,13370
73.3,15,0,13.9,13400
74.3,15,0,10.4,13414
75.3,15,0,11.6,13415
76.4,15,0,9.4,13357
77.4,15,0,9.8,13362
