t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,93.1,18118
1.0,15,0,95.0,18254
2.1,15,0,93.3,18268
3.1,15,0,95.2,18300
4.2,15,0,96.3,18329
5.3,15,0,95.8,18324
6.3,15,0,96.2,18335
7.4,15,0,96.4,18337
8.4,15,0,98.0,18356
9.5,15,0,98.1,18364
10.5,15,0,97.3,18354
11.6,15,0,96.5,18379
12.7,15,0,95.5,18387
13.7,15,0,95.4,18415
14.8,15,0,96.6,18382
15.8,15,0,97.8,18380
16.9,15,0,97.7,18372
18.0,15,0,98.2,18394
19.0,15,0,96.9,18384
20.1,15,0,98.7,18555
21.2,15,0,98.6,18592
22.3,15,0,98.1,18757
23.4,15,0,98.3,18862
24.4,15,0,98.2,18892
25.5,15,0,97.8,18870
26.6,15,0,98.4,18905
27.6,15,0,97.7,18901
28.7,15,0,97.4,18910
29.7,15,0,98.2,18855
30.8,15,0,98.0,18895
31.9,15,0,98.5,18910
32.9,15,0,98.1,18880
34.0,15,0,97.7,18861
35.0,15,0,97.7,18900
36.1,15,0,98.3,18883
37.1,15,0,98.3,18831
38.2,15,0,98.0,18410
39.3,15,0,98.6,18394
40.3,15,0,97.4,18400
41.4,15,0,97.7,18419
42.4,15,0,98.2,18415
43.5,15,0,98.0,18417
44.6,15,0,97.9,18433
45.6,15,0,98.8,18436
46.7,15,0,98.8,18470
47.7,15,0,98.8,18481
48.8,15,0,98.6,18474
49.9,15,0,98.1,18467
50.9,15,0,98.7,18468
