timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1770731344524799103, -2.391121316982135062e-12, -1.362247633514238888e-11, -4.663237338973220694e-12, 1.311829531093656742e-01, 9.427558933731481836e-03, 1.732533516037980002e-03, 9.913118340228128655e-01, -9.987619369343000986e-02, 6.072119788095391435e-01, 1.124580786719848458e-01, -1.715980983523785613e-02, 7.503070850873301556e-02, -2.791466495908473400e-03, -4.810699537265109883e-03, -1.107621030895823006e-01, 1.779063167364177411e-01, 0
1770731344629180870, -1.084671522816681340e-02, 5.255908153918831954e-02, 9.643936519068488367e-03, 1.309720104957487197e-01, 8.739551820285259773e-03, 1.428882573650465263e-03, 9.913465140884254456e-01, -1.137679549317278799e-01, 3.986824419562497446e-01, 7.147884333569110016e-02, -1.716002897678407108e-02, 7.503164706460481448e-02, -2.791503601351404736e-03, -4.810729725005176254e-03, -1.107623356419204785e-01, 1.779066926459723086e-01, 0
1770731344728130808, -2.260566865063779254e-02, 8.245943877393827059e-02, 1.480509555198006311e-02, 1.311781106372485184e-01, 8.591537731488081697e-03, 1.477659776680163200e-03, 9.913204856607346072e-01, -1.280733844748442596e-01, 2.065011933307635827e-01, 3.335744956596277400e-02, -1.715991082754863770e-02, 7.503234257777979810e-02, -2.791786627983648683e-03, -4.811147027733259258e-03, -1.107626638976501321e-01, 1.779069982634004510e-01, 0
1770731344829612365, -2.264288503978240108e-02, 8.237718727112521011e-02, 1.491025908876751800e-02, 1.313454937802637779e-01, 8.500327762024084688e-03, 1.484367727016830743e-03, 9.912990983270427714e-01, -1.665523547734061691e-04, -8.607755013869836189e-04, 1.115535260357267827e-03, -1.715991082754863770e-02, 7.503234257777979810e-02, -2.791786627983648683e-03, -4.811147027733259258e-03, -1.107626638976501321e-01, 1.779069982634004510e-01, 3
1770731344929824401, -1.086164192138369330e-02, 5.253388974583329818e-02, 9.676438962238324490e-03, 1.310297714589173657e-01, 8.692587456354395128e-03, 1.461661565973227436e-03, 9.913392464036738794e-01, 7.349040871679713913e-04, 1.459644222580032218e-04, -3.511447810771374414e-04, -1.716002897678407108e-02, 7.503164706460481448e-02, -2.791503601351404736e-03, -4.810729725005176254e-03, -1.107623356419204785e-01, 1.779066926459723086e-01, 2
1770731345037645129, -2.273731204140244655e-02, 8.240427594481929130e-02, 1.495165502927685817e-02, 1.313195158883321556e-01, 8.561660909333908970e-03, 1.724771465095592624e-03, 9.913016230556273012e-01, 1.775982653404234641e-04, -4.866255623847957120e-04, 7.080396451172448228e-04, -1.715991082754863770e-02, 7.503234257777979810e-02, -2.791786627983648683e-03, -4.811147027733259258e-03, -1.107626638976501321e-01, 1.779069982634004510e-01, 3
1770731345124266485, -2.271636672043806163e-02, 8.244174515211992460e-02, 1.492406677543607445e-02, 1.312800753644250695e-01, 8.518053643491740184e-03, 1.655024428760192446e-03, 9.913073415790775167e-01, 1.136544358985542105e-04, -7.218542740397744517e-04, 6.835733987579331768e-04, -1.715991082754863770e-02, 7.503234257777979810e-02, -2.791786627983648683e-03, -4.811147027733259258e-03, -1.107626638976501321e-01, 1.779069982634004510e-01, 3
1770731345229336263, -2.265737296478893131e-02, 8.233398717244935772e-02, 1.494285182394914681e-02, 1.312100668661294323e-01, 8.619841365030071756e-03, 1.608099056051164131e-03, 9.913158077551540437e-01, 5.812468288846240217e-04, -1.421086106364492308e-03, 1.077513685738314651e-03, -1.715991082754863770e-02, 7.503234257777979810e-02, -2.791786627983648683e-03, -4.811147027733259258e-03, -1.107626638976501321e-01, 1.779069982634004510e-01, 3
1770731345323825067, -2.267385617001077894e-02, 8.248743798116704717e-02, 1.482456570640783983e-02, 1.311652733868721998e-01, 8.564271358638396794e-03, 1.543498976929514634e-03, 9.913223198961834681e-01, 6.364461350169160888e-04, -1.879868198335349913e-03, 1.028121231522524789e-03, -1.715991082754863770e-02, 7.503234257777979810e-02, -2.791786627983648683e-03, -4.811147027733259258e-03, -1.107626638976501321e-01, 1.779069982634004510e-01, 3
1770731345429783276, -2.277525545153478992e-02, 8.210584436541082387e-02, 1.488219420619145764e-02, 1.313180064361806620e-01, 8.570663587050962595e-03, 1.754070076716425898e-03, 9.913016938094429964e-01, 6.765701735845041200e-04, -2.296702456214734685e-03, 4.160918534624809153e-04, -1.715991082754863770e-02, 7.503234257777979810e-02, -2.791786627983648683e-03, -4.811147027733259258e-03, -1.107626638976501321e-01, 1.779069982634004510e-01, 3
