timestamp, p_WS_W_x, p_WS_W_y, p_WS_W_z, q_WS_x, q_WS_y, q_WS_z, q_WS_w, v_WS_W_x, v_WS_W_y, v_WS_W_z, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z
1770731344524799103, -1.303676676930902309e-08, -1.127358981795491721e-07, 1.316422764199147874e-07, 1.905314359159771681e-02, 2.289389709240624571e-02, -2.968143834413579374e-04, 9.995562811049821805e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 
1770731344629180870, 7.749584613356953018e-05, 2.090124060020771835e-04, -2.001245224476274611e-04, 1.841487873000402856e-02, 1.869535368138940459e-02, -4.848698954183218142e-04, 9.996555111103382352e-01, 4.687114893611806117e-03, 2.671544867049678237e-03, -1.299958639158777700e-03, 2.850349317805125926e-04, 2.391234265419574017e-04, 3.471473760177008782e-04, 2.041181506156859571e-06, -2.449011575985410106e-06, 8.730203168580898080e-06, 
1770731344728130808, 4.080093121405329063e-04, 3.840282602110819195e-05, -9.258845854486488162e-05, 2.225687338816663072e-02, 1.444101092749413770e-02, -4.856282833737850420e-04, 9.996478644780598666e-01, 1.905835021146793772e-03, -5.002029388443774392e-03, 4.608530275210564846e-03, 4.106297956582959509e-05, 3.523995485545004737e-04, 6.384127410958554587e-04, 4.543841671914316573e-04, -6.773740253341940624e-04, -1.562709198027589438e-02, 
1770731344829612365, 1.522316196168417080e-04, -9.957009126623593944e-05, 6.450029120174335137e-05, 2.045939901479227122e-02, 1.395749421398907904e-02, -3.913468643326037432e-04, 9.996931770272575735e-01, -2.206324951025809711e-03, -9.531529677836872525e-04, 9.072853365050992554e-04, -2.352948480745638770e-04, 3.338190916103824304e-04, 3.588025410735570233e-04, 9.218664602559838780e-05, -1.145436985718601661e-04, -2.869721333341293795e-03, 
1770731344929824401, 1.243736130152495612e-04, 1.622647499510007654e-05, 5.192693643879977129e-05, 1.992732000412373791e-02, 1.401327099361561641e-02, -2.671035306850274237e-04, 9.997031853551417990e-01, -1.402473423788624420e-03, 6.236759627441700515e-04, -5.510989669117450892e-04, -2.005143002168805963e-04, 3.275874782908134281e-04, 1.317614524698081904e-04, -2.190515188602676041e-05, 4.007825865879256386e-05, 1.166895214330268202e-03, 
1770731345037645129, 1.146779761422286528e-04, -2.062094858699920841e-05, -3.616927713914342010e-05, 1.981095692081690646e-02, 1.431351305137389465e-02, -1.577046081328241746e-04, 9.997012676091124872e-01, -5.452552115492430990e-04, -4.776810631354861335e-04, -1.191956346564423356e-04, -1.704384794457132436e-04, 2.213169228745459009e-04, -1.475340337332241953e-04, -6.069316677486615746e-05, 1.282614629455169203e-04, 2.535280109409160983e-03, 
1770731345124266485, 8.727198275629080028e-05, 5.773105525453446163e-05, 5.707487226210962051e-06, 1.966006320611063396e-02, 1.432030630333247685e-02, -1.846151068392264919e-04, 9.997041445644671009e-01, -5.546058031441554090e-06, 7.944591007174451984e-04, -1.218304435378878914e-03, -1.029235794121507357e-04, 2.616975553054486764e-04, -2.069947057246104274e-04, -1.914213796141900673e-04, 2.762746383508868711e-04, 6.937954535750884277e-03, 
1770731345229336263, 1.152093289660848695e-04, 9.941838654053241351e-05, -9.175687244077391515e-05, 1.954555969624632503e-02, 1.437755379070152807e-02, -1.788612457992257480e-04, 9.997055691811518319e-01, -5.643213864528884413e-05, 5.615996785743717972e-04, -8.407402597406363112e-04, -1.161267141124408715e-04, 2.345389602549779464e-04, -2.137791450871789390e-04, -1.838711831785681816e-04, 2.634272395420171327e-04, 6.656533047522134733e-03, 
1770731345323825067, 1.150662846043124063e-04, 1.011573739157024853e-04, -1.039926260753069165e-04, 1.957503601807849755e-02, 1.432900283647116878e-02, -2.275801147530774149e-04, 9.997056796127021805e-01, -3.610513576411860173e-04, 2.344634337581961579e-04, -3.495107152087316817e-04, -1.746410474481182532e-04, 1.222259220072655691e-04, -2.310081637523786762e-04, -1.687845154122584750e-04, 2.391888420634806988e-04, 6.171840229522836119e-03, 
1770731345429783276, 9.318706252685088516e-05, -1.260435506172970058e-05, -4.508452025386558610e-05, 1.990158517214682052e-02, 1.429347224818140749e-02, -3.715313539196449380e-05, 9.996997660189638202e-01, -1.701704388372713393e-03, -1.000688121522876626e-03, 3.059790085361421223e-03, -5.447705221681580813e-04, 1.512112358912605615e-05, -4.250029840175678490e-04, -1.262697223462638926e-04, 1.971884689197507090e-04, 4.888511733138242721e-03, 
