t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,3031,4,88.1,23563
1.0,3033,0,88.8,23398
2.1,3055,38,88.2,23485
3.2,3031,41,87.9,23493
4.2,3031,8,88.5,23553
5.3,3047,45,87.5,23683
6.3,3047,40,87.7,23711
7.4,3031,5,86.6,23716
8.5,3031,0,87.8,23759
9.5,3037,0,85.8,23787
10.6,3031,40,88.1,23825
11.6,3031,49,89.1,23785
12.7,3033,20,87.7,23812
13.7,3031,33,87.4,23797
14.8,3031,2,88.1,23858
15.8,3031,5,90.7,23802
16.9,3031,0,87.3,23824
17.9,3047,34,89.4,23907
19.0,3031,0,91.3,23944
20.0,3047,22,90.0,23883
21.1,3047,49,88.2,23926
22.2,3031,40,88.7,23858
23.2,3033,37,89.2,23889
24.3,3033,12,90.5,23926
25.4,3031,14,89.4,24031
26.4,3047,34,89.5,23993
27.5,3031,0,90.9,23998
28.6,3031,7,89.0,24063
29.6,3033,39,87.7,24055
30.7,3031,5,87.1,23954
31.7,3047,33,88.4,23999
32.8,3031,13,89.5,24032
33.9,3031,42,88.6,23904
34.9,3037,33,89.7,23881
36.0,3033,44,88.0,23962
37.0,3031,13,86.4,24057
38.1,3037,1,87.1,23984
39.1,3031,11,86.0,24016
40.2,3031,42,88.5,24061
41.2,3033,18,87.7,24108
42.3,3031,0,89.0,24109
43.4,3033,14,89.4,24153
44.4,3031,7,91.5,24178
45.5,3031,0,91.9,24234
46.5,3031,40,92.2,24343
47.6,3031,22,90.4,24299
48.6,3047,8,91.7,24249
49.7,3031,37,92.6,24165
50.8,3047,0,93.1,24261
51.8,3031,8,92.2,24239
52.9,3047,27,92.0,24314
53.9,3047,37,92.4,24336
55.0,3031,5,94.2,24297
56.0,3031,2,93.6,24334
57.1,3031,4,93.9,24260
58.1,3031,23,92.8,24299
59.2,3033,36,92.9,24298
60.3,3031,9,92.0,24289
61.3,3047,18,92.3,24211
62.4,3031,21,91.2,24237
63.4,3031,30,91.7,24289
64.5,3033,6,91.0,24254
65.6,3031,0,92.2,24397
66.6,3031,6,90.0,24360
67.7,3031,6,91.3,21516
68.7,3047,36,89.8,17366
69.8,3031,35,92.6,17437
70.8,3035,35,90.9,17568
71.9,3031,8,91.8,17496
72.9,3031,18,92.1,17613
74.0,3031,0,93.0,17575
75.0,3031,0,93.4,17465
76.1,3047,19,90.6,17486
77.2,3033,7,91.0,17417
78.2,3033,0,92.1,17437
79.3,3055,32,91.3,17471
80.4,3037,25,90.6,17579
81.4,3033,35,90.9,17546
82.5,3031,0,91.9,17518
83.6,3047,46,90.2,17523
84.6,3031,20,93.1,17579
85.7,3033,23,91.5,17562
86.8,3031,27,92.9,17540
87.8,3031,24,90.8,17523
88.9,3031,23,93.9,17547
89.9,3033,45,92.3,17552
91.0,3031,24,91.9,17532
92.1,3031,37,92.1,17491
93.1,3031,41,92.7,17508
94.2,3031,45,92.8,17512
95.3,3031,15,91.9,17552
96.3,3031,0,92.1,17632
97.4,3031,0,90.9,17628
98.4,3031,45,93.0,17647
99.5,3033,0,94.3,17573
100.6,3055,0,92.6,17491
101.6,3055,31,90.9,17550
102.7,3047,36,91.0,17561
103.8,3047,5,92.5,17712
104.8,3037,2,91.9,17620
105.9,3031,0,87.3,17601
106.9,3031,17,91.2,17469
108.0,3037,17,90.5,17582
109.0,3031,25,88.4,17599
110.1,3033,15,90.1,17620
111.2,3031,43,83.7,17679
112.2,3033,0,85.6,17657
113.3,3031,0,90.5,17673
114.3,3031,0,87.5,17731
115.4,3031,0,91.4,17734
116.4,3031,7,90.6,17723
117.5,3031,11,89.4,17731
118.5,3031,0,84.4,17768
119.6,3031,28,85.5,17692
120.6,3055,25,85.1,17714
121.6,3047,2,88.8,17791
122.7,3031,40,90.3,17828
123.8,3031,0,87.4,17849
124.8,3031,14,87.4,17878
125.9,3031,25,89.0,17858
126.9,3047,0,88.5,17850
128.0,3031,0,87.8,17839
129.0,3031,36,88.3,17864
130.0,3055,17,87.7,17900
131.1,3047,49,89.5,17967
132.2,3037,37,87.6,17940
133.2,3031,35,89.6,18006
134.3,3031,33,88.2,17864
135.3,3031,6,91.9,17970
136.4,3031,16,91.8,18005
137.5,3031,0,92.3,18094
138.5,3037,0,92.7,18076
139.6,3031,35,89.9,18131
140.6,3031,30,90.4,18137
141.7,3031,35,90.3,18169
142.7,3031,34,90.1,18132
143.8,3047,21,93.3,18176
144.9,3033,35,91.6,18226
145.9,3037,24,88.8,18168
147.0,3037,10,91.2,18073
148.0,3031,0,87.9,18160
149.0,3043,37,89.1,18200
150.1,3033,40,90.9,18267
151.1,3037,38,90.2,18257
152.2,3055,0,88.9,18236
153.3,3033,22,90.1,18283
154.4,3031,26,88.9,18321
155.4,3031,2,89.5,18340
156.4,3033,11,90.6,18374
157.5,3031,45,87.3,18403
158.5,3033,0,87.4,18438
159.6,3031,11,90.2,18467
160.6,3031,23,90.4,18431
161.7,3055,0,90.0,18341
162.8,3055,36,87.8,18359
163.8,3031,19,85.7,18404
164.9,3031,37,87.7,18494
165.9,3033,43,89.4,18513
167.0,3055,0,87.9,18531
168.0,3033,20,89.0,18540
169.1,3047,44,83.4,18441
170.2,3031,0,85.2,18476
171.2,3031,44,88.1,18498
172.2,3047,6,83.1,18521
173.3,3031,36,84.6,18527
174.4,3031,0,89.0,18442
175.4,3031,13,81.8,18501
176.5,3031,12,81.3,18550
177.5,3031,42,87.1,18548
178.6,3031,29,84.2,18598
179.6,3031,41,88.7,18578
180.7,3031,35,84.7,18608
181.7,3031,26,84.7,18609
182.8,3031,45,85.4,18633
183.8,3031,5,79.7,18662
184.9,3031,33,77.9,18705
185.9,3031,24,82.0,18745
186.9,3031,35,84.6,18640
188.0,3031,44,86.8,18651
189.0,3031,0,82.7,18712
190.1,3033,13,78.8,18772
191.1,3031,30,84.3,18790
192.2,3031,0,87.1,18778
193.2,3031,41,81.0,18782
194.3,3031,38,80.3,18827
195.3,3031,44,86.2,18840
196.4,3031,11,85.2,18875
197.4,3031,0,88.4,18886
198.5,3033,33,91.8,18950
199.5,3055,5,88.5,18855
200.6,3033,31,88.8,18958
201.7,3037,8,90.4,18960
202.7,3031,3,90.1,19032
203.8,3047,14,90.6,19027
204.8,3031,14,89.1,19096
205.9,3055,0,90.1,19077
207.0,3031,0,91.9,19048
208.0,3031,0,88.2,19041
209.1,3031,0,90.4,19059
210.1,3031,19,91.3,19077
211.2,3031,36,89.1,19090
212.2,3031,22,90.2,18997
213.3,3031,36,89.2,19054
214.3,3031,32,90.2,19132
215.4,3047,39,89.9,19172
216.4,3055,6,90.0,19174
217.5,3031,35,91.6,19189
218.5,3031,25,89.6,19188
219.6,3055,3,90.0,19236
220.7,3033,11,88.9,19161
221.7,3031,8,88.4,19210
222.8,3031,0,90.0,19241
223.8,3031,0,90.4,19185
224.9,3047,0,89.6,19238
225.9,3055,0,90.1,19221
227.0,3037,5,90.3,19164
228.0,3031,8,90.4,19221
229.1,3031,0,89.5,19258
230.1,3047,2,89.6,19330
231.2,3047,0,90.8,19375
232.3,3031,0,91.1,19351
233.3,3037,11,89.8,19404
234.4,3037,39,90.3,19444
235.5,3033,37,90.3,19426
236.5,3031,8,91.6,19414
237.6,3031,28,89.1,19428
238.6,3047,32,89.0,19485
239.7,3037,37,88.5,19484
240.8,3031,27,89.6,19535
241.8,3037,0,88.6,19427
242.9,3055,2,90.0,19464
243.9,3031,10,88.6,19491
245.0,3031,44,88.8,19536
246.0,3031,14,90.7,19577
247.1,3031,18,89.4,19595
248.1,3031,0,89.8,19628
249.2,3031,41,90.1,19665
250.2,3033,0,89.9,19690
251.3,3033,15,89.3,19684
252.4,3035,39,90.0,19668
253.4,3031,48,89.7,19710
254.5,3031,0,91.4,19614
255.5,3031,1,90.8,19578
256.6,3033,0,87.9,19627
257.7,3031,0,89.2,19775
258.7,3047,0,87.9,19751
259.7,3031,28,85.9,19715
260.8,3037,0,82.0,19732
261.9,3031,27,87.4,19744
262.9,3047,18,85.5,19710
264.0,3031,1,84.3,19734
265.0,3033,25,84.9,19717
266.1,3055,29,77.6,19727
267.1,3031,53,81.8,19761
268.2,3047,0,85.0,19783
269.2,3031,0,86.3,19836
270.3,3031,29,83.8,19809
271.3,3031,32,81.8,19778
272.4,3047,5,84.0,18963
