t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,26.8,14490
2.6,15,0,23.5,14274
3.6,15,0,20.9,14284
4.7,15,0,20.1,14291
5.7,15,0,20.6,14301
6.7,15,0,21.3,14307
7.7,15,0,20.2,14291
8.8,15,0,25.5,14286
9.8,15,0,24.6,14322
10.8,15,0,21.8,14339
11.9,15,0,20.8,14335
12.9,15,0,20.6,14307
13.9,15,0,20.6,14325
15.0,15,0,20.3,14341
16.0,15,0,21.5,14378
17.0,15,0,20.5,14360
18.1,15,0,21.0,14353
19.1,15,0,20.4,14362
20.1,15,0,16.5,14339
21.2,15,0,16.8,14347
22.2,15,0,18.8,14327
23.2,15,0,16.7,14285
24.3,15,0,17.1,14316
25.3,15,0,26.7,14888
26.3,15,0,18.6,14908
27.4,15,0,17.2,14905
28.4,15,0,17.3,14923
29.4,15,0,16.8,14927
30.4,15,0,17.3,14899
31.5,15,0,16.8,14906
32.5,15,0,17.0,14865
33.5,15,0,20.1,14131
34.6,15,0,16.7,14030
35.6,15,0,18.7,14024
36.6,15,0,19.8,14001
37.7,15,0,16.5,13987
38.7,15,0,16.5,14001
39.7,15,0,16.1,13993
40.8,15,0,16.2,13942
41.8,15,0,18.0,13924
42.8,15,0,16.3,13880
43.9,15,0,16.4,13879
44.9,15,0,16.3,13867
45.9,15,0,15.8,13853
47.0,15,0,15.8,13840
48.0,15,0,16.6,13853
49.0,15,0,15.8,13849
50.1,15,0,16.0,13847
51.1,15,0,16.3,13834
52.1,15,0,16.3,13838
53.2,15,0,15.7,13835
54.2,15,0,15.7,13832
55.2,15,0,16.3,13829
56.3,15,0,15.9,13843
57.3,15,0,17.3,13850
58.3,15,0,16.1,13860
59.4,15,0,18.5,13869
60.4,15,0,16.0,13877
61.4,15,0,16.6,13874
62.5,15,0,15.9,13872
63.5,15,0,15.4,13865
64.5,15,0,16.0,13865
65.6,15,0,16.2,13867
66.6,15,0,15.9,13882
67.6,15,0,16.4,13870
68.7,15,0,16.4,13885
69.7,15,0,16.1,13888
70.7,15,0,16.7,13884
71.8,15,0,15.6,13857
72.8,15,0,15.7,13870
73.8,15,0,15.7,13855
74.9,15,0,15.5,13864
75.9,15,0,16.7,13874
76.9,15,0,15.9,13881
78.0,15,0,16.6,13886
79.0,15,0,16.8,13888
80.0,15,0,15.9,13885
81.0,15,0,16.1,13905
82.1,15,0,15.8,13902
83.1,15,0,16.3,13908
84.1,15,0,16.0,13906
85.2,15,0,28.1,14403
86.2,15,0,20.2,14262
87.2,15,0,15.9,14262
88.3,15,0,15.9,14241
89.3,15,0,15.7,14239
90.3,15,0,16.4,14169
91.4,15,0,15.4,14171
92.4,15,0,16.5,14158
93.4,15,0,15.4,14132
94.5,15,0,21.0,13867
95.5,15,0,15.5,13852
96.5,15,0,18.9,13846
97.6,15,0,15.7,13845
98.6,15,0,21.0,13856
99.6,15,0,16.5,13875
100.7,15,0,16.2,13865
101.7,15,0,16.6,13872
102.7,15,0,16.5,13874
103.8,15,0,16.1,13874
104.8,15,0,16.8,13885
105.8,15,0,16.5,13900
106.9,15,0,16.5,13918
107.9,15,0,16.8,13950
108.9,15,0,18.7,13928
109.9,15,0,15.6,13924
111.0,15,0,16.6,13901
112.0,15,0,16.0,13902
113.0,15,0,15.8,13903
114.1,15,0,15.9,13895
115.1,15,0,15.6,13911
116.1,15,0,16.2,13917
117.2,15,0,15.3,13921
118.2,15,0,15.7,13950
119.2,15,0,16.5,13917
120.3,15,0,16.0,13916
121.3,15,0,16.3,13896
122.3,15,0,15.1,13879
123.4,15,0,15.9,13899
124.4,15,0,15.5,13903
125.4,15,0,15.7,13895
126.5,15,0,16.3,13902
127.5,15,0,15.9,13918
128.5,15,0,16.1,13919
129.6,15,0,15.9,13929
130.6,15,0,16.3,13915
131.6,15,0,16.0,13927
132.7,15,0,15.5,13927
133.7,15,0,15.5,13940
134.7,15,0,16.2,13940
135.7,15,0,16.3,13913
136.8,15,0,16.3,13909
137.8,15,0,16.3,13906
138.8,15,0,15.9,13912
139.9,15,0,16.2,13922
140.9,15,0,15.7,13907
141.9,15,0,15.5,13908
