t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,26.6,13138
2.6,15,0,16.6,13267
3.6,15,0,15.8,13423
4.7,15,0,18.9,13419
5.7,15,0,18.9,13433
6.7,15,0,17.4,13428
7.7,15,0,17.9,13442
8.8,15,0,20.4,13447
9.8,15,0,17.5,13437
10.8,15,0,19.3,13422
11.9,15,0,29.3,13424
12.9,15,0,19.7,13404
13.9,15,0,23.2,13426
15.0,15,0,19.9,13439
16.0,15,0,20.7,13426
17.0,15,0,22.9,13428
18.1,15,0,23.5,13449
19.1,15,0,19.3,13464
20.1,15,0,18.3,13434
21.2,15,0,20.4,13441
22.2,15,0,19.1,13435
23.2,15,0,21.1,13445
24.3,15,0,21.5,13465
25.3,15,0,19.5,13490
26.3,15,0,19.9,13478
27.4,15,0,19.6,13467
28.4,15,0,20.4,13472
29.4,15,0,21.4,13486
30.5,15,0,21.3,13488
31.5,15,0,24.0,13490
32.5,15,0,18.2,13485
33.6,15,0,19.4,13494
34.6,15,0,19.9,13501
35.6,15,0,19.4,13497
36.6,15,0,19.8,13492
37.7,15,0,19.4,13485
38.7,15,0,19.3,13477
39.7,15,0,21.8,13471
40.8,15,0,20.0,13478
41.8,15,0,19.3,13489
42.8,15,0,20.0,13473
43.9,15,0,23.8,13507
44.9,15,0,20.2,13502
46.0,15,0,20.4,13518
47.0,15,0,20.4,13502
48.0,15,0,21.1,13492
49.1,15,0,23.4,13510
50.1,15,0,24.4,13513
51.1,15,0,22.1,13525
52.2,15,0,22.3,13490
53.2,15,0,22.0,13481
54.2,15,0,23.6,13488
55.3,15,0,23.3,13475
56.3,15,0,21.1,13477
57.3,15,0,21.4,13482
58.4,15,0,20.3,13494
59.4,15,0,21.0,13491
60.4,15,0,20.7,13518
61.5,15,0,21.7,13525
62.5,15,0,25.7,13525
63.5,15,0,18.8,13507
64.6,15,0,22.0,13492
65.6,15,0,20.0,13490
66.6,15,0,21.0,13482
67.7,15,0,23.4,13462
68.7,15,0,19.8,13475
69.7,15,0,20.2,13477
