t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,26.6,12756
1.0,207,0,36.2,13099
2.1,2443,0,26.4,13391
3.1,3033,30,55.5,13508
4.1,3031,34,63.1,13583
5.2,3047,35,61.5,13556
6.2,3047,64,41.8,13495
7.3,3031,24,47.1,13495
8.3,3047,45,40.3,13460
9.3,3047,40,45.6,13444
10.4,3031,47,44.0,13519
11.4,3031,24,43.9,13553
12.4,3033,7,44.2,13537
13.5,3031,20,44.4,13464
14.5,3037,51,43.6,13566
15.5,3031,41,41.8,13597
16.6,3031,33,41.7,13583
17.6,3047,37,45.3,13615
18.6,3031,11,41.3,13605
19.7,3047,51,44.3,13651
20.7,3047,30,41.7,13548
21.8,3031,44,48.0,13651
22.8,3037,32,44.2,13647
23.8,3031,30,42.5,13635
24.9,3031,51,41.9,13643
25.9,3033,25,45.7,13633
26.9,3031,31,42.9,13667
27.9,3031,40,48.7,13565
29.0,3037,14,54.5,13632
30.0,3047,49,51.5,13705
31.1,3035,18,53.8,13710
32.1,3047,9,55.2,13765
33.2,3037,17,54.7,13722
34.2,3055,41,56.3,13778
35.2,3037,19,57.6,13792
36.3,3047,46,54.4,13650
37.3,3047,40,55.9,13729
38.4,3031,37,52.6,13756
39.4,3047,24,54.4,13782
40.4,3055,60,59.9,13795
41.5,3031,29,53.8,13786
42.5,3033,38,58.7,13792
43.6,3047,21,56.1,13678
44.6,3043,22,57.7,13742
45.6,3031,54,54.1,13825
46.7,3031,33,52.9,13779
47.7,3031,15,57.7,13800
48.8,3037,16,59.0,13775
49.8,3047,39,54.6,13807
50.8,3047,35,54.0,13694
51.9,3037,7,57.7,13737
52.9,3033,49,53.0,13732
54.0,3033,45,52.2,13755
55.0,3031,20,56.0,13743
56.1,3047,33,57.8,13809
57.1,3031,52,53.5,13781
58.1,3031,22,54.1,13800
59.2,3031,19,51.4,13734
60.2,3033,47,58.0,13757
61.2,3033,15,54.5,13737
62.3,3031,53,66.8,13802
63.3,3033,13,52.8,13768
64.4,3031,53,56.6,13769
65.4,3047,21,56.6,13779
66.4,3031,18,54.6,13842
67.5,3031,43,51.3,13793
68.5,3031,50,56.2,13723
69.6,3055,8,57.3,13820
70.6,3031,57,53.1,13794
71.6,3037,12,57.3,13810
72.7,3031,32,52.9,13817
73.7,3033,49,56.2,13790
74.7,3031,42,52.0,13806
75.8,3031,6,53.8,13754
76.8,3047,42,55.4,13775
77.9,3047,9,52.2,13853
78.9,3047,30,53.9,13845
80.0,3031,34,51.3,13844
81.0,3031,31,53.9,13877
82.0,3033,24,52.5,13908
83.1,3055,24,52.4,13788
84.1,3047,47,51.5,13831
85.2,3047,38,56.9,13886
86.2,3031,40,55.4,13932
87.2,3055,50,56.4,13955
88.3,3033,18,54.8,14025
89.3,3031,28,57.4,14007
90.3,3037,29,52.4,14013
91.4,3031,22,51.8,13954
92.4,3055,24,57.4,13974
93.5,3031,7,55.4,14045
94.5,3031,43,52.0,14013
95.5,3031,2,60.1,14013
96.5,3031,50,60.4,14073
97.6,3055,51,59.4,14076
98.6,3031,25,57.2,14034
99.7,3047,13,57.5,14035
100.7,3031,43,51.3,14035
101.7,3031,29,50.7,13999
102.8,3031,43,55.1,14051
103.8,3031,49,51.4,14029
104.8,3031,15,53.6,14035
105.9,3047,35,59.0,13923
106.9,3033,10,53.3,14033
107.9,3047,11,53.9,14060
109.0,3047,52,52.7,14082
110.0,3031,48,48.7,14095
111.1,3047,43,57.1,14140
112.1,3047,38,53.4,14127
113.1,3047,55,55.8,13989
114.2,3047,10,53.5,14054
115.2,3031,19,55.8,14098
