t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,16,9,82.5,13730
2.6,16,0,91.6,13793
3.7,16,0,92.6,13813
4.7,16,0,87.1,13826
5.7,16,0,92.7,13812
6.8,16,0,91.8,13801
7.8,16,0,91.8,13820
8.9,16,0,93.7,13838
9.9,16,0,92.1,13837
11.0,16,0,92.7,13817
12.0,16,0,92.2,13802
13.1,16,0,92.5,13806
14.1,16,0,92.3,13815
15.1,16,0,92.3,13806
16.2,16,0,92.8,13825
17.2,16,0,93.3,13981
18.3,16,0,92.5,13906
19.3,16,0,91.8,13997
20.4,16,0,90.0,13638
21.4,16,0,91.7,13656
22.5,16,0,91.5,13626
23.5,16,0,92.6,13606
24.6,16,0,91.4,13621
25.6,16,0,91.8,13593
26.7,16,0,90.9,13591
27.7,16,0,91.4,13587
28.8,16,0,89.0,13595
29.8,16,0,89.5,13555
30.9,16,0,91.5,13556
31.9,16,0,92.3,13576
33.0,16,0,88.5,13558
34.0,16,0,91.9,13555
35.1,16,0,92.0,13565
36.1,16,0,90.2,13546
37.2,16,0,91.4,13493
38.2,16,0,88.4,13497
39.3,16,0,87.4,13452
40.3,16,0,91.9,13461
41.4,16,0,90.4,13460
42.4,16,0,84.1,13471
43.5,16,0,86.2,13451
44.5,16,0,87.0,13445
45.6,16,0,86.6,13461
46.6,16,0,88.6,13452
47.7,16,0,87.4,13441
48.7,16,0,84.7,13436
49.8,16,0,83.4,13431
50.8,16,0,87.2,13425
51.9,16,0,88.6,13427
52.9,16,0,86.2,13432
53.9,16,0,85.2,13449
55.0,16,0,86.5,13441
56.0,16,0,90.2,13423
57.1,16,0,92.4,13444
58.1,16,0,86.8,13419
59.2,16,0,90.6,13463
60.2,16,0,83.0,13479
61.3,16,0,80.2,13478
62.3,16,0,64.9,13485
63.4,16,0,80.7,13492
64.4,16,0,92.2,13502
65.5,16,0,88.9,13520
66.5,16,0,89.2,13512
67.5,16,0,86.7,13528
68.6,16,0,88.0,13525
69.6,16,0,88.3,13508
70.7,16,0,90.1,13500
71.7,16,0,88.3,13505
72.8,16,0,88.0,13496
73.8,16,0,87.6,13516
74.9,16,0,85.4,13529
75.9,16,0,88.6,13510
77.0,16,0,86.7,13624
78.0,16,0,85.9,13920
79.1,16,0,85.6,13880
80.1,16,0,84.5,13897
81.1,16,0,82.1,13873
82.2,16,0,84.0,13882
83.2,16,0,85.5,13871
84.3,16,0,84.5,13863
85.3,16,0,84.8,13876
86.4,16,0,88.5,13605
87.4,16,0,86.2,13581
88.5,16,0,88.3,13574
89.5,16,0,87.8,13562
90.6,16,0,87.7,13542
91.6,16,0,85.1,13550
92.7,16,0,86.7,13539
93.7,16,0,85.9,13519
94.7,16,0,86.9,13519
95.8,16,0,88.2,13531
96.8,16,0,87.5,13510
97.9,16,0,87.3,13515
98.9,16,0,85.5,13507
100.0,16,0,85.0,13513
101.0,16,0,85.2,13519
102.1,16,0,85.6,13517
103.1,16,0,86.5,13513
104.2,16,0,87.0,13535
105.2,16,0,87.4,13538
106.3,16,0,85.9,13486
107.3,16,0,80.4,13509
108.4,16,0,84.0,13498
109.4,16,0,85.7,13494
110.5,16,0,85.6,13509
111.5,16,0,89.5,13531
112.6,16,0,86.0,13521
113.6,16,0,87.7,13509
114.7,16,0,88.2,13500
115.7,16,0,88.6,13525
116.8,16,0,89.9,13529
117.8,16,0,87.8,13553
118.9,16,0,81.8,13605
119.9,16,0,61.8,13603
120.9,16,0,75.1,13622
122.0,16,0,81.4,13619
123.0,16,0,90.1,13614
124.1,16,0,89.2,13598
125.1,16,0,87.2,13599
126.2,16,0,91.1,13595
127.2,16,0,84.0,13612
128.3,16,0,86.8,13631
129.3,16,0,86.4,13628
130.4,16,0,82.5,13641
131.4,16,0,87.7,13641
132.5,16,0,85.5,13637
133.5,16,0,88.1,13644
134.5,16,0,87.4,13640
135.6,16,0,87.1,13647
136.6,16,0,85.8,13703
137.7,16,0,84.8,13947
138.7,16,0,85.6,13935
139.8,16,0,88.2,13907
140.8,16,0,87.9,13916
141.9,16,0,87.6,13929
142.9,16,0,88.1,13930
144.0,16,0,88.7,13938
