# timestamp tx ty tz qx qy qz qw
1.403636579763555765e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.403636579813555479e+09 -1.514670532196760178e-02 3.775578225031495094e-04 6.038574501872062683e-03 -2.634060655697691156e-03 1.517526953979871822e-03 -7.251224194403770983e-04 9.999951165050171564e-01
1.403636579863555670e+09 -3.428165987133979797e-02 6.913832039572298527e-04 1.268570497632026672e-02 -4.922957672809479511e-03 -6.141190594050120440e-04 -2.415807246885633749e-03 9.999847754945465628e-01
1.403636579913555622e+09 -5.670227482914924622e-02 1.547532854601740837e-03 2.090648561716079712e-02 -5.868847790376325105e-03 -5.598202663474309386e-03 -2.901227368566417549e-03 9.999628991279166934e-01
1.403636579963555574e+09 -8.099112659692764282e-02 1.427795155905187130e-03 2.862806804478168488e-02 -5.942561614782544167e-03 -1.165032656588847922e-02 -2.745879092939424067e-03 9.999107040132982904e-01
1.403636580013555527e+09 -1.069701090455055237e-01 1.179570681415498257e-03 3.648572042584419250e-02 -5.949982443026224574e-03 -1.651324332055830596e-02 -1.056000823343965353e-03 9.998453857303262193e-01
1.403636580063555717e+09 -1.338661313056945801e-01 1.033687498420476913e-03 4.433443397283554077e-02 -6.267799686379385733e-03 -1.998562639624293369e-02 -1.737833140996028806e-04 9.997806055450370044e-01
1.403636580113555431e+09 -1.599823981523513794e-01 1.045681070536375046e-03 5.215466022491455078e-02 -5.964179803853907058e-03 -2.234794688904047713e-02 2.042254136824444427e-03 9.997303771653397453e-01
1.403636580163555622e+09 -1.850598156452178955e-01 9.670974104665219784e-04 5.903762951493263245e-02 -5.582100874872424935e-03 -2.414639722066741143e-02 3.360552996793126496e-03 9.996872002454769701e-01
1.403636580213555574e+09 -2.090193480253219604e-01 1.126085291616618633e-03 6.557384133338928223e-02 -5.154962791133804213e-03 -2.626511847295939436e-02 3.539525447119170210e-03 9.996354543881648125e-01
1.403636580263555765e+09 -2.311944663524627686e-01 9.253540192730724812e-04 7.128709554672241211e-02 -5.041267064042139097e-03 -2.873360069280152945e-02 2.972087010495620858e-03 9.995699737969412357e-01
1.403636580313555479e+09 -2.510701715946197510e-01 6.878096610307693481e-04 7.582391798496246338e-02 -5.228659152690015230e-03 -3.258037948769216402e-02 5.756602638650004612e-04 9.994552759434329747e-01
1.403636580363555670e+09 -2.691150903701782227e-01 -1.092835464078234509e-05 7.913253456354141235e-02 -4.321614455832959584e-03 -3.815920022213054041e-02 6.380182757291240109e-05 9.992623254262262833e-01
1.403636580413555622e+09 -2.844620645046234131e-01 -4.549695295281708241e-04 8.153431862592697144e-02 -4.505328243036031688e-03 -4.577457404920134282e-02 -1.246619934919538297e-03 9.989408572717278778e-01
1.403636580463555574e+09 -2.962291538715362549e-01 -1.127590425312519073e-03 8.320402354001998901e-02 -4.117780754057758646e-03 -5.452807518662557140e-02 -1.437204630368621970e-03 9.985027127359011878e-01
1.403636580513555527e+09 -3.036794662475585938e-01 -1.722067012451589108e-03 8.393361419439315796e-02 -4.041631717719797179e-03 -6.307188439685156023e-02 -1.462984368700747306e-03 9.979997306053872697e-01
1.403636580563555717e+09 -3.033567667007446289e-01 -2.482569310814142227e-03 8.301079273223876953e-02 -3.052941560782785647e-03 -6.962224395189010873e-02 -2.590038764174551564e-04 9.975687222502127582e-01
1.403636580613555431e+09 -2.930789291858673096e-01 -3.564215963706374168e-03 7.966327667236328125e-02 -1.674815557502839754e-03 -7.222412071076680928e-02 4.302317994772138091e-04 9.973869290706608437e-01
1.403636580663555622e+09 -2.741287946701049805e-01 -5.021526012569665909e-03 7.441292703151702881e-02 -1.508135254817004594e-03 -7.110247122851325041e-02 3.008123939913064505e-04 9.974678308723320397e-01
1.403636580713555574e+09 -2.476948201656341553e-01 -6.660541985183954239e-03 6.785667687654495239e-02 -2.832764228009873337e-03 -6.735172710880626967e-02 -1.751845312474145005e-03 9.977237349789221943e-01
1.403636580763555765e+09 -2.155599743127822876e-01 -7.657811045646667480e-03 6.041470170021057129e-02 -5.034111285108317999e-03 -6.215488346680843323e-02 -4.975106413888596979e-03 9.980414202331320261e-01
1.403636580813555479e+09 -1.794219315052032471e-01 -8.722571656107902527e-03 5.267065018415451050e-02 -8.370350328334030462e-03 -5.578859044396800027e-02 -8.365600583610913882e-03 9.983724691409172625e-01
1.403636580863555670e+09 -1.397220641374588013e-01 -9.946729056537151337e-03 4.387022182345390320e-02 -1.334055176484621151e-02 -4.849564820984614277e-02 -1.196154993838507638e-02 9.986626673238506724e-01
1.403636580913555622e+09 -9.961363673210144043e-02 -1.182346045970916748e-02 3.549162670969963074e-02 -1.855710652427259438e-02 -4.103378457010810332e-02 -1.575933163693005526e-02 9.988611043521807842e-01
1.403636580963555574e+09 -6.017286330461502075e-02 -1.495137438178062439e-02 2.575984038412570953e-02 -2.071513095711972549e-02 -3.360417933048587269e-02 -1.786660443039247981e-02 9.990607723892884762e-01
1.403636581013555527e+09 -2.422011829912662506e-02 -1.797804795205593109e-02 1.714836061000823975e-02 -2.082821643928486205e-02 -2.672154350058356109e-02 -1.929454801204179976e-02 9.992396433938736111e-01
1.403636581063555717e+09 1.004295330494642258e-02 -2.039420232176780701e-02 8.618731051683425903e-03 -1.989163610937117951e-02 -2.018763090766969789e-02 -1.881497880256862570e-02 9.994212219799452068e-01
1.403636581113555431e+09 4.235559701919555664e-02 -2.155446819961071014e-02 1.015774323605000973e-03 -2.023326542415992621e-02 -1.364744877693658230e-02 -1.799426357917413913e-02 9.995401785773293524e-01
1.403636581163555622e+09 7.072331756353378296e-02 -2.270914614200592041e-02 -6.053403951227664948e-03 -2.065425802575903552e-02 -5.729493811243228409e-03 -1.510148219691689019e-02 9.996562007818130535e-01
1.403636581213555574e+09 9.592303633689880371e-02 -2.313759922981262207e-02 -1.288458425551652908e-02 -2.101778692335111096e-02 2.351564237189782136e-03 -1.333190620099379206e-02 9.996874426817268233e-01
1.403636581263555765e+09 1.175272315740585327e-01 -2.303224243223667145e-02 -1.891880109906196594e-02 -2.084168986281937155e-02 1.122334510803447635e-02 -1.098628532763129724e-02 9.996594230151325533e-01
1.403636581313555479e+09 1.336446106433868408e-01 -2.264007553458213806e-02 -2.462341636419296265e-02 -2.040355793392082534e-02 1.870019505991879841e-02 -1.192020877723899870e-02 9.995458499493984350e-01
1.403636581363555670e+09 1.422662883996963501e-01 -2.260303869843482971e-02 -2.860250324010848999e-02 -2.089614387762611658e-02 2.389236501451348638e-02 -1.208929232575472676e-02 9.994230110799537936e-01
1.403636581413555622e+09 1.423134058713912964e-01 -2.197754569351673126e-02 -3.038721531629562378e-02 -2.310333515597157161e-02 2.508162815589083314e-02 -1.463145996713762637e-02 9.993112969505301146e-01
1.403636581463555574e+09 1.334675848484039307e-01 -2.021570689976215363e-02 -2.942671626806259155e-02 -2.440561889888812064e-02 2.272591159621815959e-02 -1.745550504221406868e-02 9.992913509342530309e-01
1.403636581513555527e+09 1.166406422853469849e-01 -1.827492751181125641e-02 -2.589229494333267212e-02 -2.573186507979672785e-02 1.744909195933304000e-02 -2.001894992046167332e-02 9.993160871082741314e-01
1.403636581563555717e+09 9.360199421644210815e-02 -1.699594035744667053e-02 -1.886038295924663544e-02 -2.654481268285162343e-02 1.132592542482153096e-02 -1.876992891407434222e-02 9.994072173551001859e-01
1.403636581613555431e+09 6.648055464029312134e-02 -1.482199691236019135e-02 -1.084680203348398209e-02 -2.566805208387048023e-02 4.873571286075183660e-03 -1.748105637906553420e-02 9.995057839117347243e-01
1.403636581663555622e+09 3.620542213320732117e-02 -1.244042068719863892e-02 -1.819497905671596527e-03 -2.513263145577020533e-02 -4.227472142242186422e-05 -1.513396810686412110e-02 9.995695633913113110e-01
1.403636581713555574e+09 4.851637873798608780e-03 -8.853450417518615723e-03 7.615822833031415939e-03 -2.449357747803865282e-02 -3.478457960440738128e-03 -1.668798645700491148e-02 9.995546388770129020e-01
1.403636581763555765e+09 -2.835520915687084198e-02 -5.896790884435176849e-03 1.735622994601726532e-02 -2.315961300718379426e-02 -4.992551923626022473e-03 -1.488594471493491153e-02 9.996084810567540391e-01
1.403636581813555479e+09 -6.179558485746383667e-02 -3.495793789625167847e-03 2.590143121778964996e-02 -2.015491073984445811e-02 -6.387018657099777751e-03 -1.479544582518135289e-02 9.996669847247016127e-01
