t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,114,36,20.9,14571
1.0,114,36,22.1,14690
2.1,114,36,15.8,14784
3.1,114,37,24.0,14886
4.2,395,36,32.2,15504
5.2,595,59,21.9,15774
6.2,3771,25,34.3,16059
7.3,5657,100,51.2,16384
8.4,5665,100,30.3,16521
9.4,7173,47,39.4,16717
10.5,7444,100,32.9,16976
11.5,7460,68,27.1,16982
12.6,7460,100,23.5,17001
13.6,7460,100,27.4,17017
14.6,7460,100,23.2,17015
15.7,7460,100,30.0,17028
16.7,7460,73,20.9,17036
17.7,7460,100,32.4,17054
18.8,7460,100,24.7,17051
19.8,7460,100,28.2,16982
20.8,7460,100,22.8,17008
21.9,7460,78,27.1,17014
22.9,7460,100,29.0,17001
23.9,7588,100,28.1,17005
25.0,7524,94,37.0,17009
26.0,7524,100,33.4,17006
27.0,7524,100,22.2,17010
28.1,7524,76,32.4,17003
29.1,7524,100,21.7,17014
30.2,7524,80,27.9,17027
31.2,7524,100,25.2,17012
32.2,7524,100,24.5,17004
33.3,7524,100,24.2,16996
34.3,7524,95,28.0,16998
35.3,7524,100,19.2,17012
36.4,7524,65,29.5,17030
37.4,7524,100,20.1,17029
38.4,7524,100,29.0,17011
39.5,7524,100,32.5,17023
40.5,7524,100,26.2,17025
41.5,7524,80,23.7,17023
42.6,7524,100,43.0,17021
43.6,7524,100,40.4,17203
44.6,7524,100,34.2,17138
45.7,7524,100,26.6,17147
46.7,7524,100,22.5,17142
47.8,7524,100,29.0,17135
48.8,7524,69,27.4,17173
49.8,7524,100,30.2,17181
50.9,7524,100,26.9,17209
51.9,7524,100,32.4,17162
52.9,7524,100,44.7,17227
54.0,7524,72,32.3,17216
55.0,7524,100,23.4,17230
56.0,7524,100,39.6,17443
57.1,7524,100,45.3,17511
58.1,7524,100,41.9,17687
59.2,7524,60,45.7,17667
60.2,7524,100,29.2,17780
61.2,7524,100,39.0,17829
62.3,7524,100,42.2,17841
63.3,7524,80,40.3,17785
64.3,7524,100,43.5,17732
65.4,7524,100,43.1,17732
66.4,7524,100,36.8,17748
67.5,7524,100,40.2,17774
68.5,7524,75,29.4,17779
69.5,7524,100,34.0,17789
70.6,7524,100,38.7,17813
