t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,115,36,27.6,16219
1.0,115,36,29.7,16396
2.2,2544,23,30.0,16760
3.2,3138,52,57.3,16911
4.3,3148,42,51.0,16980
5.3,3132,63,45.2,16962
6.4,3132,60,40.6,16963
7.4,3134,63,45.0,16963
8.4,3134,46,65.5,16959
9.5,3138,52,62.6,16950
10.5,3146,50,44.6,16964
11.5,3132,47,56.3,16874
12.6,3132,63,45.5,16881
13.6,3134,56,46.1,16944
14.6,3134,23,49.9,16934
15.7,3132,34,43.3,16959
16.7,3132,30,41.1,16999
17.7,3138,26,42.0,16990
18.8,3138,37,38.1,17048
19.8,3132,63,41.7,17035
20.8,3132,57,45.2,17052
21.9,3132,26,41.0,17110
22.9,3132,16,37.1,17134
23.9,3156,23,34.4,17185
25.0,3132,45,38.6,17200
26.0,3148,58,41.8,17258
27.0,3132,43,44.6,17288
28.1,3156,20,41.3,17324
29.1,3138,19,39.8,17361
30.2,3132,44,43.9,17366
31.2,3148,57,40.2,17301
32.2,3132,51,41.8,17298
33.3,3132,30,39.4,17327
34.3,3148,59,41.0,17305
35.3,3132,36,38.1,17277
36.4,3148,68,38.4,17269
37.4,3138,67,40.4,17285
38.4,3132,55,42.9,17279
39.5,3132,28,42.1,17280
40.5,3132,36,46.1,17294
41.5,3132,68,42.4,17312
42.6,3134,31,44.8,17275
43.6,3132,37,41.4,17293
44.6,3138,32,42.8,17266
45.7,3134,65,45.9,17256
46.7,3138,40,52.4,17277
47.8,3132,44,53.8,17251
48.8,3138,25,43.3,17281
49.8,3134,26,39.6,17271
50.9,3132,28,38.4,17297
51.9,3134,54,37.8,17290
52.9,3132,38,42.7,17320
54.0,3148,31,50.2,17313
55.0,3132,42,41.2,17348
56.0,3132,68,41.9,17330
57.1,3146,58,55.0,17335
58.1,3138,26,51.2,17346
59.2,3138,31,43.7,17344
60.2,3132,39,37.9,17359
61.3,3138,58,45.9,17384
62.3,3148,23,40.0,17370
63.3,3138,53,47.5,17345
64.4,3156,59,42.3,17447
65.4,3134,61,38.6,17454
66.4,3148,21,38.2,17483
67.5,3132,62,37.1,17473
68.5,3132,40,39.5,17492
69.5,3132,38,44.3,17479
70.6,3138,45,40.1,17483
71.6,3148,41,39.5,17488
72.7,3138,35,38.9,17504
73.7,3132,62,39.7,17531
74.7,3132,16,41.0,17545
75.8,3134,45,47.3,17530
76.8,3132,50,48.5,17545
77.8,3136,16,56.8,17543
78.9,3132,66,39.6,17529
79.9,3132,58,47.4,17545
80.9,3138,30,40.4,17556
82.0,3132,16,42.7,17576
83.0,3132,17,19.7,17598
84.0,115,16,23.6,16860
