t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,115,36,87.9,16324
1.1,115,37,81.6,16417
2.1,115,30,94.3,16425
3.2,115,40,91.7,16365
4.2,115,37,86.2,16373
5.3,115,36,77.5,16386
6.3,115,36,77.5,16350
7.4,115,36,83.8,16343
8.4,115,35,87.9,16326
9.5,115,36,90.3,16328
10.5,115,37,85.6,16346
11.6,115,36,78.5,16352
12.7,115,36,91.5,16359
13.7,115,34,91.2,16326
14.8,115,36,92.0,16356
15.8,115,38,94.2,16389
16.9,115,36,95.7,16383
17.9,115,36,88.7,16388
19.0,115,36,84.5,16363
20.0,115,36,85.1,16372
21.1,115,36,84.4,16337
22.1,115,35,95.9,16348
23.2,115,42,89.7,16362
