t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,102,0,0.0,11562
1.0,119,0,0.0,11761
2.1,4986,30,0.0,12054
3.1,11400,79,0.0,12208
4.1,11170,88,0.0,12217
5.1,11706,69,0.0,12239
6.2,11220,75,0.0,12242
7.2,11242,78,0.0,12259
8.3,11224,90,0.0,12268
9.3,11754,39,0.0,12283
10.3,11260,89,0.0,12272
11.3,11262,85,0.0,12278
12.4,11854,76,0.0,12261
13.4,11094,91,0.0,12260
14.4,11288,80,0.0,12258
15.5,11288,92,0.0,12260
16.5,11726,23,0.0,12253
17.5,11726,23,0.0,12251
18.5,11288,63,0.0,12252
19.6,11604,84,0.0,12267
20.6,11672,92,0.0,12266
21.6,11640,87,0.0,12269
22.7,11448,89,0.0,12280
23.7,11672,65,0.0,12275
24.7,11690,20,0.0,12272
25.7,11724,52,0.0,12286
26.8,11230,60,0.0,12283
27.8,11586,68,0.0,12279
28.8,11516,58,0.0,12287
29.8,11340,43,0.0,12290
30.9,11798,84,0.0,12294
31.9,11710,74,0.0,12283
32.9,11270,78,0.0,12288
33.9,11498,73,0.0,12288
35.0,11270,81,0.0,12299
36.0,11374,70,0.0,12299
37.0,11392,82,0.0,12303
38.0,11322,78,0.0,12282
39.1,11428,86,0.0,12285
40.1,11756,81,0.0,12281
41.1,11366,81,0.0,12274
42.2,11788,93,0.0,12290
43.2,11730,81,0.0,12295
44.2,11794,78,0.0,12294
45.2,11658,84,0.0,12300
46.2,11726,83,0.0,12315
47.3,11498,81,0.0,12334
48.3,11702,89,0.0,12328
49.3,11736,74,0.0,12333
50.3,11246,89,0.0,12338
51.3,11862,58,0.0,12303
52.4,11422,84,0.0,12295
53.4,11262,57,0.0,12313
54.4,11686,67,0.0,12308
55.4,11420,64,0.0,12292
56.5,11720,73,0.0,12264
57.5,11350,75,0.0,12261
58.5,11750,71,0.0,12254
59.5,11776,70,0.0,12254
60.6,11442,67,0.0,12265
61.6,11744,62,0.0,12265
62.6,11338,37,0.0,12261
63.6,11338,73,0.0,12275
64.7,11530,77,0.0,12258
65.7,11846,58,0.0,12243
66.7,11482,57,0.0,12233
67.8,11604,64,0.0,12242
68.8,11640,52,0.0,12249
69.8,11604,63,0.0,12246
70.8,11482,77,0.0,12244
71.9,11480,58,0.0,12236
72.9,11376,67,0.0,12234
73.9,11746,78,0.0,12257
74.9,11216,77,0.0,12264
76.0,11816,84,0.0,12259
77.0,11410,72,0.0,12272
78.0,11412,79,0.0,12276
79.0,11870,81,0.0,12263
80.0,11482,82,0.0,12255
81.1,11710,73,0.0,12271
82.1,11796,80,0.0,12280
83.1,11762,63,0.0,12283
84.1,11596,83,0.0,12295
85.2,11576,20,0.0,12270
86.2,11438,71,0.0,12267
87.2,11394,69,0.0,12273
88.2,11622,93,0.0,12281
89.2,11800,81,0.0,12244
90.3,11542,62,0.0,12249
91.3,11476,66,0.0,12247
92.3,11442,63,0.0,12244
93.3,11566,73,0.0,12249
94.4,11754,45,0.0,12246
95.4,11788,71,0.0,12240
96.4,11634,87,0.0,12239
97.4,11634,85,0.0,12248
98.5,11656,53,0.0,12246
99.5,11810,81,0.0,12255
100.5,11330,63,0.0,12250
101.5,11496,16,0.0,12267
102.6,11496,43,0.0,12274
103.6,11656,15,0.0,12294
104.6,11476,66,0.0,12297
105.6,11492,84,0.0,12289
106.7,11568,78,0.0,12296
107.7,11866,66,0.0,12293
108.7,11812,71,0.0,12303
109.7,11352,72,0.0,12277
110.8,11408,76,0.0,12257
111.8,11362,72,0.0,12244
112.8,11822,80,0.0,12260
113.8,11486,80,0.0,12263
114.9,11822,84,0.0,12260
115.9,11688,66,0.0,12257
116.9,11570,66,0.0,12262
117.9,11470,70,0.0,12248
118.9,11476,79,0.0,12249
120.0,11848,80,0.0,12258
121.0,11690,59,0.0,12269
122.0,11754,55,0.0,12255
123.1,11790,69,0.0,12275
124.1,11760,93,0.0,12273
125.1,11430,85,0.0,12276
126.1,11438,94,0.0,12278
127.2,11550,87,0.0,12268
128.2,11736,77,0.0,12273
129.2,11682,73,0.0,12294
130.2,11808,73,0.0,12287
131.2,10870,66,0.0,12288
132.3,11756,84,0.0,12277
133.3,11490,83,0.0,12273
134.3,11614,53,0.0,12283
135.3,11792,70,0.0,12271
136.4,11578,34,0.0,12283
137.4,11700,69,0.0,12288
138.4,11734,72,0.0,12280
139.4,11512,73,0.0,12290
140.5,11798,83,0.0,12285
141.5,11716,68,0.0,12275
142.5,11510,69,0.0,12262
143.5,11688,70,0.0,12231
144.6,11362,87,0.0,12229
145.6,5742,16,0.0,12212
146.6,11742,97,0.0,12232
147.6,11714,98,0.0,12248
148.7,11808,100,0.0,12294
149.7,11738,97,0.0,12294
150.7,11380,99,0.0,12302
151.7,11752,98,0.0,12308
152.8,11606,98,0.0,12279
153.8,11752,98,0.0,12282
154.8,11872,97,0.0,12308
155.8,11752,99,0.0,12326
156.8,11872,98,0.0,12319
157.9,11752,99,0.0,12325
158.9,11872,98,0.0,12313
159.9,11752,84,0.0,12329
160.9,11404,97,0.0,12321
162.0,11706,96,0.0,12312
163.0,11774,97,0.0,12327
164.0,11768,97,0.0,12320
165.0,11688,98,0.0,12336
166.1,11726,97,0.0,12321
167.1,11506,95,0.0,12316
168.1,11726,97,0.0,12317
169.2,11706,98,0.0,12324
170.2,11494,95,0.0,12323
171.2,11716,63,0.0,12337
172.2,11726,95,0.0,12327
173.3,11730,100,0.0,12328
174.3,11740,96,0.0,12317
175.3,11730,99,0.0,12317
176.3,11728,95,0.0,12336
177.4,11736,98,0.0,12331
178.4,11704,96,0.0,12330
179.4,11844,97,0.0,12331
180.4,11742,94,0.0,12324
181.5,11542,96,0.0,12322
182.5,11680,97,0.0,12319
183.5,11682,99,0.0,12327
184.5,11718,98,0.0,12320
185.6,11726,98,0.0,12321
186.6,11826,0,0.0,12351
187.6,11132,23,0.0,12380
188.6,11132,87,0.0,12443
189.7,11132,6,0.0,12415
190.7,11132,68,0.0,12430
191.7,11132,97,0.0,12409
192.7,11132,0,0.0,12424
193.8,11132,95,0.0,12445
194.8,11132,21,0.0,12446
