t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,21.4,15256
1.0,269,2,26.0,15589
2.1,3035,25,17.8,15836
3.1,3051,4,28.1,15858
4.1,3051,51,27.7,15879
5.2,3041,31,24.2,15892
6.2,3035,39,23.7,15917
7.2,3041,41,26.8,15915
8.2,3059,16,23.2,15938
9.3,3051,44,26.1,16055
10.3,3051,34,24.2,16388
11.3,3035,30,23.6,16543
12.3,3035,38,24.5,16532
13.4,3059,46,24.7,16543
14.4,3041,36,23.0,16555
15.4,3035,9,23.2,16560
16.4,3051,56,23.1,16546
17.4,3035,7,25.8,16018
18.5,3059,48,23.4,15986
19.5,3041,35,23.7,15973
20.5,3035,19,24.8,15953
21.6,3051,49,23.3,15930
22.6,3037,44,24.3,15936
23.6,3035,47,23.8,15944
24.6,3035,39,27.1,15956
25.7,3035,10,23.3,15970
26.7,3035,36,24.7,15961
27.7,3035,43,23.8,15973
28.7,3041,16,22.6,15957
29.8,3035,41,22.9,15961
30.8,3035,50,23.5,16019
31.8,3059,26,22.4,16022
32.8,3035,37,23.5,16057
33.9,3037,13,24.9,16054
34.9,3051,44,26.0,16543
35.9,3051,32,23.4,16953
36.9,3041,13,36.8,17325
38.0,3039,14,35.8,16975
39.0,3035,44,42.4,16737
40.0,3041,38,31.2,16744
41.1,3037,22,23.5,16717
42.1,3035,56,24.8,16727
43.1,3035,43,24.7,16737
44.1,3051,50,32.0,16716
45.2,3035,7,24.7,16707
46.2,3035,24,25.8,16692
47.2,3035,63,26.3,16680
48.2,3037,54,25.3,16723
49.3,3035,36,25.9,16723
50.3,3051,14,27.8,16727
51.3,3035,24,26.3,16727
52.3,3035,54,26.0,16751
53.4,3051,14,29.9,16424
54.4,3035,49,24.5,16424
55.4,3035,34,24.2,16418
56.4,3035,29,24.8,16396
57.5,3035,7,24.8,16398
58.5,3035,3,23.6,16391
59.5,3035,55,23.1,16409
60.5,3051,20,22.8,16391
61.6,3035,18,23.1,16406
62.6,3051,48,25.5,16416
63.6,3051,52,23.5,16444
64.7,3035,23,27.9,16451
65.7,3035,46,26.4,16452
66.7,3061,46,28.1,16459
67.7,3037,62,26.3,16488
68.8,3035,21,23.5,16462
69.8,3035,52,25.4,16765
70.8,3035,13,22.9,17036
71.8,3035,18,25.5,17052
72.9,3051,11,24.5,17041
73.9,3037,39,24.1,17040
74.9,3035,23,26.4,17029
75.9,3035,55,23.8,16725
77.0,3051,42,23.6,16699
78.0,3037,25,24.9,16688
79.0,3035,32,25.3,16675
80.0,3051,54,29.1,16693
81.1,3059,50,26.1,16651
82.1,3035,44,25.1,16650
83.1,3059,18,26.0,16655
84.2,3041,42,28.7,16648
85.2,3035,41,25.7,16646
86.2,3059,17,26.0,16661
87.2,3041,43,25.8,16657
88.3,3035,38,24.7,16656
89.3,3051,16,25.2,16650
90.3,3051,29,25.3,16606
91.3,3059,9,24.7,16618
92.4,3051,52,23.8,16628
93.4,3035,16,24.0,16629
94.4,3035,58,25.6,16632
95.4,3035,62,25.5,16644
96.5,3035,1,25.7,16646
97.5,3037,4,30.0,16666
98.5,3035,34,28.0,16703
99.5,3061,22,28.5,16739
100.6,3059,11,30.2,16719
101.6,3035,26,31.6,16667
102.6,3035,20,27.0,16695
103.7,3035,23,23.7,16699
104.7,3051,23,25.8,16705
105.7,3035,41,23.8,16712
106.7,3041,26,23.2,16707
107.8,3059,29,25.1,16704
108.8,3035,27,24.4,16708
109.8,3037,52,26.6,16717
110.8,3051,40,25.6,16745
111.9,3037,57,25.2,16745
112.9,3035,51,24.9,16750
113.9,3051,28,25.9,16756
115.0,3037,17,26.1,16756
116.0,3035,14,25.2,16780
117.0,3051,52,23.6,16796
118.0,3035,53,25.0,16813
119.1,3035,13,22.6,16813
120.1,3035,31,23.8,16859
121.1,3035,28,22.4,16843
122.1,3059,57,23.0,16842
123.2,3035,11,22.4,16851
124.2,3035,21,26.6,16856
125.2,3051,70,25.1,16862
126.3,3035,44,24.2,16869
127.3,3035,35,28.7,16883
128.3,3051,40,28.4,16874
129.3,3035,31,22.9,17032
130.4,3051,69,26.5,17306
131.4,3051,1,22.7,17467
