t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,79.5,11824
1.0,15,0,74.7,11829
2.1,15,0,78.4,11810
3.1,15,0,79.2,11859
4.2,15,0,81.6,12048
5.2,15,0,80.8,12337
6.3,15,0,77.3,12337
7.3,15,0,76.7,12319
8.3,15,0,83.0,12301
9.4,15,0,84.5,12315
10.4,15,0,80.0,12291
11.5,15,0,77.5,12266
12.5,15,0,77.5,12271
13.6,15,0,82.3,12256
14.6,15,0,78.4,12276
15.6,15,0,80.2,12278
16.7,15,0,79.3,12289
17.7,15,0,80.2,12285
18.8,15,0,81.9,12261
19.8,15,0,80.8,12252
20.9,15,0,84.6,11804
21.9,15,0,83.1,11793
23.0,15,0,80.6,11776
24.0,15,0,80.1,11758
25.0,15,0,78.5,11742
26.1,15,0,78.4,11762
27.1,15,0,80.1,11747
28.2,15,0,78.7,11751
29.2,15,0,79.7,11771
30.3,15,0,79.3,11749
31.3,15,0,80.7,11749
32.3,15,0,80.0,11752
33.4,15,0,76.7,11725
34.4,15,0,75.1,11740
35.5,15,0,76.4,11724
36.5,15,0,77.3,11742
37.6,15,0,77.8,11747
38.6,15,0,76.2,11745
39.7,15,0,75.8,11727
40.7,15,0,78.5,11777
41.7,15,0,87.8,12038
42.8,15,0,82.6,12228
43.8,15,0,79.3,12236
44.9,15,0,78.9,12242
45.9,15,0,77.4,12255
47.0,15,0,78.8,12253
48.0,15,0,79.9,12237
49.0,15,0,79.8,12231
50.1,15,0,79.7,12205
51.1,15,0,79.8,12175
52.2,15,0,81.5,12202
53.2,15,0,79.3,12199
54.3,15,0,80.8,12185
55.3,15,0,80.0,12168
56.3,15,0,80.6,12151
57.4,15,0,80.1,12165
58.4,15,0,83.0,11750
59.5,15,0,78.9,11740
60.5,15,0,78.8,11747
61.6,15,0,79.8,11742
62.6,15,0,78.6,11735
63.6,15,0,85.6,11757
64.7,15,0,92.4,11740
