t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,102,0,0.0,8976
1.0,119,0,0.0,9280
2.1,5038,29,0.0,9596
3.1,5038,34,0.0,9591
4.1,5038,36,0.0,9599
5.1,5038,31,0.0,9606
6.1,5038,32,0.0,9608
7.2,5038,31,0.0,9590
8.2,5038,31,0.0,9585
9.2,5038,33,0.0,9580
10.2,5038,36,0.0,9593
11.3,8808,22,0.0,9698
12.3,8808,23,0.0,9688
13.3,10308,47,0.0,9697
14.3,11264,80,0.0,9717
15.4,10920,65,0.0,9743
16.4,11438,88,0.0,9723
17.4,11102,61,0.0,9728
18.4,11606,88,0.0,9725
19.4,11534,25,0.0,9729
20.5,11534,23,0.0,9759
21.5,11534,24,0.0,9747
22.5,11534,22,0.0,9751
23.5,11534,32,0.0,9745
24.5,11534,57,0.0,9729
25.6,11534,23,0.0,9705
26.6,11534,25,0.0,9722
27.6,11534,31,0.0,9712
28.6,11534,35,0.0,9732
29.7,11534,23,0.0,9745
30.7,11534,47,0.0,9732
31.7,11660,32,0.0,9722
32.7,11822,23,0.0,9702
33.8,11822,19,0.0,9716
34.8,11406,31,0.0,9713
35.8,11856,21,0.0,9707
36.9,11856,24,0.0,9714
37.9,11802,67,0.0,9726
38.9,11370,24,0.0,9732
39.9,11730,18,0.0,9721
41.0,10984,40,0.0,9756
42.0,11326,23,0.0,9730
43.0,11326,22,0.0,9727
44.1,11326,47,0.0,9737
45.1,11326,89,0.0,9721
46.1,11326,48,0.0,9757
47.1,11326,23,0.0,9753
48.2,11326,27,0.0,9758
49.2,11326,20,0.0,9760
50.2,11326,18,0.0,9766
51.2,11326,26,0.0,9769
52.3,11326,27,0.0,9759
53.3,11326,25,0.0,9764
54.3,11758,84,0.0,9756
55.3,11758,19,0.0,9766
56.3,11758,63,0.0,9779
57.4,11704,25,0.0,9762
58.4,11650,21,0.0,9746
59.4,11488,20,0.0,9748
60.4,11848,19,0.0,9770
61.5,11218,21,0.0,9776
62.5,11218,25,0.0,9773
63.5,11758,26,0.0,9770
64.5,11380,25,0.0,9768
65.6,11632,19,0.0,9794
66.6,11632,20,0.0,9800
67.6,11632,25,0.0,9793
68.6,11488,22,0.0,9810
69.7,11668,86,0.0,9797
70.7,11668,66,0.0,9795
71.7,10912,93,0.0,9801
72.7,10912,27,0.0,9760
73.8,10912,27,0.0,9774
74.8,10912,27,0.0,9764
75.8,11452,24,0.0,9787
76.8,11452,27,0.0,9780
77.8,11452,32,0.0,9770
78.9,11452,26,0.0,9774
79.9,11704,20,0.0,9801
80.9,11704,19,0.0,9810
81.9,11578,19,0.0,9804
83.0,11578,24,0.0,9794
84.0,11110,56,0.0,9793
85.0,11870,84,0.0,9795
86.1,11618,82,0.0,9830
87.1,11420,22,0.0,9816
88.1,11636,53,0.0,9793
89.1,11456,27,0.0,9775
90.2,11456,20,0.0,9779
91.2,11456,20,0.0,9780
92.2,11456,20,0.0,9781
93.2,11456,26,0.0,9764
94.3,11456,27,0.0,9777
95.3,10916,50,0.0,9769
96.3,11024,26,0.0,9767
97.3,11240,26,0.0,9772
98.4,11240,25,0.0,9765
99.4,11132,26,0.0,9740
100.4,11132,24,0.0,9746
101.4,10898,90,0.0,9762
102.5,11546,22,0.0,9745
103.5,11312,19,0.0,9723
104.5,11312,24,0.0,9713
105.5,11672,19,0.0,9731
106.5,11672,21,0.0,9768
107.6,11672,25,0.0,9762
108.6,11312,40,0.0,9781
109.6,11078,92,0.0,9773
110.6,11456,23,0.0,9775
111.7,11456,42,0.0,9802
112.7,11402,74,0.0,9788
113.7,11402,92,0.0,9806
114.7,11402,21,0.0,9795
115.8,11402,25,0.0,9769
116.8,11402,28,0.0,9807
117.8,11402,27,0.0,9792
118.8,11366,25,0.0,9799
119.9,11834,21,0.0,9795
120.9,11834,91,0.0,9783
121.9,11834,19,0.0,9804
122.9,11834,27,0.0,9774
123.9,11834,26,0.0,9768
125.0,11834,26,0.0,9762
126.0,11294,20,0.0,9780
127.0,11762,32,0.0,9798
128.0,11600,20,0.0,9780
129.1,11600,19,0.0,9777
130.1,11474,19,0.0,9783
131.1,11474,19,0.0,9772
132.1,11474,28,0.0,9764
133.2,11096,23,0.0,9760
134.2,11600,22,0.0,9772
135.2,10934,88,0.0,9753
136.2,11330,78,0.0,9754
137.3,11330,76,0.0,9758
138.3,10898,92,0.0,9763
139.3,11042,93,0.0,9765
140.3,11042,25,0.0,9793
141.4,11042,25,0.0,9827
142.4,10830,97,0.0,9827
143.4,11742,99,0.0,9865
144.4,11846,99,0.0,9859
145.4,11602,99,0.0,9856
146.5,11870,100,0.0,9913
147.5,11804,98,0.0,9885
148.5,11612,100,0.0,9907
149.5,11820,98,0.0,9903
150.6,11870,44,0.0,9885
151.6,11804,98,0.0,9856
152.6,11766,99,0.0,9869
153.6,11744,93,0.0,9874
154.7,11724,97,0.0,9885
155.7,11760,93,0.0,9889
156.7,11754,96,0.0,9890
157.8,11646,93,0.0,9871
158.8,11584,94,0.0,9889
159.8,11676,96,0.0,9878
160.8,11588,95,0.0,9848
161.9,11606,98,0.0,9882
162.9,11788,94,0.0,9866
163.9,11582,85,0.0,9845
164.9,11718,97,0.0,9857
166.0,11798,92,0.0,9848
167.0,11834,95,0.0,9889
168.0,11768,93,0.0,9860
169.0,11582,94,0.0,9828
170.1,11752,97,0.0,9819
171.1,11826,92,0.0,9792
172.1,11658,96,0.0,9830
173.1,11528,94,0.0,9904
174.2,11528,13,0.0,9875
175.2,11528,97,0.0,9889
176.2,11528,97,0.0,9878
177.2,11528,55,0.0,9918
178.3,11528,60,0.0,9963
179.3,11528,86,0.0,9921
180.3,11528,70,0.0,9921
181.3,11528,52,0.0,9916
182.3,11528,97,0.0,9939
183.4,11528,9,0.0,9890
184.4,11528,96,0.0,9963
185.4,11528,97,0.0,9948
186.4,11528,8,0.0,9961
187.5,11528,96,0.0,9968
188.5,11528,33,0.0,9974
189.5,11528,9,0.0,9941
190.5,11528,95,0.0,9956
191.5,11528,49,0.0,9946
192.6,11528,70,0.0,9975
193.6,11528,83,0.0,9955
194.6,11528,68,0.0,9938
