t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,16,9,27.2,18952
2.6,16,0,17.1,19045
3.6,16,0,20.2,19089
4.6,296,41,24.2,19694
5.7,528,0,15.8,19934
6.7,2912,24,39.1,20443
7.7,2912,10,40.1,20576
8.8,2912,0,22.7,20724
9.8,7656,97,27.9,20809
10.8,7656,100,13.6,20814
11.9,5492,0,13.4,20966
12.9,5705,2,32.4,21510
13.9,5765,100,22.2,21541
14.9,5765,85,32.4,21683
16.0,5765,100,30.8,21732
17.0,5765,100,35.6,21767
18.1,5765,100,31.3,21740
19.1,5765,64,36.0,21698
20.1,5765,100,21.2,21687
21.2,5765,100,29.6,21676
22.2,5765,100,24.7,21658
23.2,5765,66,26.6,21608
24.2,5765,100,31.2,21608
25.3,5765,100,22.1,21575
26.3,5765,100,28.7,21500
27.4,5765,100,31.6,21499
28.4,5765,100,29.0,21508
29.4,5765,100,37.2,21676
30.5,5765,56,38.2,21329
31.5,5765,100,37.8,21061
32.5,5765,62,31.2,21068
33.6,5765,100,24.8,20924
34.6,5765,100,36.0,20917
35.6,5765,95,30.2,20935
36.7,5765,100,28.2,20938
37.7,5765,100,26.2,20925
38.8,5765,98,35.7,20945
39.8,5765,100,33.4,20960
40.8,5765,100,32.9,20964
41.9,5765,100,33.0,20956
42.9,5765,100,42.8,20908
43.9,5765,100,46.4,20899
45.0,5765,100,29.6,20883
46.0,5765,68,25.9,20873
47.0,5765,100,41.3,20892
48.1,5765,100,47.5,20965
49.1,5765,59,40.5,21017
50.2,5765,100,20.1,21014
51.2,5765,100,28.9,20965
52.2,5765,77,28.3,20947
53.3,5765,100,28.2,20948
54.3,5765,100,22.5,20966
55.3,5765,100,31.2,20895
56.4,5765,92,28.8,20889
57.4,5765,100,27.0,20872
58.4,5765,100,32.9,21220
59.5,5765,53,29.9,21126
60.5,5765,100,30.8,21054
61.5,5765,64,29.4,21055
62.6,5765,100,24.2,21058
63.6,5765,100,29.4,21053
64.6,5765,78,28.7,21070
65.7,5765,100,35.1,21073
66.7,5765,100,43.6,21224
67.8,5765,64,31.0,21226
68.8,5765,100,28.4,21234
69.8,5765,100,30.8,21240
70.9,5765,61,44.4,21261
71.9,5765,100,30.6,21234
72.9,5765,100,27.3,21234
74.0,5765,100,28.4,21249
75.0,5765,88,25.7,21195
76.0,5765,100,32.5,21158
77.1,5765,100,29.9,21163
78.1,5765,73,31.9,21182
79.1,5765,100,42.6,21171
80.2,5765,100,42.5,21167
81.2,5765,81,35.9,21126
82.2,5765,100,26.3,21108
83.3,5765,100,34.3,20994
84.3,5765,60,30.8,20989
85.3,5765,100,31.1,20964
86.4,5765,100,26.6,20963
87.4,5765,84,33.8,20965
88.4,5765,100,32.5,20977
89.5,5765,100,27.0,20996
90.5,5765,100,33.2,20991
91.5,5765,100,32.4,20975
92.6,5765,91,30.6,20984
93.6,5765,100,32.6,20990
94.7,5765,100,31.8,21014
95.7,5765,87,34.0,21023
96.7,5765,100,26.8,20997
97.8,5765,100,27.7,21023
98.8,5765,60,32.2,21024
99.8,5765,100,35.6,21003
100.9,5765,100,31.9,21026
101.9,5765,68,26.9,21039
103.0,5765,100,31.3,21069
104.0,5765,100,39.5,21092
105.0,5765,68,30.3,21052
106.1,5765,100,29.3,21057
107.1,5765,100,34.4,21059
108.1,5765,63,30.9,21041
109.2,5765,100,26.7,21042
110.2,5765,100,40.7,21076
111.2,5765,70,38.9,21111
112.3,5765,100,34.9,21123
113.3,5765,100,26.4,21124
114.3,5765,87,37.6,21131
115.4,5765,100,39.3,21151
116.4,5765,100,37.9,21137
117.5,5765,100,26.1,21151
118.5,5765,100,36.6,21056
119.5,5765,100,37.0,21056
120.6,5765,100,39.7,21057
121.6,5765,100,26.0,21024
122.6,5765,100,35.3,21030
123.7,5765,76,33.0,21041
124.7,5765,100,30.5,21041
125.8,5765,100,24.3,21054
126.8,5765,62,39.3,21309
127.8,5765,100,31.3,21301
128.9,5765,100,33.9,21262
129.9,5765,79,27.0,21152
130.9,5765,100,29.8,21137
132.0,5765,100,25.8,21138
133.0,5765,100,20.9,20918
134.0,5765,71,21.4,20916
135.1,5765,100,22.7,20869
136.1,5765,100,20.3,20860
137.1,5765,81,20.6,20847
138.2,5765,100,21.7,20838
139.2,5765,100,18.6,20841
140.2,5765,93,21.7,20805
141.3,5765,100,25.5,20467
142.3,5765,100,20.3,20458
143.3,5765,97,19.6,20432
144.3,5765,100,18.8,20412
145.4,5765,100,22.1,20408
146.4,5765,100,24.9,20421
147.4,5765,92,15.7,20411
148.5,5765,100,22.2,20390
149.5,5765,100,21.2,20382
150.5,5765,100,20.0,20377
151.6,5765,100,16.8,20386
152.6,5765,100,18.9,20347
153.6,5765,71,19.1,20359
154.7,5765,100,22.0,20334
155.7,5765,100,16.5,20333
156.7,5765,67,22.1,20330
157.8,5765,100,19.3,20303
158.8,5765,100,20.1,20313
159.8,5765,100,16.0,20309
160.9,5765,100,20.1,20324
161.9,5765,100,20.5,20348
162.9,5765,100,19.6,20351
164.0,5765,72,16.7,20354
165.0,5765,100,19.4,20359
166.0,5765,100,21.1,20369
167.0,5765,100,20.1,20370
168.1,5765,82,20.2,20433
169.1,5765,100,17.9,20451
170.2,5765,100,17.6,20444
171.2,5765,76,21.2,20425
172.2,5765,100,21.9,20428
173.2,5765,100,16.7,20425
174.3,5765,100,20.5,20409
175.3,5765,83,21.4,20418
176.3,5765,100,19.9,20395
177.4,5765,100,19.6,20390
178.4,5765,98,15.5,20417
179.4,5765,100,24.7,20457
180.5,5765,100,22.9,20447
181.5,5765,100,20.3,20449
182.5,5765,100,16.9,20462
183.6,5765,100,21.0,20466
184.6,5765,67,19.7,20480
185.6,5765,100,21.7,20491
186.7,5765,100,31.8,20788
187.7,5765,100,23.6,20749
188.7,5765,100,21.1,20739
189.8,5765,100,20.4,20735
190.8,5765,100,17.5,20737
191.8,5765,100,22.2,20721
192.9,5765,100,21.4,20704
193.9,5765,100,19.0,20676
194.9,5765,65,19.4,20440
196.0,5765,100,29.6,20441
197.0,5765,100,21.2,20440
198.0,5765,95,23.5,20430
199.1,5765,100,21.4,20414
200.1,5765,100,19.7,20395
201.1,5765,100,22.4,20394
202.1,5765,75,20.1,20402
203.2,5765,100,20.7,20430
204.2,5765,100,19.4,20432
205.2,5765,100,23.8,20408
206.3,5765,100,20.2,20406
207.3,5765,100,19.9,20409
208.3,5765,100,15.0,20405
209.4,5765,81,19.8,20413
210.4,5765,100,22.7,20432
211.4,5765,100,21.3,20436
212.5,5765,75,14.6,20434
213.5,5765,100,21.8,20428
214.5,5765,100,19.3,20453
215.6,5765,100,21.9,20480
216.6,5765,99,21.1,20462
217.6,5765,100,15.8,20473
218.7,5765,100,18.1,20484
219.7,5765,94,20.9,20488
220.7,5765,100,21.0,20484
221.8,5765,100,17.1,20486
222.8,5765,100,18.8,20480
223.8,5765,69,19.8,20469
224.9,5765,100,20.7,20474
225.9,5765,100,19.0,20498
226.9,5765,74,15.7,20508
228.0,5765,100,22.9,20528
229.0,5765,100,21.5,20538
230.0,5765,100,19.0,20542
231.1,5765,96,15.6,20529
232.1,5765,100,21.4,20535
233.1,5765,100,19.2,20548
234.2,5765,83,20.1,20541
235.2,5765,100,18.9,20539
236.2,5765,100,17.6,20532
237.3,5765,100,22.6,20554
238.3,5765,71,21.8,20542
239.3,5765,100,24.6,20581
240.3,5765,100,17.9,20582
241.4,5765,71,22.4,20598
242.4,5765,100,22.1,20580
243.4,5765,100,20.0,20590
244.5,5765,68,17.2,20603
245.5,5765,100,22.2,20595
246.5,5765,98,34.9,20805
247.6,5765,100,26.9,20820
248.6,5765,100,22.4,20794
249.6,5765,100,27.8,20790
250.7,5765,100,26.2,20688
251.7,5765,100,17.3,20716
252.7,5765,100,23.9,20712
253.8,5765,82,25.8,20728
254.8,5765,100,35.6,20740
255.8,5765,100,27.0,20593
256.9,5765,89,26.7,20551
257.9,5765,100,22.7,20538
258.9,5765,100,24.2,20537
260.0,5765,100,22.2,20514
261.0,5765,100,17.9,20518
262.0,5765,100,22.9,20535
263.1,5765,71,20.0,20550
264.1,5765,100,15.6,20528
265.1,5765,100,24.8,20525
266.2,5765,100,19.1,20500
267.2,5765,90,18.4,20496
268.2,5765,100,14.4,20502
269.3,5765,100,19.9,20492
270.3,5765,79,23.9,20490
271.3,5765,100,18.4,20484
272.4,5765,100,14.0,20499
273.4,5765,100,20.2,20510
274.4,5765,100,21.3,20505
275.5,5765,100,21.5,20510
276.5,5765,100,17.9,20490
277.5,5765,100,13.7,20510
278.6,5765,100,17.0,20500
279.6,5765,100,24.4,20493
280.6,5765,78,20.9,20494
281.7,5765,100,16.6,20519
282.7,5765,100,20.9,20523
283.7,5765,61,28.0,20510
284.7,5765,100,23.3,20531
285.8,5765,100,18.2,20545
286.8,5765,63,26.4,20556
287.8,5765,100,24.6,20560
288.9,5765,100,30.3,20574
289.9,5765,89,21.2,20599
291.0,5765,100,18.7,20605
292.0,5765,100,25.0,20584
293.0,5765,100,21.9,20595
294.1,5765,73,17.3,20611
295.1,5765,100,20.8,20597
296.1,5765,100,27.1,20622
297.1,5765,60,22.7,20632
298.2,5765,100,20.3,20634
299.2,5765,100,34.5,20685
300.2,5765,74,22.1,20698
301.3,5765,100,20.3,20712
302.3,5765,100,16.7,20681
303.3,5765,99,21.9,20682
304.4,5765,100,24.0,20684
305.4,5765,100,21.1,20715
306.4,5765,100,22.1,20901
307.5,5765,100,35.5,20942
308.5,5765,100,21.3,20936
309.5,5765,66,17.7,20941
310.6,5765,100,15.4,20924
311.6,5765,100,18.1,20922
312.6,5765,100,19.9,20916
313.7,5765,85,21.2,20901
314.7,5765,100,18.0,20896
315.7,5765,100,26.6,20637
316.8,5765,70,21.8,20626
317.8,5765,100,19.8,20609
318.8,5765,100,21.5,20614
319.9,5765,100,16.1,20618
320.9,5765,100,23.8,20637
321.9,5765,100,27.1,20685
323.0,5765,87,65.4,21060
324.0,5765,100,44.6,21124
325.0,5765,100,33.7,21153
326.1,5765,85,33.1,21167
327.1,5765,100,27.8,21237
328.1,5765,100,25.3,21269
329.2,5765,100,35.2,21427
330.2,5765,82,39.9,21549
331.2,5765,100,20.5,21380
332.3,5765,100,27.1,21447
333.3,5765,79,26.2,21448
334.3,5765,100,22.7,21427
335.4,5765,100,21.3,21400
336.4,5765,100,19.4,21385
337.4,5765,71,24.1,21382
338.5,5765,100,27.1,21312
339.5,5765,100,27.3,21298
340.5,5765,90,20.4,21245
341.6,5765,100,17.7,21209
342.6,5765,100,28.2,21160
343.6,5765,67,26.4,21166
344.7,5765,100,31.1,21207
345.7,5765,100,22.9,21236
346.7,5765,100,27.2,21239
347.8,5765,98,23.8,21232
348.8,5765,100,25.4,21245
349.8,5765,100,26.0,21240
350.9,5765,62,35.0,21243
351.9,5765,100,29.6,21260
352.9,5765,100,33.0,21282
354.0,5765,100,25.2,21286
355.0,5765,100,27.5,21280
356.0,5765,100,35.9,21254
357.1,5765,100,32.9,21269
358.1,5765,86,24.4,21262
359.2,5765,100,19.3,21282
360.2,5765,100,27.5,21289
361.2,5765,70,22.4,21286
362.2,5765,100,26.2,21283
363.3,5765,100,20.0,21302
364.3,5765,100,22.8,21295
365.3,5765,100,25.5,21309
366.4,5765,100,33.8,21545
367.4,5765,100,32.9,21642
368.5,5765,100,33.2,21556
369.5,5765,100,25.0,21515
370.5,5765,74,25.8,21498
371.6,5765,100,19.1,21484
372.6,5765,100,27.9,21466
373.6,5765,65,24.5,21468
374.7,5765,100,23.2,21467
375.7,5765,100,26.0,21292
376.7,5765,100,25.8,21283
377.8,5765,95,28.0,21285
378.8,5765,100,24.1,21245
379.8,5765,100,17.7,21250
380.9,5765,68,29.5,21263
381.9,5765,100,33.3,21255
382.9,5765,100,24.1,21241
384.0,5765,66,16.8,21252
385.0,5765,100,26.1,21248
386.0,5765,100,23.3,21233
387.1,5765,89,25.1,21225
388.1,5765,100,25.3,21248
389.1,5765,100,25.1,21241
390.2,5765,95,28.7,21215
391.2,5765,100,21.1,21191
392.2,5765,100,19.6,21200
393.3,5765,100,27.0,21194
394.3,5765,70,28.4,21189
395.3,5765,100,21.9,21198
396.4,5765,100,16.7,21197
397.4,5765,56,28.2,21213
398.4,5765,100,26.0,21204
399.5,5765,100,27.2,21201
400.5,5765,100,18.7,21201
401.5,5765,100,21.0,21214
402.6,5765,100,22.4,21212
403.6,5765,69,27.3,21218
404.6,5765,100,24.1,21233
405.7,5765,100,19.5,21209
406.7,5765,100,25.4,21214
407.7,5765,100,25.3,21235
408.8,5765,100,28.0,21233
409.8,5765,100,17.0,21249
410.8,5765,65,23.0,21263
411.9,5765,100,24.3,21251
412.9,5765,100,22.1,21253
413.9,5765,100,20.4,21265
415.0,5765,100,21.2,21271
416.0,5765,100,23.2,21303
417.0,5765,100,27.6,21286
418.1,5765,84,22.4,21294
419.1,5765,100,21.7,21327
420.1,5765,100,25.6,21342
421.2,5765,71,22.2,21316
422.2,5765,100,25.3,21338
423.2,5765,100,18.4,21351
424.3,5765,100,24.0,21351
425.3,5765,71,23.4,21343
426.3,5765,100,28.5,21538
427.4,5765,100,34.0,21627
428.4,5765,99,19.8,21621
429.4,5765,100,25.1,21592
430.5,5765,100,23.2,21586
431.5,5765,100,20.6,21588
432.6,5765,100,23.5,21570
433.6,5765,100,20.6,21554
434.6,5765,64,27.6,21551
435.7,5765,100,40.1,21334
436.7,5765,100,18.6,21309
