t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,72.9,13466
2.6,15,0,74.3,13299
3.6,15,0,77.7,13285
4.7,15,0,78.7,13251
5.7,15,0,80.0,13227
6.8,15,0,81.4,13219
7.8,15,0,79.9,13211
8.8,15,0,80.2,13209
9.9,15,0,78.3,13182
10.9,15,0,74.5,13191
12.0,15,0,73.3,13147
13.0,15,0,73.0,13140
14.0,15,0,73.6,13150
15.1,15,0,79.7,13140
16.1,15,0,84.1,13165
17.2,15,0,81.9,13198
18.2,15,0,86.1,13217
19.3,15,0,83.0,13201
20.3,15,0,80.1,13205
21.4,15,0,75.8,13166
22.4,15,0,79.8,13209
23.4,15,0,73.2,13214
24.5,15,0,72.8,13252
25.5,15,0,74.2,13249
26.6,15,0,82.3,13252
27.6,15,0,83.6,13250
28.6,15,0,82.9,13322
29.7,15,0,86.9,13350
30.7,15,0,83.5,13364
31.8,15,0,78.8,13352
32.8,15,0,75.6,13360
33.9,15,0,78.5,13380
34.9,15,0,76.7,13390
35.9,15,0,73.3,13371
37.0,15,0,53.8,13346
38.0,15,0,61.9,13257
39.1,15,0,61.1,13253
40.1,15,0,51.8,13237
41.1,15,0,49.2,13250
42.2,15,0,56.8,13350
43.2,15,0,60.9,13469
44.2,15,0,65.2,13517
45.3,15,0,69.7,13371
46.3,15,0,72.5,13252
47.4,15,0,75.1,13278
48.4,15,0,76.1,13263
49.4,15,0,76.1,13260
50.5,15,0,60.1,13269
51.5,15,0,64.2,13283
52.5,15,0,54.5,13277
53.6,15,0,47.9,12512
54.6,15,0,50.2,12552
55.6,15,0,61.6,12870
56.7,15,0,61.4,13010
57.7,15,0,51.1,12995
58.7,15,0,51.4,12939
59.8,15,0,70.3,12870
60.8,15,0,73.8,12833
61.9,15,0,78.9,12790
62.9,15,0,77.5,12724
63.9,15,0,79.5,12686
65.0,15,0,79.6,12404
66.0,15,0,66.4,12300
67.0,15,0,67.9,12239
68.1,15,0,66.5,12199
69.1,15,0,67.8,12164
70.2,15,0,68.9,12150
71.2,15,0,70.0,12121
72.2,15,0,68.9,12137
73.3,15,0,69.4,12147
74.3,15,0,70.2,12103
75.3,15,0,70.9,12107
76.4,15,0,71.1,12098
77.4,15,0,71.0,12089
78.5,15,0,70.6,12119
79.5,15,0,70.1,12113
80.5,15,0,70.7,12116
81.6,15,0,70.5,12130
82.6,15,0,68.1,12119
83.6,15,0,66.7,12143
84.7,15,0,65.9,12139
85.7,15,0,67.1,12128
86.7,15,0,67.5,12119
87.8,15,0,70.1,12125
88.8,15,0,70.7,12222
89.9,15,0,69.8,12247
90.9,15,0,69.2,12244
91.9,15,0,70.9,12245
93.0,15,0,71.3,12240
94.0,15,0,73.1,12235
95.0,15,0,70.2,12210
96.1,15,0,71.7,12224
97.1,15,0,66.4,12202
98.1,15,0,59.0,12183
99.2,15,0,64.5,12174
100.2,15,0,64.1,12184
101.3,15,0,69.1,12199
102.3,15,0,73.8,12206
103.3,15,0,73.1,12217
104.4,15,0,73.6,12219
105.4,15,0,73.9,12206
106.5,15,0,74.4,12191
107.5,15,0,75.6,12194
108.5,15,0,74.6,12178
109.6,15,0,75.1,12203
110.6,15,0,74.3,12197
111.6,15,0,73.2,12181
112.7,15,0,74.0,12195
113.7,15,0,74.1,12177
114.8,15,0,76.4,12324
115.8,15,0,76.4,12507
116.8,15,0,75.8,12511
117.9,15,0,73.1,12510
118.9,15,0,75.2,12505
120.0,15,0,77.1,12496
121.0,15,0,74.6,12491
122.0,15,0,75.6,12497
123.1,15,0,73.3,12466
124.1,15,0,75.1,12144
125.1,15,0,74.9,12113
126.2,15,0,75.5,12109
127.2,15,0,72.7,12120
128.3,15,0,71.1,12105
129.3,15,0,68.7,12066
130.3,15,0,59.9,12087
131.4,15,0,55.7,12093
132.4,15,0,49.4,12070
133.4,15,0,64.3,12046
134.5,15,0,67.8,12045
135.5,15,0,69.7,12042
136.6,15,0,70.4,12047
137.6,15,0,71.4,12052
138.6,15,0,69.9,12031
139.7,15,0,73.1,12066
140.7,15,0,72.8,12063
141.7,15,0,72.6,12050
142.8,15,0,72.1,12064
143.8,15,0,71.5,12075
144.9,15,0,69.0,12100
145.9,15,0,69.7,12091
146.9,15,0,71.5,12084
148.0,15,0,71.2,12085
149.0,15,0,72.1,12159
150.0,15,0,69.7,12166
151.1,15,0,70.5,12181
152.1,15,0,73.7,12163
153.2,15,0,71.3,12157
154.2,15,0,71.7,12149
155.2,15,0,72.0,12145
156.3,15,0,71.5,12132
157.3,15,0,71.9,12150
158.3,15,0,70.6,12123
159.4,15,0,70.7,12116
160.4,15,0,71.1,12088
161.5,15,0,70.9,12100
162.5,15,0,71.5,12083
163.5,15,0,70.7,12086
164.6,15,0,70.1,12083
165.6,15,0,67.2,12091
166.6,15,0,64.1,12106
167.7,15,0,61.9,12086
168.7,15,0,70.2,12103
169.8,15,0,72.3,12111
170.8,15,0,73.1,12098
171.8,15,0,72.9,12065
172.9,15,0,73.9,12083
173.9,15,0,77.2,12101
175.0,15,0,76.5,12314
176.0,15,0,76.1,12443
177.0,15,0,73.6,12443
178.1,15,0,72.9,12426
179.1,15,0,73.4,12416
180.1,15,0,70.5,12417
181.2,15,0,74.0,12381
182.2,15,0,70.7,12365
183.3,15,0,71.3,12364
184.3,15,0,75.5,12074
185.3,15,0,76.1,12063
186.4,15,0,82.2,12048
187.4,15,0,80.2,12039
188.5,15,0,77.5,12026
189.5,15,0,72.1,12044
190.5,15,0,71.7,12010
191.6,15,0,74.3,11996
192.6,15,0,73.9,12019
193.6,15,0,74.3,12018
194.7,15,0,76.2,12021
195.7,15,0,74.3,12009
196.8,15,0,74.4,11990
197.8,15,0,75.5,11995
198.8,15,0,74.9,12002
199.9,15,0,73.8,12004
200.9,15,0,72.7,12020
201.9,15,0,67.2,12016
203.0,15,0,57.7,12020
204.0,15,0,55.1,12023
205.1,15,0,53.1,12029
206.1,15,0,74.0,12009
207.1,15,0,74.6,12000
208.2,15,0,75.6,12001
209.2,15,0,75.6,12128
210.2,15,0,75.5,12147
211.3,15,0,75.7,12140
212.3,15,0,73.4,12125
213.4,15,0,73.3,12137
