# timestamp tx ty tz qx qy qz qw
1.703261657094100237e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.703261657160814047e+09 8.565361349610611796e-05 9.754219354363158345e-05 -8.339983469340950251e-05 5.968441654146251261e-06 -6.243905771374796326e-06 2.004789711895499309e-05 9.999999997617365910e-01
1.703261657227527380e+09 1.360838359687477350e-04 1.179853061330504715e-04 -1.219380137627013028e-04 -2.943610297205012517e-06 -1.388647978933912341e-05 1.257363964897587770e-05 9.999999998202022677e-01
1.703261657294240952e+09 1.867957471404224634e-04 2.285587979713454843e-04 -1.593884662725031376e-04 1.164562945389440236e-05 -1.660256929989377116e-05 2.480974444034169826e-06 9.999999997912893956e-01
1.703261657360956192e+09 4.464269659365527332e-05 6.136162119219079614e-05 -1.358549052383750677e-04 -1.231324676930476229e-05 -3.708232042805365175e-06 -7.239002115178067296e-06 9.999999998911148769e-01
1.703261657427671909e+09 -1.044719974743202329e-04 -6.061786552891135216e-05 -1.597327500348910689e-04 -2.761156064180576709e-05 9.557279550243998531e-06 -4.683490258453579527e-06 9.999999995621626780e-01
1.703261657494387627e+09 -1.893715525511652231e-04 -6.238475179998204112e-05 -1.468439877498894930e-04 -2.103577025299802200e-05 1.429130315485404985e-05 -3.286147147093375855e-06 9.999999996712283235e-01
1.703261657561102867e+09 -2.406392304692417383e-04 -8.426565182162448764e-05 -2.012550976360216737e-04 -2.513435537106003967e-05 1.551842796475894041e-05 -7.649492541608663617e-06 9.999999995344639458e-01
1.703261657627818346e+09 -2.207346988143399358e-04 -1.773892145138233900e-04 -1.264935854123905301e-04 -3.583291978807194507e-05 2.049694010519778506e-05 -1.075836916173689286e-05 9.999999990900674263e-01
1.703261657694534063e+09 -1.381701149512082338e-04 -8.726464147912338376e-05 -1.569267478771507740e-04 -2.448564372436784739e-05 1.053754112495949691e-05 1.191742466691172756e-05 9.999999995736943426e-01
1.703261657761249304e+09 -1.719155116006731987e-04 -5.824153413414023817e-05 -1.981058012461289763e-04 -2.097975993289055794e-05 4.052665189076206711e-06 7.040955550147186291e-06 9.999999997469253277e-01
1.703261657827964783e+09 -1.495864999014884233e-04 -3.321435360703617334e-05 -1.346536882920190692e-04 -1.667993092029008390e-05 1.571904590265285280e-06 2.697252056871543681e-06 9.999999998560169523e-01
1.703261657894680500e+09 -6.341093103401362896e-05 -3.045428275072481483e-05 -1.522799429949373007e-04 -2.155089713963757492e-05 2.370636593099293735e-06 -5.772521033943599533e-06 9.999999997483084435e-01
1.703261657961395502e+09 -1.642288843868300319e-04 -6.730118184350430965e-05 -1.102638780139386654e-04 -3.374183139741055316e-05 5.034720738526570630e-06 -2.795899487873199120e-05 9.999999990272174788e-01
1.703261658028110981e+09 -2.450553583912551403e-04 -1.037784968502819538e-04 -1.268722990062087774e-04 -3.548520904519450843e-05 3.941670452581005160e-06 -2.852983922570282081e-05 9.999999989556558333e-01
1.703261658094826460e+09 -2.366901462664827704e-04 -2.189309598179534078e-04 -1.361123722745105624e-04 -4.794940462365456662e-05 1.582185630145871817e-06 -2.013119407824154623e-05 9.999999986465430979e-01
