t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,16.4,17401
2.6,2445,0,7.7,17787
3.7,3037,36,47.5,17507
4.7,3037,34,44.3,17537
5.7,3047,71,31.0,17534
6.8,3031,48,23.4,17541
7.8,3037,50,24.4,17542
8.8,3047,52,26.4,17551
9.8,3033,65,25.1,17552
10.9,3047,69,25.8,17598
11.9,3047,34,30.4,17529
12.9,3047,13,24.5,17534
14.0,3043,48,24.3,17532
15.0,3047,48,26.0,17558
16.0,3031,52,25.5,17556
17.0,3047,48,25.2,17583
18.1,3047,63,25.5,17582
19.1,3033,49,27.4,17579
20.1,3047,38,23.4,17597
21.2,3031,16,23.5,17625
22.2,3047,41,25.4,17632
23.2,3055,42,23.8,17636
24.2,3031,52,24.5,17640
25.3,3047,52,24.3,17621
26.3,3033,43,23.6,17680
27.3,3031,45,24.2,17714
28.3,3031,39,25.4,17707
29.3,3037,35,24.9,17718
30.4,3031,41,22.7,17715
31.4,3037,52,24.8,17744
32.4,3031,68,23.5,17748
33.4,3031,33,23.9,17749
34.5,3031,25,23.6,17748
35.5,3055,28,24.2,17730
36.5,3031,32,23.5,17745
37.5,3031,33,22.7,17747
38.6,3031,32,23.0,17765
39.6,3033,30,23.3,17791
40.6,3031,40,21.8,17788
41.6,3033,35,22.3,17809
42.7,3031,56,26.9,17759
43.7,3033,14,23.7,17774
44.7,3031,46,23.0,17783
45.7,3031,46,21.7,17778
46.7,3031,61,26.5,17954
47.8,3031,27,27.4,18291
48.8,3055,70,29.4,18342
49.8,3031,35,23.2,18324
50.8,3047,44,22.0,18295
51.9,3031,53,21.7,18303
52.9,3031,47,21.3,18306
53.9,3031,30,24.6,18292
54.9,3047,48,22.2,18291
56.0,3031,30,21.3,18285
57.0,3047,43,30.1,17828
58.0,3047,31,22.3,17848
59.1,3055,47,22.4,17831
60.1,3031,46,20.9,17833
61.1,3047,37,22.6,17837
62.1,3047,31,22.2,17846
63.2,3031,30,22.1,17850
64.2,3033,35,21.7,17856
65.2,3031,36,22.5,17861
66.2,3031,47,21.0,17881
67.2,3055,33,23.3,17891
68.3,3031,34,21.9,17896
69.3,3047,40,23.0,17887
70.3,3031,48,21.3,17897
71.4,3031,27,23.7,17912
72.4,3055,52,24.7,17939
73.4,3031,42,23.2,17946
74.4,3031,35,23.1,17943
75.5,3031,36,23.8,18013
76.5,3047,49,23.8,18011
77.5,3047,47,23.0,18014
78.5,3047,45,23.8,18037
79.6,3055,40,23.1,18055
80.6,3047,44,23.2,18055
81.6,3047,39,22.5,18071
82.6,3047,47,22.1,18068
83.7,3031,41,22.3,18111
84.7,3037,33,23.0,18079
85.7,3031,42,22.6,18108
86.8,3055,45,24.7,18101
87.8,3031,35,23.7,18070
88.8,3033,48,22.6,18067
89.8,3031,48,21.2,18056
90.9,3031,48,21.9,18077
91.9,3047,44,22.3,18059
92.9,3031,48,23.7,18127
93.9,3031,41,23.9,18132
95.0,3031,13,23.2,18108
96.0,3047,47,22.5,18117
97.0,3047,43,23.1,18175
98.0,3031,31,22.2,18171
99.1,3031,40,21.6,18168
100.1,3031,40,22.1,18161
101.1,3031,28,20.3,18150
102.1,3033,38,23.1,18121
103.2,3037,48,21.6,18111
104.2,3047,49,24.4,18166
105.2,3055,48,23.3,18167
106.2,3033,39,24.4,18174
107.3,3055,31,30.7,18441
108.3,3031,41,29.3,18617
109.3,3031,29,25.4,18613
110.3,3031,50,25.1,18605
111.4,3033,48,23.5,18598
112.4,3031,46,22.8,18630
113.4,3031,61,24.9,18648
114.4,3031,14,23.2,18657
115.5,3031,32,23.2,18628
116.5,3033,21,25.4,18270
117.5,3047,52,24.1,18334
118.5,3047,33,28.3,18685
119.6,3031,44,31.0,19052
120.6,3031,26,42.7,19398
121.6,3031,59,42.9,18916
122.7,3047,13,47.4,19018
