t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,22.0,10871
2.6,15,0,13.1,10933
3.6,15,0,20.0,11615
4.7,296,42,21.5,12226
5.7,297,10,21.2,12804
6.7,2912,47,30.7,12814
7.8,2912,0,35.6,13316
8.8,2912,0,26.5,13275
9.8,7656,0,31.1,13418
10.8,7656,100,13.5,13421
11.9,5492,100,14.3,13479
12.9,5705,0,29.4,13833
13.9,5765,0,26.3,13921
15.0,5765,100,40.9,13976
16.0,5765,73,52.8,14002
17.0,5765,100,43.8,14019
18.1,5765,100,46.4,14016
19.1,5765,48,38.5,13991
20.2,5765,100,41.5,14040
21.2,5765,100,42.5,13978
22.2,5765,100,45.9,13996
23.3,5765,100,38.9,13954
24.3,5765,41,47.5,14030
25.3,5765,100,43.8,14059
26.4,5765,100,36.4,14027
27.4,5765,65,44.2,14034
28.4,5765,100,38.1,14059
29.5,5765,84,43.6,14075
30.5,5765,100,45.2,14127
31.6,5765,68,44.8,14159
32.6,5765,100,38.2,14141
33.6,5765,60,48.5,13979
34.7,5765,100,42.9,14145
35.7,5765,100,46.1,14144
36.8,5765,89,48.4,14157
37.8,5765,100,35.9,14149
38.8,5765,51,46.0,14104
39.9,5765,100,41.8,14039
40.9,5765,100,45.1,14038
41.9,5765,100,37.1,14028
43.0,5765,100,49.5,14078
44.0,5765,30,37.7,14068
45.0,5765,100,46.7,14091
46.1,5765,49,45.1,14069
47.1,5765,100,45.9,14064
48.2,5765,100,40.3,14074
49.2,5765,37,46.0,13667
50.2,5765,100,36.7,13667
51.3,5765,57,49.2,13665
52.3,5765,100,40.7,13676
53.4,5765,100,37.2,13661
54.4,5765,93,42.4,13635
55.4,5765,100,36.2,13669
56.5,5765,86,41.4,14066
57.5,5765,100,48.1,14381
58.5,5765,49,43.8,14453
59.6,5765,100,40.9,14484
60.6,5765,100,47.1,14476
61.6,5765,94,37.8,14481
62.7,5765,100,41.3,14490
63.7,5765,75,43.0,14379
64.7,5765,100,28.2,14559
65.8,5765,100,36.8,14597
66.8,5765,53,31.1,14626
67.8,5765,100,28.7,14620
68.9,5765,100,29.1,14613
69.9,5765,91,31.8,14617
71.0,5765,100,37.7,14580
72.0,5765,57,31.4,14597
73.0,5765,100,28.6,14580
74.1,5765,100,33.9,14582
75.1,5765,100,32.0,13416
76.1,5765,100,34.6,13664
77.2,5765,38,30.4,13748
78.2,5765,100,26.5,13749
79.2,5765,100,22.2,13748
80.3,5765,89,21.7,13761
81.3,5765,100,18.3,13607
82.3,5765,100,22.1,13600
83.4,5765,100,18.9,13623
84.4,5765,100,21.2,13618
85.4,5765,80,13.4,13638
86.5,5765,100,25.2,13654
87.5,5765,73,20.4,13640
88.5,5765,100,13.8,13625
89.6,5765,100,17.7,13246
90.6,5765,79,22.0,13147
91.6,5765,100,22.6,13160
92.7,5765,100,17.1,13156
93.7,5765,82,17.7,13134
94.7,5765,100,22.8,13217
95.8,5765,97,29.6,13737
96.8,5765,100,16.1,13752
97.8,5765,100,20.3,13739
98.9,5765,75,16.8,13733
99.9,5765,100,21.1,13695
100.9,5765,100,23.2,13702
102.0,5765,51,17.6,13685
103.0,5765,100,21.9,13748
104.0,5765,100,27.6,13602
105.1,5765,63,18.8,13604
106.1,5765,100,21.7,13714
107.1,5765,100,30.7,13597
108.2,5765,100,22.2,13619
109.2,5765,100,20.5,13636
110.2,5765,90,17.4,13599
111.3,5765,100,17.1,13595
112.3,5765,100,17.9,13586
113.3,5765,62,19.0,13573
114.4,5765,100,20.3,13543
115.4,5765,100,19.7,13193
116.4,5765,100,25.1,13154
117.5,5765,100,31.2,13567
118.5,5765,97,37.5,13990
119.5,5765,100,26.4,14244
120.6,5765,49,34.8,14227
121.6,5765,100,36.2,14275
122.6,5765,100,34.2,14291
123.7,5765,100,27.3,14273
124.7,5765,100,29.5,14590
125.7,5765,100,39.2,14705
126.8,5765,100,34.6,14691
127.8,5765,100,24.6,14598
128.9,5765,50,22.2,14604
129.9,5765,100,28.6,14565
130.9,5765,100,28.4,14454
132.0,5765,52,17.2,14426
133.0,5765,100,29.0,14341
134.0,5765,100,32.1,13581
135.1,5765,100,16.6,13534
136.1,5765,100,22.5,13462
137.1,5765,100,24.8,13431
138.2,5765,100,20.1,13435
139.2,5765,100,16.1,13303
140.2,5765,100,21.8,13300
141.2,5765,100,24.6,13314
142.3,5765,100,16.2,13299
143.3,5765,91,24.2,13297
144.3,5765,100,21.0,13303
145.4,5765,100,20.5,13267
146.4,5765,89,18.1,13288
147.4,5765,100,22.5,13293
148.5,5765,100,23.9,13300
149.5,5765,100,16.9,13310
150.5,5765,100,20.5,13301
151.6,5765,65,22.2,13308
152.6,5765,100,21.3,13338
153.6,5765,100,17.5,13351
154.7,5765,71,24.5,13358
155.7,5765,100,22.2,13355
156.7,5765,100,18.0,13379
157.8,5765,62,19.3,13372
158.8,5765,100,21.1,13360
159.8,5765,100,24.1,13364
160.9,5765,77,18.7,13361
161.9,5765,100,21.9,13362
162.9,5765,100,27.1,13301
164.0,5765,57,17.7,13306
165.0,5765,100,20.9,13299
166.0,5765,100,26.7,13328
167.1,5765,100,19.0,13348
168.1,5765,100,20.5,13361
169.1,5765,98,20.8,13337
170.2,5765,100,20.8,13351
171.2,5765,100,19.6,13258
172.2,5765,51,22.2,13245
173.3,5765,100,32.8,13698
174.3,5765,100,23.0,13808
175.3,5765,65,29.1,13836
176.4,5765,100,23.2,13828
177.4,5765,100,19.4,13815
178.4,5765,100,26.5,14114
179.5,5765,100,28.1,14384
180.5,5765,55,15.8,14386
181.5,5765,100,25.4,14383
182.6,5765,61,19.9,14377
183.6,5765,100,19.4,14371
184.6,5765,100,22.2,14355
185.7,5765,76,24.6,14351
186.7,5765,100,21.5,14322
187.7,5765,100,30.6,13890
188.8,5765,100,25.1,13935
189.8,5765,100,23.1,13953
190.8,5765,95,17.0,13933
191.9,5765,100,23.0,13934
192.9,5765,100,26.9,13949
193.9,5765,89,26.1,14013
195.0,5765,100,20.3,14000
196.0,5765,100,23.6,13989
197.0,5765,100,22.8,13940
198.1,5765,100,17.9,13932
199.1,5765,100,26.4,13884
200.1,5765,97,27.5,13652
201.2,5765,100,29.7,13996
202.2,5765,100,16.2,13956
203.2,5765,82,24.4,13986
204.3,5765,100,29.6,14047
205.3,5765,100,28.0,13938
206.3,5765,78,24.2,13950
207.4,5765,100,24.0,13922
208.4,5765,100,17.6,13926
209.4,5765,89,33.9,14017
210.5,5765,100,23.4,14021
211.5,5765,100,22.7,14031
212.5,5765,100,22.1,14127
213.6,5765,100,35.3,14077
214.6,5765,100,23.3,14050
215.6,5765,100,15.6,14056
216.7,5765,92,22.4,14045
217.7,5765,100,27.4,14030
218.7,5765,100,26.4,13991
219.8,5765,74,24.7,14169
220.8,5765,77,22.1,14166
221.8,5765,100,23.4,14165
222.9,5765,80,19.1,14157
223.9,5765,100,27.0,14122
224.9,5765,100,22.3,14121
226.0,5765,71,16.1,14106
227.0,5765,100,23.0,14081
228.0,5765,100,27.3,14065
229.1,5765,66,21.9,14047
230.1,5765,100,22.3,13593
231.1,5765,100,28.6,13444
232.2,5765,75,19.4,13399
233.2,5765,100,15.8,13392
234.2,5765,100,28.7,13385
235.3,5765,86,21.9,13418
236.3,5765,100,20.1,13419
237.3,5765,100,16.2,13416
238.4,5765,70,27.3,13603
239.4,5765,100,28.2,13699
240.4,5765,100,18.3,13705
241.5,5765,77,17.1,13711
242.5,5765,100,21.0,13730
243.5,5765,62,20.8,13716
244.6,5765,100,15.7,13718
245.6,5765,100,22.8,13721
246.6,5765,79,20.6,13691
247.7,5765,100,17.4,13482
248.7,5765,100,23.0,13464
249.7,5765,100,21.9,13460
250.8,5765,100,24.6,13805
251.8,5765,67,30.9,13875
252.8,5765,100,17.7,13889
253.8,5765,100,19.4,13891
254.9,5765,82,15.8,13885
255.9,5765,100,20.7,13882
256.9,5765,100,19.2,13877
258.0,5765,96,17.1,13860
259.0,5765,100,16.6,13833
260.0,5765,100,24.9,13639
261.1,5765,100,20.6,13596
262.1,5765,100,14.3,13601
263.1,5765,100,29.2,13691
264.2,5765,36,35.9,14003
265.2,5765,100,16.0,13981
266.2,5765,100,22.4,13982
267.3,5765,60,23.2,13971
268.3,5765,100,22.7,13956
269.3,5765,100,16.3,13927
270.4,5765,55,23.1,13897
271.4,5765,100,21.0,13864
272.4,5765,100,15.6,13846
273.5,5765,82,19.7,13829
274.5,5765,100,21.2,13825
275.5,5765,58,19.4,13829
276.6,5765,100,17.1,13823
277.6,5765,100,20.0,13810
278.6,5765,100,21.8,13788
279.7,5765,100,15.3,13765
280.7,5765,100,23.1,13527
281.7,5765,100,22.6,13537
282.8,5765,100,19.2,13573
283.8,5765,100,18.8,13556
284.8,5765,100,23.4,13554
285.9,5765,100,24.5,13528
286.9,5765,93,17.9,13539
287.9,5765,100,20.8,13531
289.0,5765,100,23.1,13545
290.0,5765,100,21.8,13562
291.0,5765,100,22.3,13563
292.1,5765,100,22.6,13565
293.1,5765,55,21.8,13569
294.1,5765,100,21.2,13580
295.2,5765,100,24.5,13568
296.2,5765,59,25.4,13543
297.2,5765,100,17.8,13566
298.3,5765,100,31.4,13717
299.3,5765,96,31.5,14143
300.3,5765,100,18.8,14167
301.4,5765,100,24.5,14162
302.4,5765,100,27.5,14165
303.4,5765,100,21.2,14171
304.5,5765,80,18.2,14171
305.5,5765,100,21.5,14160
306.5,5765,81,27.8,13767
307.6,5765,100,23.4,13724
308.6,5765,100,19.9,13696
309.6,5765,100,21.5,13651
310.6,5765,100,26.0,13777
311.7,5765,100,33.4,14048
312.7,5765,56,21.6,14032
313.8,5765,100,25.3,13999
314.8,5765,100,20.8,13951
315.8,5765,55,23.2,14104
316.9,5765,100,31.7,14376
317.9,5765,100,23.0,14427
