t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,32.5,14112
2.6,15,0,23.7,14134
3.6,15,0,22.7,14149
4.6,15,0,21.9,14131
5.7,15,0,24.3,14150
6.7,15,0,22.4,14147
7.7,15,0,22.1,14142
8.8,15,0,23.8,14143
9.8,15,0,21.9,14130
10.8,15,0,22.1,14143
11.8,15,0,23.8,14122
12.9,15,0,22.0,14139
13.9,15,0,22.9,14144
14.9,15,0,23.6,14135
16.0,15,0,22.2,14116
17.0,15,0,23.9,14122
18.0,15,0,22.3,14133
19.1,15,0,26.7,14129
20.1,15,0,23.7,14119
21.1,15,0,22.2,14135
22.2,15,0,22.4,14136
23.2,15,0,24.0,14081
24.2,15,0,22.1,14078
25.3,15,0,21.9,14073
26.3,15,0,23.7,14066
27.3,15,0,22.4,14050
28.4,15,0,25.7,14736
29.4,15,0,24.4,14709
30.4,15,0,22.1,14696
31.5,15,0,23.7,14672
32.5,15,0,28.1,14266
33.5,15,0,22.3,14209
34.6,15,0,25.4,14151
35.6,15,0,23.8,14065
36.6,15,0,22.3,14041
37.7,15,0,23.1,14034
38.7,15,0,22.1,14021
39.7,15,0,23.5,14023
40.8,15,0,30.0,14048
41.8,15,0,22.4,14024
42.8,15,0,22.0,14037
43.9,15,0,25.3,14047
44.9,15,0,22.6,14073
46.0,15,0,23.3,14087
47.0,15,0,21.5,14044
48.0,15,0,22.7,14058
49.1,15,0,30.3,13907
50.1,15,0,22.1,13910
51.1,15,0,22.2,13894
52.2,15,0,23.8,13876
53.2,15,0,22.1,13879
54.2,15,0,21.8,13903
55.3,15,0,23.7,13887
56.3,15,0,21.8,13875
57.3,15,0,22.2,13862
58.4,15,0,23.0,13883
59.4,15,0,21.7,13882
60.4,15,0,25.5,13987
61.5,15,0,24.5,13999
62.5,15,0,22.3,14000
63.5,15,0,24.2,14030
64.6,15,0,22.5,14020
65.6,15,0,23.1,14012
66.6,15,0,24.7,14024
67.7,15,0,22.0,14020
68.7,15,0,22.6,14015
69.7,15,0,23.1,13998
70.8,15,0,22.6,14023
71.8,15,0,22.1,14025
72.8,15,0,23.3,14030
73.9,15,0,21.8,14023
74.9,15,0,22.2,14036
75.9,15,0,23.4,14051
77.0,15,0,21.2,14049
78.0,15,0,23.4,14044
79.0,15,0,23.1,14027
80.1,15,0,23.3,14043
81.1,15,0,23.9,14044
82.1,15,0,22.5,14036
83.2,15,0,22.7,14041
84.2,15,0,24.4,14058
85.2,15,0,22.1,14068
86.2,15,0,22.3,14064
87.3,15,0,23.0,14058
88.3,15,0,26.8,14614
89.3,15,0,23.0,14634
90.4,15,0,23.6,14637
91.4,15,0,21.9,14602
92.4,15,0,23.7,14594
93.5,15,0,26.3,14207
94.5,15,0,23.1,14168
95.5,15,0,24.8,14139
96.6,15,0,23.0,14119
97.6,15,0,22.7,14120
98.6,15,0,24.9,14022
99.7,15,0,25.0,14057
100.7,15,0,30.4,14192
101.7,15,0,23.9,14205
102.8,15,0,22.4,14212
103.8,15,0,21.9,14199
104.8,15,0,23.4,14199
105.9,15,0,22.8,14222
106.9,15,0,23.7,14207
107.9,15,0,24.7,14182
109.0,15,0,26.1,14044
110.0,15,0,24.5,14018
111.1,15,0,23.1,14003
112.1,15,0,23.4,14005
113.1,15,0,24.2,14000
114.1,15,0,22.7,14006
115.2,15,0,25.9,14059
116.2,15,0,30.8,14087
117.2,15,0,24.1,14041
118.3,15,0,22.0,14055
119.3,15,0,23.3,14053
120.3,15,0,21.7,14082
121.4,15,0,22.0,14058
122.4,15,0,22.8,14060
123.4,15,0,22.8,14067
124.5,15,0,23.1,14057
125.5,15,0,21.4,14081
126.5,15,0,22.9,14093
127.6,15,0,24.6,14086
128.6,15,0,22.0,14079
129.6,15,0,21.0,14094
130.7,15,0,23.1,14094
131.7,15,0,21.3,14096
132.7,15,0,21.6,14087
133.8,15,0,22.9,14104
134.8,15,0,22.0,14101
135.8,15,0,22.2,14093
136.9,15,0,26.9,14123
137.9,15,0,24.9,14070
138.9,15,0,25.7,14055
140.0,15,0,21.2,14073
141.0,15,0,20.9,14063
142.0,15,0,23.5,14063
143.1,15,0,22.6,14052
144.1,15,0,22.2,14052
145.1,15,0,23.9,14039
146.2,15,0,21.9,14021
147.2,15,0,24.7,14052
148.2,15,0,32.5,14347
149.3,15,0,22.0,14509
150.3,15,0,22.0,14513
151.3,15,0,22.4,14504
152.4,15,0,20.9,14472
153.4,15,0,26.6,14178
154.4,15,0,24.1,14183
155.5,15,0,29.5,14215
156.5,15,0,30.6,14299
