t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,53,0,25.7,13891
1.0,221,0,9.9,14228
2.1,221,0,8.2,14231
3.1,221,0,9.1,14234
4.1,271,0,7.5,14465
5.1,487,6,10.4,15452
6.2,489,2,7.2,15591
7.2,493,0,6.9,15685
8.2,493,54,6.6,15717
9.3,493,2,6.9,15726
10.3,497,2,9.7,15737
11.3,497,2,7.2,15761
12.3,499,0,7.4,15788
13.4,499,1,7.7,15799
14.4,499,2,7.9,15803
15.4,499,0,7.1,15820
16.5,499,2,7.0,15814
17.5,499,2,7.0,15807
18.5,499,0,6.9,15784
19.5,491,2,6.9,15820
20.6,491,0,7.2,15990
21.6,491,0,6.8,15977
22.6,491,0,6.9,15944
23.7,491,0,6.9,15946
24.7,491,0,6.9,15920
25.7,491,0,6.9,15932
26.7,491,0,6.8,15943
27.8,491,0,6.8,15954
28.8,491,0,6.8,15953
29.8,491,0,6.7,15954
30.8,491,0,6.8,15949
31.9,491,0,6.7,15971
32.9,491,0,6.9,15960
33.9,491,0,6.7,15959
34.9,491,0,6.9,15993
36.0,491,0,6.7,15971
37.0,491,0,6.8,15970
38.0,491,0,6.9,15969
39.1,491,0,6.8,15986
40.1,491,0,7.2,15989
41.1,491,0,6.8,15981
42.2,491,0,6.7,15970
43.2,491,0,6.9,15956
44.2,491,0,7.0,15984
45.2,491,0,6.8,15974
46.3,491,0,6.7,15974
47.3,491,0,6.7,15977
48.3,491,0,6.8,15968
49.4,491,0,6.8,15973
50.4,491,0,6.9,15972
51.4,491,0,6.9,15984
52.5,491,0,6.7,16027
53.5,509,24,6.0,16074
54.5,515,21,5.8,16086
55.5,519,23,7.3,16082
56.6,525,13,6.4,16143
57.6,529,16,6.1,16191
58.6,535,17,6.1,16215
59.7,541,13,6.4,16246
60.7,543,18,8.9,16399
61.7,533,0,6.9,16458
62.7,533,0,6.7,16462
63.8,533,0,8.6,16451
64.8,533,0,6.9,16449
65.8,533,0,7.2,16451
66.8,533,0,7.1,16451
67.9,533,0,7.3,16461
