t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,102,0,0.0,11454
1.0,119,0,0.0,11697
2.1,9730,70,0.0,12146
3.1,11148,82,0.0,12143
4.1,11482,77,0.0,12173
5.1,11322,86,0.0,12216
6.2,11496,82,0.0,12209
7.2,11454,92,0.0,12199
8.2,11336,90,0.0,12169
9.2,11688,78,0.0,12184
10.3,11416,90,0.0,12188
11.3,11500,93,0.0,12175
12.3,11776,75,0.0,12173
13.3,11624,73,0.0,12189
14.4,11496,61,0.0,12202
15.4,11716,90,0.0,12211
16.4,11598,75,0.0,12187
17.4,11280,69,0.0,12185
18.5,11002,76,0.0,12182
19.5,11672,76,0.0,12186
20.6,11826,83,0.0,12192
21.6,11416,92,0.0,12197
22.6,11830,92,0.0,12186
23.6,11698,73,0.0,12195
24.6,11760,82,0.0,12172
25.7,11430,86,0.0,12182
26.7,11870,90,0.0,12182
27.7,11502,84,0.0,12199
28.8,11770,93,0.0,12208
29.8,11484,88,0.0,12191
30.8,11774,72,0.0,12203
31.8,11674,85,0.0,12232
32.8,11812,86,0.0,12227
33.9,11530,81,0.0,12200
34.9,11560,81,0.0,12197
35.9,11616,87,0.0,12176
36.9,11624,69,0.0,12190
38.0,11622,82,0.0,12192
39.0,11586,83,0.0,12200
40.0,11434,76,0.0,12178
41.0,11640,93,0.0,12183
42.0,11576,86,0.0,12190
43.1,11832,90,0.0,12196
44.1,11828,73,0.0,12205
45.1,11422,91,0.0,12211
46.1,11722,21,0.0,12208
47.2,11722,22,0.0,12213
48.2,11722,26,0.0,12206
49.2,11722,24,0.0,12206
50.2,11722,29,0.0,12215
51.2,11722,26,0.0,12222
52.3,11602,87,0.0,12197
53.3,11606,87,0.0,12183
54.3,11650,90,0.0,12170
55.4,11604,89,0.0,12170
56.4,11654,53,0.0,12162
57.4,11424,53,0.0,12165
58.4,11690,65,0.0,12144
59.5,11388,46,0.0,12160
60.5,11494,69,0.0,12158
61.5,11532,83,0.0,12153
62.5,11796,32,0.0,12163
63.6,11866,35,0.0,12182
64.6,11334,42,0.0,12214
65.6,11616,61,0.0,12222
66.6,11670,68,0.0,12231
67.7,11812,75,0.0,12241
68.7,11656,55,0.0,12232
69.7,11670,77,0.0,12240
70.7,11494,34,0.0,12234
71.8,11566,66,0.0,12234
72.8,11512,81,0.0,12225
73.8,11812,31,0.0,12243
74.8,11494,43,0.0,12201
75.9,11602,66,0.0,12214
76.9,11494,56,0.0,12218
77.9,11796,65,0.0,12227
78.9,11830,75,0.0,12177
79.9,11636,73,0.0,12153
81.0,11370,66,0.0,12147
82.0,11618,81,0.0,12142
83.0,11656,75,0.0,12163
84.0,11830,83,0.0,12138
85.1,11610,69,0.0,12130
86.1,11576,46,0.0,12130
87.1,11380,78,0.0,12155
88.1,11506,65,0.0,12175
89.2,11802,76,0.0,12179
90.2,11740,34,0.0,12204
91.2,11840,73,0.0,12199
92.2,11538,65,0.0,12205
93.3,11450,77,0.0,12214
94.3,11490,75,0.0,12195
95.3,11828,67,0.0,12187
96.4,11790,84,0.0,12187
97.4,11702,61,0.0,12181
98.4,11366,85,0.0,12174
99.4,11596,41,0.0,12170
100.4,11684,56,0.0,12197
101.5,11860,51,0.0,12196
102.5,11756,49,0.0,12176
103.5,11316,63,0.0,12162
104.5,11684,79,0.0,12167
105.6,11800,58,0.0,12160
106.6,11326,52,0.0,12168
107.6,11494,91,0.0,12178
108.6,11496,48,0.0,12154
109.7,11828,33,0.0,12165
110.7,11508,36,0.0,12173
111.7,11702,86,0.0,12188
112.7,11554,79,0.0,12176
113.8,11776,56,0.0,12180
114.8,11706,71,0.0,12192
115.8,11598,74,0.0,12191
116.8,11598,69,0.0,12179
117.9,11598,57,0.0,12168
118.9,11368,64,0.0,12153
119.9,11792,80,0.0,12187
120.9,11584,56,0.0,12176
122.0,11760,58,0.0,12164
123.0,11528,76,0.0,12144
124.0,11318,79,0.0,12153
125.0,11530,63,0.0,12152
126.1,11494,81,0.0,12160
127.1,11424,30,0.0,12156
128.1,11704,63,0.0,12157
129.1,11794,40,0.0,12166
130.2,11408,56,0.0,12153
131.2,11792,37,0.0,12162
132.2,11670,78,0.0,12155
133.2,11776,88,0.0,12155
134.2,11652,56,0.0,12177
135.3,11864,22,0.0,12186
136.3,11864,36,0.0,12175
137.3,11564,73,0.0,12178
138.3,11862,56,0.0,12164
139.4,11690,75,0.0,12180
140.4,11742,63,0.0,12169
141.4,11494,69,0.0,12177
142.4,11758,37,0.0,12196
143.4,11316,21,0.0,12182
144.5,11602,79,0.0,12187
145.5,11526,73,0.0,12181
146.5,11436,92,0.0,12163
147.5,11614,85,0.0,12179
148.6,11666,32,0.0,12175
149.6,11572,68,0.0,12170
150.6,11466,72,0.0,12179
151.6,11738,87,0.0,12155
152.7,11540,64,0.0,12173
153.7,11478,83,0.0,12157
154.7,11630,81,0.0,12156
155.8,11630,73,0.0,12154
156.8,11680,80,0.0,12153
157.8,11656,95,0.0,12145
158.8,11760,99,0.0,12175
159.9,11800,97,0.0,12213
160.9,11756,97,0.0,12219
161.9,11766,98,0.0,12239
162.9,11510,94,0.0,12225
163.9,11760,99,0.0,12242
165.0,11858,98,0.0,12245
166.0,11648,99,0.0,12210
167.0,11852,96,0.0,12217
168.0,11454,100,0.0,12227
169.1,11752,95,0.0,12244
170.1,11700,99,0.0,12272
171.1,10900,97,0.0,12448
172.1,11810,100,0.0,12439
173.2,11802,99,0.0,12439
174.2,11810,99,0.0,12461
175.2,11864,100,0.0,12463
176.2,11768,99,0.0,12461
177.3,11816,98,0.0,12483
178.3,11732,61,0.0,12484
179.3,11816,100,0.0,12466
180.3,11588,98,0.0,12469
181.4,11816,99,0.0,12481
182.4,11844,98,0.0,12477
183.4,11816,100,0.0,12491
184.4,11864,100,0.0,12498
185.4,11768,91,0.0,12507
186.5,11816,98,0.0,12471
187.5,11696,97,0.0,12477
188.5,11816,99,0.0,12472
189.5,11844,97,0.0,12461
190.6,11816,99,0.0,12472
191.6,11864,99,0.0,12471
192.6,11816,100,0.0,12475
193.7,11410,95,0.0,12484
194.7,11410,0,0.0,12452
195.7,11410,82,0.0,12491
196.7,11410,0,0.0,12520
197.7,11410,95,0.0,12502
198.8,11410,0,0.0,12526
199.8,11410,5,0.0,12649
200.8,11410,0,0.0,12605
201.9,11410,3,0.0,12554
202.9,11410,94,0.0,12552
203.9,11410,93,0.0,12581
205.0,11412,0,0.0,12650
206.0,11412,96,0.0,12688
207.0,11412,0,0.0,12662
208.0,11412,0,0.0,12623
209.0,11412,96,0.0,12588
210.1,11412,0,0.0,12693
211.1,11412,95,0.0,12688
212.1,11412,19,0.0,12663
213.1,11412,39,0.0,12634
214.2,11412,48,0.0,12622
215.2,11412,0,0.0,12680
216.2,11412,95,0.0,12667
217.2,11412,0,0.0,12637
218.3,11412,95,0.0,12619
219.3,11412,95,0.0,12668
220.3,11412,0,0.0,12682
221.3,11412,95,0.0,12697
222.4,11412,0,0.0,12637
223.4,11412,6,0.0,12632
224.4,11412,49,0.0,12587
225.4,11412,23,0.0,12559
226.5,11412,38,0.0,12548
227.5,11412,43,0.0,12557
228.5,11412,96,0.0,12608
229.5,11412,0,0.0,12556
230.5,11412,50,0.0,12552
231.6,11412,95,0.0,12502
232.6,11412,83,0.0,12562
233.6,11412,86,0.0,12583
234.6,11412,54,0.0,12550
235.7,11412,0,0.0,12577
236.7,11412,0,0.0,12575
237.7,11412,96,0.0,12611
238.7,11412,0,0.0,12594
239.8,11782,61,0.0,12625
240.8,11782,27,0.0,12574
241.8,11782,68,0.0,12605
242.8,11782,79,0.0,12621
243.9,11782,33,0.0,12643
244.9,11782,82,0.0,12691
245.9,11782,13,0.0,12676
246.9,11782,0,0.0,12708
248.0,11782,0,0.0,12643
249.0,11782,0,0.0,12643
250.0,11782,0,0.0,12623
251.0,11782,23,0.0,12629
252.1,11782,0,0.0,12634
253.1,11782,32,0.0,12604
254.1,11782,73,0.0,12602
255.1,11782,95,0.0,12577
256.1,11782,37,0.0,12561
257.2,11782,0,0.0,12577
258.2,11782,0,0.0,12612
259.2,11782,0,0.0,12623
260.2,11782,0,0.0,12610
261.3,11782,26,0.0,12605
262.3,11782,90,0.0,12596
263.3,11782,51,0.0,12688
264.3,11782,16,0.0,12673
265.4,11782,68,0.0,12623
266.4,11782,3,0.0,12610
267.4,11782,3,0.0,12577
268.4,11782,0,0.0,12661
269.5,11782,0,0.0,12737
270.5,11782,0,0.0,12724
271.5,11782,0,0.0,12665
272.5,11782,0,0.0,12655
273.6,11782,11,0.0,12642
274.6,11782,0,0.0,12653
275.6,11782,0,0.0,12685
276.6,11782,33,0.0,12674
277.7,11782,86,0.0,12626
278.7,11782,54,0.0,12596
