t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,115,36,31.2,16234
1.0,115,37,21.9,16360
2.1,115,38,21.7,16479
3.1,115,35,26.2,16618
4.2,115,35,28.4,16759
5.2,115,36,23.3,16761
6.2,115,37,28.8,16860
7.3,115,36,25.0,16808
8.3,115,37,25.8,16823
9.4,115,36,32.3,16862
10.4,115,36,29.7,16826
11.4,115,36,25.9,16847
12.5,115,35,26.0,16845
13.5,115,38,24.7,16852
14.6,115,36,25.9,16840
15.6,115,38,23.2,16857
16.6,115,36,29.0,16886
17.7,115,38,28.5,16885
18.7,115,36,38.5,16873
19.8,115,36,36.6,16878
20.8,115,36,30.8,16854
21.8,115,36,27.9,16879
22.9,115,36,38.6,16883
23.9,115,36,28.3,16841
25.0,115,36,29.8,16843
26.0,115,40,26.9,16846
27.0,115,36,31.6,16862
28.1,115,36,36.3,16871
29.1,115,36,30.9,16905
30.2,115,36,33.3,16802
31.2,115,36,32.3,16800
32.3,115,36,29.2,16805
33.3,115,36,31.0,16804
34.3,115,36,30.2,16778
35.4,115,36,27.5,16802
36.4,115,36,33.4,16809
37.5,115,36,31.1,16795
38.5,115,36,28.0,16764
39.6,115,36,32.0,16769
40.6,115,37,27.8,16785
41.6,115,38,28.7,16796
42.7,115,36,30.9,16821
43.7,115,36,28.8,16832
44.8,115,36,30.5,16823
45.8,115,36,29.6,16839
46.8,115,36,31.3,16810
47.9,115,36,32.9,16802
48.9,115,36,34.0,16813
50.0,115,36,32.2,16836
51.0,115,36,32.1,16817
52.1,115,36,29.9,16831
53.1,115,36,32.6,16787
54.1,115,35,34.4,16816
55.2,115,34,40.3,16832
56.2,115,34,30.0,16737
57.3,115,35,29.6,16682
58.3,115,37,27.3,16682
59.4,115,37,32.4,16682
60.4,115,36,30.0,16677
61.4,115,37,27.2,16700
62.5,115,36,27.6,16712
63.5,115,36,25.1,16736
64.6,115,36,38.4,16669
65.6,115,36,28.1,16676
66.7,115,38,33.9,16769
67.7,115,37,30.8,16788
68.7,115,36,27.8,16791
69.8,115,37,27.1,16768
70.8,115,36,29.5,16773
71.9,115,36,25.7,16742
72.9,115,35,26.6,16749
73.9,115,36,27.2,16758
75.0,115,36,27.2,16747
76.0,115,36,33.2,16766
77.1,115,36,38.2,16777
78.1,115,36,38.8,16791
79.2,115,36,30.2,16813
80.2,115,36,39.6,16796
81.2,115,36,37.4,16790
82.3,115,36,36.7,16793
83.3,115,36,30.4,16802
84.4,115,36,29.3,16806
85.4,115,36,29.6,16795
86.5,115,36,27.7,16802
87.5,115,36,28.5,16802
88.5,115,36,29.0,16825
89.6,115,36,29.4,16812
90.6,115,36,34.7,16790
91.7,115,38,31.7,16789
92.7,115,36,33.5,16791
93.7,115,36,43.0,16725
94.8,115,36,38.6,16732
95.8,115,36,32.2,16752
96.9,115,36,37.2,16764
97.9,115,36,33.8,16796
99.0,115,37,35.6,16782
100.0,115,36,38.2,16792
101.0,115,36,36.7,16814
102.1,115,36,42.4,16779
103.1,115,44,33.6,16793
104.2,115,36,39.5,16791
105.2,115,36,33.8,16804
106.3,115,36,31.5,16803
107.3,115,37,31.5,16825
108.3,115,37,36.5,16804
109.4,115,37,39.0,16821
110.4,115,36,29.6,16804
111.5,115,36,33.9,16809
112.5,115,36,42.4,16803
113.5,115,37,43.9,16795
114.6,115,38,36.2,16805
115.6,115,35,38.8,16816
116.7,115,35,36.3,16826
117.7,115,36,40.5,16850
118.8,115,35,32.2,16837
119.8,115,36,34.8,16849
120.8,115,36,31.7,16846
121.9,115,36,31.6,16838
122.9,115,36,35.2,16863
124.0,115,36,32.0,16872
125.0,115,36,28.8,16870
126.1,115,36,32.5,16989
127.1,115,36,36.6,16987
128.1,115,36,32.3,16998
129.2,115,36,33.0,17007
130.2,115,36,32.1,16993
131.3,115,36,31.2,16988
132.3,115,36,33.6,16955
133.4,115,36,34.3,16933
134.4,115,65,33.3,16943
135.4,115,36,35.0,16934
136.5,115,36,46.2,16953
137.5,115,36,32.7,16970
138.6,115,37,33.9,16961
139.6,115,36,38.8,16950
140.7,115,36,36.0,16961
141.7,115,36,34.3,16966
142.7,115,36,40.2,16954
143.8,115,36,29.3,16960
144.8,115,36,36.2,16947
145.9,115,36,35.1,16943
146.9,115,36,35.7,16955
148.0,115,36,32.5,16972
149.0,115,36,31.0,16937
150.0,115,36,32.6,16944
