t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,115,36,46.8,16737
1.1,312,68,42.1,17022
2.1,2546,17,34.9,17253
3.1,3138,52,67.3,17294
4.2,3138,52,70.4,17339
5.2,3148,58,53.2,17359
6.3,3132,49,46.6,17325
7.3,3138,16,54.6,17321
8.4,3132,68,46.3,17329
9.4,3134,48,55.1,17320
10.4,3134,48,69.5,17284
11.5,3134,50,70.3,17339
12.5,3132,25,48.2,17358
13.6,3132,32,49.6,17349
14.6,3134,44,40.8,17359
15.6,3134,44,51.1,17362
16.7,3138,24,47.0,17392
17.7,3132,34,46.9,17383
18.7,3148,35,42.8,17364
19.8,3132,48,44.3,17396
20.8,3132,62,41.7,17428
21.8,3134,19,46.2,17465
22.9,3132,56,42.8,17464
23.9,3132,33,42.2,17462
24.9,3132,64,40.7,17458
26.0,3134,16,45.9,17526
27.0,3132,19,40.3,17495
28.1,3132,65,39.3,17485
29.1,3134,53,45.2,17479
30.1,3132,39,44.3,17495
31.2,3134,22,42.2,17486
32.2,3134,17,43.8,17488
33.2,3138,62,46.1,17468
34.3,3132,44,46.2,17476
35.3,3148,33,46.6,17483
36.3,3138,48,54.5,17473
37.4,3138,45,56.7,17473
38.4,3132,50,50.7,17486
39.5,3132,44,46.6,17506
40.5,3138,66,43.5,17497
41.5,3138,47,46.4,17520
42.6,3156,57,49.6,17519
43.6,3132,26,38.1,17540
44.6,3156,54,41.3,17548
45.7,3156,56,45.9,17554
46.7,3132,60,47.3,17572
47.8,3134,49,49.5,17603
48.8,3138,50,45.3,17639
49.8,3132,62,50.2,17655
50.9,3134,45,42.7,17655
51.9,3156,25,48.6,17670
53.0,3134,21,50.0,17704
54.0,3132,51,44.0,17744
55.0,3132,36,39.7,17775
56.1,3134,53,42.3,17792
57.1,3134,36,45.1,17841
58.2,3134,55,48.0,17860
59.2,3138,38,51.7,17810
60.2,3132,63,45.9,17807
61.3,3132,66,48.0,17787
62.3,3138,70,48.1,17800
63.4,3132,17,34.3,17788
64.4,115,17,32.9,17261
