t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,115,35,94.5,16673
1.1,115,36,83.3,16658
2.1,115,36,89.3,16656
3.2,115,36,89.7,16684
4.2,115,36,93.0,16688
5.3,115,40,94.4,16696
6.3,115,36,92.4,16696
7.4,115,38,89.6,16625
8.4,115,37,91.5,16605
9.5,115,36,83.1,16607
10.5,115,36,68.7,16614
11.6,115,36,67.5,16600
12.7,115,36,75.7,16634
13.7,115,36,84.1,16629
14.8,115,37,85.8,16676
15.8,115,36,88.9,16670
16.9,115,37,93.5,16766
17.9,115,36,91.2,16687
19.0,115,32,93.2,16712
20.0,115,37,94.4,16721
