t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,102,0,0.0,11512
1.0,104,0,0.0,11809
2.1,4986,25,0.0,12160
3.1,8118,87,0.0,12282
4.1,11818,49,0.0,12301
5.1,11872,84,0.0,12308
6.2,11802,37,0.0,12299
7.2,11820,76,0.0,12305
8.2,11554,72,0.0,12302
9.2,11630,82,0.0,12303
10.3,11852,78,0.0,12309
11.3,11132,78,0.0,12298
12.3,11160,73,0.0,12307
13.3,11746,68,0.0,12307
14.3,11746,18,0.0,12307
15.4,11746,26,0.0,12309
16.4,11622,79,0.0,12300
17.4,11322,67,0.0,12305
18.4,11606,62,0.0,12305
19.5,11446,77,0.0,12311
20.5,11534,86,0.0,12308
21.5,11660,59,0.0,12311
22.5,11590,82,0.0,12305
23.6,11468,77,0.0,12287
24.6,11802,58,0.0,12296
25.6,11272,63,0.0,12300
26.6,11466,52,0.0,12301
27.7,11572,81,0.0,12307
28.7,11770,65,0.0,12304
29.7,11574,61,0.0,12299
30.8,11736,69,0.0,12305
31.8,11398,78,0.0,12299
32.8,11540,77,0.0,12293
33.8,11736,62,0.0,12301
34.8,11804,59,0.0,12296
35.9,11612,63,0.0,12293
36.9,11840,69,0.0,12296
37.9,11700,74,0.0,12290
38.9,11502,63,0.0,12287
40.0,11732,74,0.0,12281
41.0,11786,87,0.0,12300
42.0,11522,68,0.0,12298
43.0,11522,17,0.0,12309
44.1,11612,69,0.0,12302
45.1,11400,83,0.0,12295
46.1,11134,62,0.0,12301
47.1,11840,75,0.0,12297
48.2,11398,71,0.0,12298
49.2,11770,62,0.0,12292
50.2,11840,46,0.0,12290
51.3,11612,66,0.0,12298
52.3,11700,72,0.0,12276
53.3,11716,80,0.0,12287
54.3,11646,63,0.0,12309
55.4,11240,76,0.0,12294
56.4,11276,33,0.0,12276
57.4,11682,79,0.0,12294
58.4,11840,55,0.0,12283
59.5,11736,35,0.0,12299
60.5,11504,56,0.0,12285
61.5,11770,76,0.0,12308
62.5,11716,14,0.0,12293
63.5,11754,77,0.0,12295
64.6,11840,78,0.0,12281
65.6,11768,81,0.0,12293
66.6,11470,74,0.0,12299
67.7,11768,87,0.0,12299
68.7,11346,78,0.0,12293
69.7,11700,80,0.0,12293
70.7,11400,85,0.0,12271
71.7,11612,61,0.0,12264
72.8,11168,56,0.0,12267
73.8,11804,47,0.0,12286
74.8,11736,75,0.0,12289
75.8,11540,72,0.0,12298
76.9,11398,69,0.0,12298
77.9,11240,43,0.0,12296
78.9,11504,60,0.0,12290
79.9,11398,77,0.0,12308
81.0,11398,77,0.0,12302
82.0,11770,74,0.0,12303
83.0,11204,91,0.0,12287
84.0,11700,90,0.0,12299
85.0,11736,54,0.0,12293
86.1,11398,33,0.0,12277
87.1,11434,36,0.0,12282
88.1,11646,45,0.0,12285
89.1,11470,91,0.0,12303
90.2,11802,25,0.0,12291
91.2,11838,88,0.0,12291
92.2,11496,85,0.0,12289
93.3,4824,49,0.0,12275
94.3,9318,99,0.0,12304
95.3,9498,79,0.0,12300
96.3,9626,99,0.0,12292
97.4,9754,99,0.0,12307
98.4,9882,99,0.0,12304
99.4,10010,99,0.0,12307
100.4,8714,99,0.0,12301
101.5,9286,99,0.0,12300
102.5,9542,99,0.0,12293
103.5,9798,99,0.0,12291
104.5,10054,100,0.0,12296
105.5,10310,99,0.0,12292
106.6,10694,99,0.0,12298
107.6,10950,99,0.0,12302
108.6,11334,99,0.0,12300
109.6,11590,99,0.0,12297
110.7,11846,99,0.0,12296
111.7,11806,91,0.0,12292
112.7,11806,95,0.0,12432
113.7,11806,0,0.0,12445
114.8,11806,85,0.0,12467
115.8,11806,27,0.0,12497
116.8,11806,0,0.0,12492
117.8,11806,50,0.0,12505
118.9,11806,88,0.0,12538
119.9,11806,0,0.0,12497
120.9,11806,0,0.0,12532
121.9,11806,31,0.0,12529
123.0,11806,66,0.0,12525
124.0,11806,0,0.0,12531
125.0,11806,69,0.0,12519
126.0,11806,0,0.0,12512
127.0,11806,95,0.0,12471
128.1,11806,0,0.0,12456
129.1,11806,60,0.0,12492
130.1,11806,0,0.0,12482
131.1,11806,95,0.0,12510
132.2,11806,27,0.0,12533
133.2,11806,0,0.0,12556
134.2,11806,52,0.0,12528
135.2,11806,55,0.0,12547
136.3,11806,24,0.0,12526
137.3,11806,77,0.0,12520
138.3,11806,51,0.0,12476
139.3,11806,0,0.0,12498
140.4,11806,39,0.0,12531
141.4,11806,97,0.0,12521
142.4,11806,97,0.0,12509
143.4,11806,11,0.0,12494
144.4,11806,0,0.0,12566
145.5,11806,81,0.0,12550
146.5,11806,97,0.0,12542
147.5,11648,35,0.0,12535
148.5,11648,42,0.0,12523
149.6,11648,46,0.0,12500
150.6,11648,77,0.0,12504
151.6,11648,21,0.0,12484
152.6,11648,86,0.0,12521
153.6,11648,84,0.0,12553
154.7,11648,15,0.0,12550
155.7,11648,41,0.0,12525
156.7,11648,0,0.0,12562
157.7,11648,11,0.0,12517
158.8,11648,45,0.0,12533
159.8,11648,95,0.0,12516
160.8,11648,42,0.0,12535
161.8,11648,88,0.0,12533
162.9,11648,92,0.0,12517
163.9,11648,95,0.0,12504
