t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,115,38,43.7,16573
1.0,115,37,24.1,16723
2.1,115,37,26.1,16866
3.1,115,36,24.6,16960
4.2,115,66,29.4,17078
5.2,115,36,27.6,17084
6.2,115,36,29.1,17073
7.3,115,36,29.5,17126
8.3,115,36,27.1,17149
9.4,115,36,30.6,17179
10.4,115,36,32.3,17163
11.5,115,36,30.1,17162
12.5,115,36,35.7,17169
13.6,115,36,35.2,17166
14.6,115,36,35.5,17175
15.7,115,36,31.3,17158
16.7,115,36,35.5,17174
17.7,115,36,30.4,17190
18.8,115,36,29.9,17187
19.8,115,36,27.1,17198
20.9,115,38,26.8,17225
21.9,115,41,28.4,17224
22.9,115,37,28.0,17232
24.0,115,37,30.8,17237
25.0,115,36,28.7,17224
26.1,115,36,26.0,17223
27.1,115,36,32.5,17239
28.2,115,36,30.8,17248
29.2,115,36,34.8,17250
30.3,115,36,39.5,17259
31.3,115,36,34.5,17234
32.3,115,36,37.4,17257
33.4,115,36,33.6,17264
34.4,115,36,31.8,17276
35.5,115,36,35.6,17277
36.5,115,36,37.2,17275
37.6,115,36,40.2,17277
38.6,115,36,38.5,17295
39.7,115,36,36.2,17306
40.7,115,36,34.7,17305
41.7,115,35,31.1,17285
42.8,115,37,32.8,17282
43.8,115,36,33.4,17295
44.9,115,38,32.2,17296
45.9,115,37,32.1,17298
47.0,115,37,32.0,17289
48.0,115,36,29.0,17314
49.1,115,37,28.8,17300
50.1,115,36,28.7,17302
51.1,115,37,34.2,17307
52.2,115,36,30.5,17291
53.2,115,67,32.0,17284
54.3,115,36,33.3,17301
55.3,115,37,37.8,17323
56.4,115,37,50.0,17337
57.4,115,36,37.0,17370
58.5,115,36,30.6,17345
59.5,115,36,31.1,17359
60.6,115,36,30.7,17333
61.6,115,36,34.0,17301
62.6,115,36,37.3,17318
63.7,115,36,32.3,17318
64.7,115,36,33.5,17312
65.8,115,36,29.0,17318
66.8,115,36,31.2,17288
67.9,115,36,29.6,17316
68.9,115,38,33.6,17321
69.9,115,37,34.9,17316
71.0,115,36,35.6,17300
72.0,115,36,29.9,17310
73.1,115,36,45.4,17275
74.1,115,36,37.5,17278
75.2,115,36,38.4,17179
76.2,115,36,37.6,17171
77.3,115,36,34.2,17146
78.3,115,36,33.3,17132
79.4,115,36,37.3,17155
80.4,115,36,48.2,17176
81.5,115,36,39.5,17187
82.5,115,36,47.3,17146
83.6,115,36,38.3,17140
84.6,115,36,31.0,17111
85.7,115,36,35.0,17126
86.7,115,43,31.7,17125
87.7,115,36,29.9,17107
88.8,115,37,37.8,17108
89.8,115,36,34.7,17110
90.9,115,36,36.9,17124
91.9,115,37,39.2,17146
93.0,115,38,39.9,17192
94.0,115,37,42.1,17185
95.1,115,35,60.1,17243
96.1,115,36,36.8,17237
97.2,115,36,32.5,17257
98.2,115,38,46.8,17204
99.3,115,38,37.7,17176
100.3,115,36,34.1,17153
101.4,115,36,37.4,17168
102.4,115,41,37.4,17144
103.4,115,36,30.0,17158
104.5,115,36,33.9,17182
105.5,115,36,37.5,17200
106.6,115,36,34.7,17214
107.6,115,36,37.9,17226
108.7,115,36,39.4,17183
109.7,115,36,40.7,17217
110.7,115,36,46.1,17226
111.8,115,36,45.8,17216
112.8,115,37,43.6,17205
113.9,115,39,42.7,17232
114.9,115,36,37.2,17235
116.0,115,36,41.9,17264
117.0,115,36,38.5,17373
118.1,115,35,32.8,17364
119.1,115,35,37.8,17376
120.2,115,36,38.5,17388
121.2,115,36,45.8,17362
122.3,115,36,38.1,17386
123.3,115,36,40.0,17398
124.3,115,36,35.4,17414
125.4,115,36,38.5,17398
