t_s,mem_used_mib,gpu_util_pct
0,15, 9
2,15, 0
3,15, 0
4,15, 0
5,15, 0
6,15, 0
7,15, 0
9,15, 0
10,15, 0
11,15, 0
12,15, 0
13,15, 0
14,15, 0
15,15, 0
16,15, 0
17,15, 0
18,15, 0
19,15, 0
20,15, 0
21,15, 0
22,15, 0
23,15, 0
24,15, 0
25,15, 0
26,15, 0
27,15, 0
28,15, 0
29,15, 0
30,15, 0
31,15, 0
32,15, 0
33,15, 0
34,15, 0
36,15, 0
37,15, 0
38,15, 0
39,15, 0
40,15, 0
41,15, 0
42,15, 0
43,15, 0
44,15, 0
45,15, 0
46,15, 0
47,15, 0
48,15, 0
49,15, 0
50,15, 0
51,15, 0
52,15, 0
53,15, 0
54,15, 0
55,15, 0
56,15, 0
57,15, 0
58,15, 0
59,15, 0
60,15, 0
61,15, 0
63,15, 0
64,15, 0
65,15, 0
66,15, 0
67,15, 0
68,15, 0
69,15, 0
70,15, 0
71,15, 0
72,15, 0
73,15, 0
74,15, 0
75,15, 0
76,15, 0
77,15, 0
78,15, 0
79,15, 0
80,15, 0
81,15, 0
82,15, 0
83,15, 0
84,15, 0
85,15, 0
86,15, 0
87,15, 0
88,15, 0
90,15, 0
91,15, 0
92,15, 0
93,15, 0
94,15, 0
95,15, 0
96,15, 0
97,15, 0
98,15, 0
99,15, 0
100,15, 0
101,15, 0
102,15, 0
103,15, 0
104,15, 0
105,15, 0
106,15, 0
107,15, 0
108,15, 0
109,15, 0
110,15, 0
111,15, 0
112,15, 0
113,15, 0
114,15, 0
115,15, 0
117,15, 0
118,15, 0
119,15, 0
120,15, 0
121,15, 0
122,15, 0
123,15, 0
124,15, 0
125,15, 0
126,15, 0
127,15, 0
128,15, 0
129,15, 0
130,15, 0
131,15, 0
132,15, 0
133,15, 0
134,15, 0
135,15, 0
136,15, 0
137,15, 0
138,15, 0
139,15, 0
140,15, 0
141,15, 0
142,15, 0
143,15, 0
145,15, 0
146,15, 0
147,15, 0
148,15, 0
149,15, 0
150,15, 0
151,15, 0
152,15, 0
153,15, 0
154,15, 0
155,15, 0
156,15, 0
157,15, 0
158,15, 0
159,15, 0
160,15, 0
161,15, 0
162,15, 0
163,15, 0
164,15, 0
165,15, 0
166,15, 0
167,15, 0
168,15, 0
169,15, 0
170,15, 0
172,15, 0
173,15, 0
174,15, 0
175,15, 0
176,15, 0
177,15, 0
178,15, 0
179,15, 0
180,15, 0
181,15, 0
182,15, 0
183,15, 0
184,15, 0
185,15, 0
186,15, 0
187,15, 0
188,15, 0
189,15, 0
190,15, 0
191,15, 0
192,15, 0
193,15, 0
194,15, 0
195,15, 0
196,15, 0
197,15, 0
198,15, 0
200,15, 0
201,15, 0
202,15, 0
203,15, 0
204,15, 0
205,15, 0
206,15, 0
207,15, 0
208,15, 0
209,15, 0
210,15, 0
211,15, 0
212,15, 0
213,15, 0
214,15, 0
215,15, 0
216,15, 0
217,15, 0
218,15, 0
219,15, 0
220,15, 0
221,15, 0
222,15, 0
223,15, 0
224,15, 0
225,15, 0
226,15, 0
228,15, 0
229,15, 0
230,15, 0
231,15, 0
232,15, 0
233,15, 0
234,15, 0
235,15, 0
236,15, 0
237,15, 0
238,15, 0
239,15, 0
240,15, 0
241,15, 0
242,15, 0
243,15, 0
244,15, 0
245,15, 0
246,15, 0
247,15, 0
248,15, 0
249,15, 0
250,15, 0
251,15, 0
252,15, 0
253,15, 0
255,15, 0
256,15, 0
257,15, 0
258,15, 0
259,15, 0
260,15, 0
261,15, 0
262,15, 0
263,15, 0
264,15, 0
265,15, 0
266,15, 0
267,15, 0
268,15, 0
269,15, 0
270,15, 0
271,15, 0
272,15, 0
273,15, 0
274,15, 0
275,15, 0
276,15, 0
277,15, 0
278,15, 0
279,15, 0
280,15, 0
281,15, 0
283,15, 0
284,15, 0
285,15, 0
286,15, 0
287,15, 0
288,15, 0
289,15, 0
290,15, 0
291,15, 0
292,15, 0
293,15, 0
294,15, 0
295,15, 0
296,15, 0
297,15, 0
298,15, 0
299,15, 0
300,15, 0
301,15, 0
302,15, 0
303,15, 0
304,15, 0
305,15, 0
306,15, 0
307,15, 0
308,15, 0
309,15, 0
311,15, 0
312,15, 0
313,15, 0
314,15, 0
315,15, 0
316,15, 0
317,15, 0
318,15, 0
319,15, 0
320,15, 0
321,15, 0
322,15, 0
323,15, 0
324,15, 0
325,15, 0
326,15, 0
327,15, 0
328,15, 0
329,15, 0
330,15, 0
331,15, 0
332,15, 0
333,15, 0
334,15, 0
335,15, 0
336,15, 0
338,15, 0
339,15, 0
340,15, 0
341,15, 0
342,15, 0
343,15, 0
344,15, 0
345,15, 0
346,15, 0
347,15, 0
348,15, 0
349,15, 0
350,15, 0
351,15, 0
352,15, 0
353,15, 0
354,15, 0
355,15, 0
356,15, 0
357,15, 0
358,15, 0
359,15, 0
360,15, 0
361,15, 0
362,15, 0
363,15, 0
364,15, 0
366,15, 0
367,15, 0
368,15, 0
369,15, 0
370,15, 0
371,15, 0
372,15, 0
373,15, 0
374,15, 0
375,15, 0
376,15, 0
377,15, 0
378,15, 0
379,15, 0
380,15, 0
381,15, 0
382,15, 0
383,15, 0
384,15, 0
385,15, 0
386,15, 0
387,15, 0
388,15, 0
389,15, 0
390,15, 0
391,15, 0
393,15, 0
394,15, 0
395,15, 0
396,15, 0
397,15, 0
398,15, 0
399,15, 0
400,15, 0
401,15, 0
402,15, 0
403,15, 0
404,15, 0
405,15, 0
406,15, 0
407,15, 0
408,15, 0
409,15, 0
410,15, 0
411,15, 0
412,15, 0
413,15, 0
414,15, 0
415,15, 0
416,15, 0
417,15, 0
418,15, 0
419,15, 0
421,15, 0
422,15, 0
423,15, 0
424,15, 0
425,15, 0
426,15, 0
427,15, 0
428,15, 0
429,15, 0
430,15, 0
431,15, 0
432,15, 0
433,15, 0
434,15, 0
435,15, 0
436,15, 0
437,15, 0
438,15, 0
439,15, 0
440,15, 0
441,15, 0
442,15, 0
443,15, 0
444,15, 0
445,15, 0
446,15, 0
447,15, 0
449,15, 0
450,15, 0
451,15, 0
452,15, 0
453,15, 0
454,15, 0
455,15, 0
456,15, 0
457,15, 0
458,15, 0
459,15, 0
460,15, 0
461,15, 0
462,15, 0
463,15, 0
464,15, 0
465,15, 0
466,15, 0
467,15, 0
468,15, 0
469,15, 0
470,15, 0
471,15, 0
472,15, 0
473,15, 0
474,15, 0
476,15, 0
477,15, 0
478,15, 0
479,15, 0
480,15, 0
481,15, 0
482,15, 0
483,15, 0
484,15, 0
485,15, 0
486,15, 0
487,15, 0
488,15, 0
489,15, 0
490,15, 0
491,15, 0
492,15, 0
493,15, 0
494,15, 0
495,15, 0
496,15, 0
497,15, 0
498,15, 0
499,15, 0
500,15, 0
501,15, 0
502,15, 0
504,15, 0
505,15, 0
506,15, 0
507,15, 0
508,15, 0
509,15, 0
510,15, 0
511,15, 0
512,15, 0
513,15, 0
514,15, 0
515,15, 0
516,15, 0
517,15, 0
518,15, 0
519,15, 0
520,15, 0
521,15, 0
522,15, 0
523,15, 0
524,15, 0
525,15, 0
526,15, 0
527,15, 0
528,15, 0
529,15, 0
531,15, 0
532,15, 0
533,15, 0
534,15, 0
535,15, 0
536,15, 0
537,15, 0
538,15, 0
539,15, 0
540,15, 0
541,15, 0
542,15, 0
543,15, 0
544,15, 0
545,15, 0
546,15, 0
547,15, 0
548,15, 0
549,15, 0
550,15, 0
551,15, 0
552,15, 0
553,15, 0
554,15, 0
555,15, 0
556,15, 0
557,15, 0
559,15, 0
560,15, 0
561,15, 0
562,15, 0
563,15, 0
564,15, 0
565,15, 0
566,15, 0
567,15, 0
568,15, 0
569,15, 0
570,15, 0
571,15, 0
572,15, 0
573,15, 0
574,15, 0
575,15, 0
576,15, 0
577,15, 0
578,15, 0
579,15, 0
580,15, 0
581,15, 0
582,15, 0
583,15, 0
584,15, 0
586,15, 0
587,15, 0
588,15, 0
589,15, 0
590,15, 0
591,15, 0
592,15, 0
593,15, 0
594,15, 0
595,15, 0
596,15, 0
597,15, 0
598,15, 0
599,15, 0
600,15, 0
601,15, 0
602,15, 0
603,15, 0
604,15, 0
605,15, 0
606,15, 0
607,15, 0
608,15, 0
609,15, 0
610,15, 0
611,15, 0
612,15, 0
614,15, 0
615,15, 0
616,15, 0
617,15, 0
618,15, 0
619,15, 0
620,15, 0
621,15, 0
622,15, 0
623,15, 0
624,15, 0
625,15, 0
626,15, 0
627,15, 0
628,15, 0
629,15, 0
630,15, 0
631,15, 0
632,15, 0
633,15, 0
634,15, 0
635,15, 0
636,15, 0
637,15, 0
638,15, 0
639,15, 0
640,15, 0
642,15, 0
643,15, 0
644,15, 0
645,15, 0
646,15, 0
647,15, 0
648,15, 0
649,15, 0
650,15, 0
651,15, 0
652,15, 0
653,15, 0
654,15, 0
655,15, 0
656,15, 0
657,15, 0
658,15, 0
659,15, 0
660,15, 0
661,15, 0
662,15, 0
663,15, 0
664,15, 0
665,15, 0
666,15, 0
