t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,79.9,12034
1.0,15,0,71.9,12086
2.1,15,0,72.1,12058
3.1,15,0,73.9,12048
4.2,15,0,73.1,12039
5.2,15,0,73.8,12066
6.2,15,0,72.9,12077
7.3,15,0,81.9,12072
8.3,15,0,80.0,12050
9.3,15,0,73.0,12040
10.4,15,0,72.3,12050
11.4,15,0,76.3,12054
12.4,15,0,75.6,12060
13.5,15,0,76.9,12059
14.5,15,0,77.8,12013
15.6,15,0,82.4,11721
16.6,15,0,80.8,11747
17.6,15,0,80.4,11785
18.7,15,0,82.0,11822
19.7,15,0,78.6,11843
20.8,15,0,78.8,11828
21.8,15,0,76.7,11800
22.8,15,0,77.3,11789
23.9,15,0,76.5,11791
24.9,15,0,77.6,11780
26.0,15,0,77.1,11780
27.0,15,0,78.1,11755
28.0,15,0,76.9,11777
29.1,15,0,77.2,11772
30.1,15,0,72.7,11776
31.2,15,0,74.6,11778
32.2,15,0,74.3,11773
33.2,15,0,75.4,11772
34.3,15,0,77.0,11770
35.3,15,0,75.2,11779
36.4,15,0,77.3,11772
37.4,15,0,84.6,11765
38.5,15,0,78.5,11748
39.5,15,0,79.0,11752
40.5,15,0,74.8,11767
41.6,15,0,74.8,11782
42.6,15,0,79.5,11821
43.7,15,0,82.0,12094
44.7,15,0,82.3,12228
45.7,15,0,78.0,12229
46.8,15,0,81.8,12140
47.8,15,0,85.6,12235
48.9,15,0,80.4,12280
49.9,15,0,84.0,12295
51.0,15,0,80.8,12315
52.0,15,0,81.7,12297
53.0,15,0,82.7,12292
54.1,15,0,81.7,12304
55.1,15,0,81.4,12308
56.2,15,0,79.3,12312
57.2,15,0,79.5,12324
58.3,15,0,79.4,12334
59.3,15,0,84.7,12327
60.4,15,0,91.7,11900
