t_s,mem_used_mib,gpu_util_pct
0,15, 9
2,18, 0
3,4767, 4
4,5633, 12
5,6895, 69
6,6895, 65
7,6897, 50
8,6897, 57
9,6897, 56
10,6897, 40
11,6897, 70
13,6897, 63
14,6897, 77
15,6897, 92
16,6917, 60
17,7137, 90
18,7137, 89
19,7137, 70
20,7137, 66
21,7137, 65
22,7137, 90
23,7137, 71
24,7137, 48
25,7317, 90
26,7317, 49
27,7317, 71
28,7317, 88
29,7317, 91
30,7317, 60
31,7317, 89
32,7317, 73
33,7317, 73
34,7317, 89
35,7317, 92
36,7317, 49
37,7317, 74
39,7317, 77
40,7317, 78
41,7317, 41
42,7317, 47
43,7317, 77
44,7317, 40
45,7317, 73
46,7317, 51
47,7317, 60
48,7317, 39
49,7317, 48
50,7317, 76
51,7317, 85
52,7377, 92
53,7377, 66
54,7377, 51
55,7377, 79
56,7377, 79
57,7377, 50
58,7377, 74
59,7377, 89
60,7377, 52
61,7377, 80
62,7377, 75
63,7377, 38
64,7377, 90
66,7377, 90
67,7377, 50
68,7377, 52
69,7377, 90
70,7377, 82
71,7377, 84
72,7377, 81
73,7377, 64
74,7377, 84
75,7377, 91
76,7377, 63
77,7377, 86
78,7377, 90
79,7377, 79
80,7377, 80
81,7377, 41
82,7377, 83
83,7377, 55
84,7377, 74
85,7377, 86
86,7377, 53
87,7377, 64
88,7377, 40
89,7377, 73
90,7737, 84
91,7737, 45
92,7737, 40
94,7737, 91
95,7737, 92
96,7737, 68
97,7737, 66
98,7737, 56
99,7737, 68
100,7737, 92
101,7737, 78
102,7737, 66
103,7737, 66
104,7737, 71
105,7737, 84
106,7737, 62
107,7737, 91
108,7837, 92
109,7837, 92
110,7837, 67
111,7837, 84
112,7837, 79
113,7837, 88
114,7837, 51
115,7837, 92
116,7837, 83
117,7837, 92
118,7837, 71
119,7837, 61
120,7837, 83
122,7837, 78
123,7837, 56
124,7837, 91
125,7837, 92
126,7837, 62
127,7837, 94
128,7837, 69
129,7837, 49
130,7837, 44
131,7837, 92
132,7837, 92
133,7837, 71
134,7837, 67
135,7837, 50
136,7837, 56
137,7837, 91
138,7837, 82
139,7837, 72
140,7837, 92
141,7837, 47
142,7837, 91
143,7837, 80
144,7837, 92
145,7837, 46
146,7837, 92
147,7837, 92
148,7837, 64
150,7837, 59
151,7837, 61
152,7837, 92
153,7837, 60
154,7837, 76
155,7837, 53
156,7837, 59
157,7837, 50
158,7837, 61
159,7837, 68
160,7837, 53
161,7837, 91
162,7837, 91
163,7837, 91
164,7837, 79
165,7837, 89
166,7837, 84
167,7837, 52
168,7837, 92
169,7837, 92
170,7837, 92
171,7837, 92
172,7837, 92
173,7837, 56
174,7837, 91
175,7837, 59
176,7837, 85
177,7837, 49
179,7837, 66
180,7837, 90
181,7837, 80
182,7837, 92
183,7837, 61
184,7837, 76
185,7837, 92
186,7837, 93
187,7837, 56
188,7837, 78
189,7837, 57
190,7837, 45
191,7837, 51
192,7837, 91
193,7837, 55
194,7837, 54
195,7837, 45
196,7837, 57
197,7837, 53
198,7837, 89
199,7837, 45
200,7837, 92
201,7837, 92
202,7837, 92
203,7837, 84
204,7837, 53
205,7533, 67
207,7675, 91
208,7675, 73
209,7675, 66
210,7675, 73
211,6331, 48
212,6331, 97
213,6331, 91
214,6331, 14
215,6331, 97
216,6331, 97
217,6331, 49
218,6331, 67
219,6331, 95
220,6331, 93
221,6331, 16
222,6331, 96
223,6331, 97
224,6331, 69
225,6331, 40
226,6331, 97
227,6331, 97
228,6331, 21
229,6331, 89
230,6331, 97
231,6331, 83
232,6331, 24
233,6331, 97
235,6331, 96
236,6331, 57
237,6331, 47
238,6331, 96
239,6331, 97
240,6331, 34
241,6331, 76
242,6331, 97
243,6331, 91
244,6331, 23
245,6331, 97
246,6331, 97
247,6331, 29
248,6331, 84
249,6331, 95
250,6331, 67
251,6331, 97
252,6331, 93
253,6331, 14
254,6331, 97
255,6331, 96
256,6331, 36
257,6331, 81
258,6331, 97
259,6331, 46
260,6331, 70
261,6331, 96
262,6331, 74
264,6331, 37
265,6331, 97
266,6331, 93
267,6331, 13
268,6331, 96
269,6331, 97
270,6331, 23
271,6331, 81
272,6331, 96
273,6331, 90
274,6331, 19
275,6331, 96
276,6331, 97
277,6331, 61
278,6331, 48
279,6331, 97
280,6331, 6
281,6331, 96
282,6331, 97
283,6331, 28
284,6331, 84
285,6331, 96
286,6331, 53
287,6331, 92
288,6331, 98
289,6331, 66
290,6331, 44
292,6331, 96
293,6331, 97
294,6331, 12
295,6331, 97
296,6331, 96
297,6331, 82
298,6331, 19
299,6331, 97
300,6331, 98
301,6331, 70
302,6331, 36
303,6331, 98
304,6331, 97
305,6331, 34
306,6331, 70
307,6331, 97
308,6331, 23
309,6331, 78
310,6331, 96
311,6331, 94
312,6331, 17
313,6331, 79
314,6331, 96
315,6331, 93
316,6331, 17
317,6331, 78
319,6331, 90
320,15, 82
