t_s,mem_used_mib,gpu_util_pct
0,15, 9
3,15, 0
4,15, 0
5,15, 0
6,160, 1
7,202, 0
8,2254, 20
9,2818, 0
10,2818, 0
11,2818, 0
12,2960, 47
13,7816, 100
14,5652, 94
15,5898, 96
16,5930, 0
18,6341, 4
19,6341, 0
20,6341, 100
21,6341, 100
22,6341, 100
23,6341, 74
24,6341, 100
25,6277, 100
26,6277, 100
27,6277, 100
28,6277, 100
29,6277, 100
30,6277, 73
31,6277, 100
32,6277, 100
33,6277, 100
34,6277, 77
35,6277, 100
36,6277, 100
37,6277, 100
38,6277, 76
39,6277, 100
40,6277, 100
41,6277, 100
42,6277, 66
44,6277, 100
45,6277, 100
46,6277, 100
47,6277, 83
48,6277, 100
49,6277, 100
50,6277, 100
51,6277, 71
52,6277, 100
53,6213, 83
54,6213, 100
55,6213, 100
56,6213, 100
57,6213, 71
58,6213, 100
59,6149, 100
60,6149, 81
61,6149, 100
62,6149, 100
63,6149, 78
64,6213, 100
65,6213, 100
66,6213, 100
67,6213, 100
69,6213, 100
70,6213, 100
71,6341, 100
72,6213, 84
73,6341, 100
74,6213, 100
75,6213, 100
76,6213, 100
77,6213, 80
78,6341, 100
79,6341, 100
80,6341, 100
81,6277, 87
82,6277, 100
83,6277, 100
84,6277, 66
85,6277, 100
86,6277, 100
87,6277, 100
88,6277, 93
89,6277, 100
90,6277, 100
91,6277, 98
92,6277, 100
93,6277, 100
95,6277, 100
96,6277, 77
97,6277, 100
98,6277, 100
99,6277, 100
100,6277, 100
101,6277, 100
102,6277, 100
103,6277, 100
104,6277, 100
105,6277, 100
106,6277, 72
107,6277, 100
108,6277, 100
109,6277, 100
110,6277, 73
111,6277, 100
112,6277, 100
113,6277, 100
114,6277, 100
115,6277, 100
116,6277, 100
117,6277, 100
118,6277, 100
119,6277, 100
121,6277, 100
122,6277, 98
123,6277, 100
124,6277, 100
125,6277, 100
126,6277, 77
127,6277, 100
128,6277, 100
129,6277, 100
130,6277, 92
131,6277, 100
132,6277, 96
133,6277, 100
134,6277, 100
135,6277, 100
136,6277, 100
137,6277, 71
138,6277, 100
139,6277, 100
140,6277, 94
141,6277, 100
142,6277, 100
143,6277, 100
144,6277, 71
145,6277, 100
146,6277, 100
148,6277, 100
149,6277, 73
150,6277, 100
151,6277, 100
152,6277, 100
153,6277, 97
154,6277, 100
155,6277, 100
156,6277, 85
157,6277, 100
158,6277, 100
159,6277, 82
160,6277, 100
161,6277, 100
162,6277, 82
163,6277, 100
164,6277, 100
165,6277, 100
166,6277, 73
167,6277, 100
168,6277, 100
169,6277, 100
170,6277, 75
171,6277, 100
173,6277, 100
174,6277, 100
175,6277, 78
176,6277, 100
177,6277, 100
178,6277, 72
179,6277, 100
180,6277, 100
181,6277, 100
182,6277, 54
183,6277, 100
184,6277, 88
185,6277, 100
186,6277, 100
187,6277, 100
188,6277, 80
189,6277, 100
190,6277, 100
191,6277, 87
192,6277, 100
193,6277, 100
194,6277, 100
195,6277, 93
196,6277, 100
197,6277, 100
198,6277, 87
200,6277, 100
201,6277, 100
202,6277, 100
203,6277, 66
204,6277, 100
205,6277, 100
206,6277, 100
207,6277, 74
208,6277, 100
209,6277, 92
210,6277, 100
211,6277, 100
212,6277, 100
213,6277, 75
214,6277, 100
215,6277, 100
216,6277, 100
217,6277, 71
218,6277, 100
219,6277, 100
220,6277, 100
221,6277, 84
222,6277, 100
223,6277, 100
225,6277, 100
226,6277, 87
227,6277, 100
228,6277, 100
229,6277, 100
230,6277, 73
231,6277, 100
232,6277, 100
233,6277, 100
234,6277, 73
235,6277, 100
236,6277, 100
237,6277, 75
238,6277, 100
239,6277, 100
240,6277, 96
241,6277, 100
242,6277, 100
243,6277, 100
244,6277, 79
245,6277, 100
246,6277, 100
247,6277, 88
248,6277, 100
249,6277, 100
251,6277, 100
252,6277, 74
253,6277, 100
254,6277, 100
255,6277, 92
256,6277, 100
257,6277, 100
258,6277, 100
259,6277, 76
260,6277, 100
261,6277, 90
262,6277, 100
263,6277, 100
264,6277, 100
265,6277, 82
266,6277, 100
267,6277, 100
268,6277, 99
269,6277, 89
270,6277, 100
271,6277, 100
272,6277, 86
273,6277, 100
274,6277, 100
275,6277, 100
277,6277, 69
278,6277, 100
279,6277, 100
280,6277, 100
281,6277, 100
282,6277, 100
283,6277, 100
284,6277, 72
285,6277, 100
286,6277, 100
287,6277, 100
288,6277, 100
289,6277, 100
290,6277, 71
291,6277, 100
292,6277, 100
293,6277, 77
294,6277, 100
295,6277, 100
296,6277, 100
297,6277, 87
298,6277, 100
299,6277, 100
300,6277, 75
301,6277, 100
303,6277, 100
304,6277, 69
305,6277, 100
306,6277, 100
307,6277, 100
308,6277, 89
309,6277, 100
310,6277, 100
311,6277, 78
312,6277, 100
313,6277, 100
314,6277, 74
315,6277, 100
316,6277, 100
317,6277, 100
318,6277, 78
319,6277, 100
320,6277, 100
321,6277, 75
322,6277, 100
323,6277, 100
324,6277, 100
325,6277, 71
326,6277, 100
327,6277, 100
329,6277, 100
330,6277, 73
331,6277, 100
332,6277, 100
333,6277, 100
334,6277, 86
335,6277, 100
336,6277, 100
337,6277, 100
338,6277, 84
339,6277, 100
340,6277, 100
341,6277, 86
342,6277, 100
343,6277, 100
344,6277, 75
345,6277, 100
346,6277, 100
347,6277, 100
348,6277, 69
349,6277, 100
350,6277, 100
351,6277, 100
352,6277, 79
353,6277, 100
355,6277, 100
356,6277, 100
357,6277, 100
358,6277, 100
359,6277, 100
360,6277, 79
361,6277, 100
362,6277, 100
363,6277, 83
364,6277, 100
365,6277, 100
366,6277, 75
367,6277, 100
368,6277, 100
369,6277, 94
370,6277, 100
371,6277, 100
372,6277, 100
373,6277, 80
374,6277, 100
375,6277, 100
376,6277, 100
377,6277, 69
378,6277, 100
379,6277, 100
381,6277, 100
382,6277, 71
383,6277, 100
384,6277, 100
385,6277, 100
386,6277, 73
387,6277, 100
388,6277, 100
389,6277, 100
390,6277, 89
391,6277, 100
392,6277, 100
393,6277, 80
394,6277, 100
395,6277, 100
396,6277, 100
397,6277, 89
398,6277, 100
399,6277, 100
400,6277, 100
401,6277, 86
402,6277, 100
403,6277, 100
404,6277, 100
406,6277, 100
407,6277, 100
408,6277, 100
409,6277, 82
410,6277, 100
411,6277, 100
412,6277, 100
413,6277, 100
414,6277, 100
415,6277, 100
416,6277, 100
417,6277, 100
418,6277, 100
419,6277, 100
420,6277, 96
421,6277, 100
422,6277, 100
423,6277, 100
424,6277, 99
425,6277, 100
426,6277, 100
427,6277, 100
428,6277, 100
429,6277, 100
430,6277, 100
431,6277, 100
433,6277, 67
434,6277, 100
435,6277, 100
436,6277, 100
437,6277, 75
438,6277, 100
439,6277, 100
440,6277, 100
441,6277, 100
442,6277, 100
443,6277, 72
444,6277, 100
445,6277, 100
446,6277, 100
447,6277, 74
448,6277, 100
449,6277, 100
450,6277, 100
451,6277, 95
452,6277, 100
453,6277, 100
454,6277, 71
455,6277, 100
456,6277, 100
457,6277, 100
459,6277, 79
460,6277, 100
461,6277, 100
462,6277, 100
463,6277, 63
464,6277, 100
465,6277, 100
466,6277, 100
467,6277, 73
468,6277, 100
469,6277, 100
470,6277, 70
471,6277, 100
472,6277, 100
473,6277, 100
474,6277, 72
475,6277, 100
476,6277, 100
477,6277, 100
478,6277, 100
479,6277, 100
480,6277, 100
481,6277, 75
482,6277, 100
483,6277, 100
485,6277, 100
486,6277, 85
487,6277, 100
488,6277, 100
489,6277, 87
490,6277, 100
491,6277, 100
492,6277, 100
493,6277, 90
494,6277, 100
495,6277, 100
496,6277, 90
497,6277, 100
498,6277, 100
499,6277, 86
500,6277, 100
501,6277, 100
502,6277, 100
503,6277, 72
504,6277, 100
505,6277, 100
506,6277, 100
507,6277, 72
508,6277, 100
509,6277, 100
511,6277, 100
512,6277, 94
513,6277, 100
514,6277, 100
515,6277, 71
516,6277, 100
517,6277, 100
518,6277, 100
519,6277, 78
520,6277, 100
521,6277, 86
522,6277, 100
523,6277, 100
524,6277, 100
525,6277, 75
526,6277, 100
527,6277, 100
528,6277, 100
529,6277, 82
530,6277, 100
531,6277, 100
532,6277, 100
533,6277, 87
534,6277, 100
535,6277, 100
537,6277, 96
538,6277, 100
539,6277, 100
540,6277, 100
541,6277, 100
542,6277, 100
543,6277, 100
544,6277, 100
545,6277, 100
546,6277, 85
547,6277, 100
548,6277, 100
549,6277, 74
550,6277, 100
551,6277, 100
552,6277, 100
553,6277, 75
554,6277, 100
555,6277, 100
556,6277, 100
557,6277, 77
558,6277, 100
559,6277, 100
560,6277, 100
562,6277, 70
563,6277, 100
564,6277, 100
565,6277, 100
566,6277, 85
567,6277, 100
568,6277, 100
569,6277, 100
570,6277, 81
571,6277, 83
572,6277, 100
573,6277, 100
574,6277, 73
575,6277, 100
576,6277, 100
577,6277, 100
578,6277, 100
579,6277, 87
580,6277, 100
581,6277, 100
582,6277, 100
583,6277, 76
584,6277, 100
585,6277, 100
586,6277, 100
587,6277, 71
589,6277, 100
590,6277, 100
591,6277, 100
592,6277, 75
593,6277, 100
594,6277, 100
595,6277, 100
596,6277, 76
597,6277, 100
598,6277, 100
599,6277, 100
600,6277, 95
601,6277, 100
602,6277, 100
603,6277, 100
604,6277, 73
605,6277, 100
606,6277, 100
607,6277, 100
608,6277, 75
609,6277, 100
610,6277, 100
611,6277, 70
612,6277, 100
613,6277, 100
615,6277, 100
616,6277, 74
617,6277, 100
618,6277, 100
619,6277, 100
620,6277, 100
621,6277, 67
622,6277, 100
623,6277, 100
624,6277, 100
625,6277, 90
626,6277, 100
627,6277, 100
628,6277, 100
629,6277, 100
630,6277, 72
631,6277, 100
632,6277, 100
633,6277, 100
634,6277, 100
635,6277, 100
636,6277, 100
637,6277, 100
638,6277, 100
639,6277, 100
641,6277, 97
642,6277, 93
643,6277, 100
644,6277, 100
645,6277, 100
646,6277, 76
647,6277, 100
648,6277, 100
649,6277, 100
650,6277, 100
651,6277, 77
652,6277, 100
653,6277, 100
654,6277, 100
655,6277, 76
656,6277, 97
657,6277, 100
658,6277, 100
659,6277, 100
660,6277, 71
661,6277, 100
662,6277, 100
663,6277, 100
664,6277, 100
665,6277, 84
666,6277, 81
668,6277, 100
669,6277, 100
670,6277, 100
671,6277, 73
672,6277, 100
673,6277, 100
674,6277, 100
675,6277, 100
676,6277, 79
677,6277, 100
678,6277, 100
679,6277, 100
680,6277, 100
681,6277, 100
682,6277, 100
683,6277, 74
684,6277, 100
685,6277, 100
686,6277, 91
687,6277, 70
688,6277, 100
689,6277, 100
690,6277, 100
691,6277, 100
692,6277, 79
694,6277, 100
695,6277, 100
696,6277, 100
697,6277, 100
698,6277, 64
699,6277, 100
700,6277, 100
701,6277, 100
702,6277, 100
703,6277, 100
704,6277, 100
705,6277, 70
706,6277, 100
707,6277, 100
708,6277, 100
709,6277, 100
710,6277, 100
711,6277, 100
712,6277, 85
713,6277, 100
714,6277, 100
715,6277, 100
716,6277, 82
717,6277, 100
718,6277, 100
720,6277, 100
721,6277, 100
722,6277, 82
723,6277, 96
724,6277, 100
725,6277, 100
726,6277, 100
727,6277, 87
728,6277, 95
729,6277, 100
730,6277, 100
731,6277, 100
732,6277, 78
733,6277, 78
734,6277, 100
735,6277, 100
736,6277, 100
737,6277, 100
738,6277, 77
739,6277, 100
740,6277, 100
741,6277, 100
742,6277, 93
743,6277, 100
744,6277, 100
745,6277, 100
747,6277, 100
748,6277, 75
749,6277, 100
750,6277, 100
751,6277, 100
752,6277, 100
753,6277, 100
754,6277, 100
755,6277, 79
756,6277, 100
757,6277, 100
758,6277, 100
759,6277, 89
760,6277, 100
761,6277, 100
762,6277, 90
763,6277, 100
764,6277, 100
765,6277, 100
766,6277, 100
767,6277, 100
768,6277, 100
769,6277, 100
770,6277, 100
771,6277, 73
773,6277, 100
774,6277, 100
775,6277, 100
776,6277, 79
777,6277, 100
778,6277, 100
779,6277, 89
780,6277, 100
781,6277, 100
782,6277, 100
783,6277, 100
784,6277, 100
