t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,16,9,21.4,18050
2.6,16,0,11.7,18138
3.6,16,0,22.5,18372
4.6,296,42,22.5,19008
5.7,299,0,17.2,19255
6.7,2912,96,25.4,19571
7.7,2912,0,43.6,19816
8.8,2912,0,33.2,19845
9.8,7656,0,30.4,19979
10.8,7656,100,13.7,19958
11.9,5492,100,9.4,20114
12.9,5705,2,15.4,20302
13.9,5765,100,16.2,20343
15.0,5765,93,29.0,20420
16.0,5765,88,18.8,20418
17.0,5765,100,24.6,20421
18.1,5765,100,22.7,20428
19.1,5765,79,22.8,20432
20.1,5765,100,25.4,20412
21.2,5765,100,19.4,20387
22.2,5765,100,27.2,20375
23.2,5765,73,31.5,20382
24.3,5765,100,38.2,20391
25.3,5765,100,25.0,20212
26.4,5765,100,21.9,20180
27.4,5765,99,32.8,20174
28.4,5765,100,30.8,20194
29.5,5765,100,24.9,20193
30.5,5765,100,24.5,20182
31.5,5765,100,22.9,20207
32.6,5765,78,21.9,20191
33.6,5765,100,30.3,20131
34.6,5765,100,18.1,20130
35.7,5765,100,24.3,20203
36.7,5765,70,21.7,20205
37.7,5765,100,22.2,20174
38.8,5765,100,20.7,20180
39.8,5765,100,19.0,20179
40.8,5765,100,22.8,20173
41.9,5765,100,31.9,20214
42.9,5765,100,33.4,20226
43.9,5765,65,25.8,20234
45.0,5829,100,36.1,20523
46.0,5829,100,37.1,20369
47.0,5829,86,24.2,20353
48.1,5829,100,29.6,20391
49.1,5829,100,26.1,20381
50.1,5829,99,22.4,20365
51.2,5829,100,21.4,20350
52.2,5829,100,17.0,20354
53.2,5829,100,39.6,20339
54.3,5829,72,34.4,20310
55.3,5829,100,27.9,20313
56.3,5829,100,21.9,20291
57.4,5829,90,37.8,20051
58.4,5829,100,38.8,20034
59.5,5829,100,35.5,20015
60.5,5829,100,46.1,20122
61.5,5829,100,38.4,20152
62.6,5829,100,27.9,20080
63.6,5829,100,20.1,20077
64.6,5829,100,26.3,20032
65.7,5829,100,25.5,20019
66.7,5829,100,24.1,20040
67.7,5829,100,25.9,20051
68.8,5829,95,26.0,20043
69.8,5829,100,26.8,20067
70.8,5829,100,23.6,20071
71.9,5829,83,26.6,20125
72.9,5829,100,25.6,20111
73.9,5829,100,26.3,20102
75.0,5829,67,22.7,20066
76.0,5829,100,30.6,20092
77.0,5829,100,30.3,20078
78.1,5829,68,22.9,20083
79.1,5829,100,19.9,20100
80.1,5829,100,27.1,20089
81.2,5829,100,25.0,20097
82.2,5829,100,26.4,20099
83.2,5829,100,19.3,20106
84.3,5829,100,25.0,20107
85.3,5829,68,24.9,20125
86.3,5829,100,24.4,20122
87.4,5829,100,19.2,20144
88.4,5829,67,26.3,20134
89.4,5829,100,23.4,20127
90.5,5829,100,23.3,20113
91.5,5829,100,19.5,20085
92.5,5829,100,27.6,20099
93.6,5829,79,26.3,20097
94.6,5829,100,24.2,20108
95.6,5829,100,18.7,20116
96.7,5829,100,25.0,20129
97.7,5829,100,25.2,20132
98.7,5829,100,24.5,20141
99.8,5829,100,20.9,20142
100.8,5829,100,25.8,20124
101.8,5829,100,23.8,20132
102.9,5829,100,20.9,20121
103.9,5829,94,25.0,20157
104.9,5829,100,25.0,20165
106.0,5829,100,27.4,20153
107.0,5829,70,19.5,20155
108.0,5829,100,26.1,20182
109.1,5829,100,27.0,20229
110.1,5829,66,21.6,20225
111.1,5829,100,17.9,20237
112.2,5829,100,17.9,20214
113.2,5829,100,20.0,20220
114.2,5829,89,20.8,20212
115.3,5829,100,22.0,20007
116.3,5829,100,16.5,19993
117.3,5829,79,19.7,19996
118.4,5829,100,20.4,19987
119.4,5829,100,20.1,19979
120.4,5829,100,14.3,19992
121.5,5829,89,20.9,19990
122.5,5829,100,19.0,19974
123.5,5829,72,20.6,19980
124.6,5829,100,15.0,19950
125.6,5829,100,20.4,19918
126.6,5829,69,21.4,19899
127.7,5829,100,19.8,19901
128.7,5829,100,16.1,19897
129.7,5829,100,18.9,19880
130.7,5829,89,20.2,19906
131.8,5829,100,18.7,19894
132.8,5829,100,19.8,19891
133.9,5829,89,17.7,19891
134.9,5829,100,21.4,19900
135.9,5829,100,18.6,19891
136.9,5829,100,19.1,19870
138.0,5829,100,15.9,19879
139.0,5829,100,22.1,19924
140.0,5829,100,19.8,19921
141.1,5829,76,19.9,19937
142.1,5829,100,16.1,19936
143.1,5829,100,22.0,19942
144.2,5829,71,20.1,19948
145.2,5829,100,20.5,19959
146.2,5829,100,16.1,19974
147.3,5829,100,21.2,19951
148.3,5829,100,21.9,19961
149.3,5829,100,19.8,19959
150.4,5829,92,24.6,19989
151.4,5829,100,42.1,20011
152.4,5829,100,30.1,20016
153.5,5829,75,24.4,20010
154.5,5829,100,29.1,19987
155.5,5829,85,24.3,20018
156.6,5829,100,25.2,20029
157.6,5829,100,17.2,20008
