t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,102,79,0.0,8129
1.0,4806,7,0.0,8400
2.1,8374,86,0.0,8805
3.1,11708,59,0.0,8857
4.1,11440,71,0.0,8892
5.1,11296,94,0.0,8900
6.2,11296,68,0.0,8941
7.2,11296,83,0.0,8947
8.2,11296,78,0.0,8940
9.2,11602,69,0.0,8945
10.2,11692,94,0.0,8937
11.3,11692,94,0.0,8917
12.3,11724,57,0.0,8901
13.3,11742,89,0.0,8872
14.3,11670,62,0.0,8861
15.3,11094,32,0.0,8847
16.4,11508,92,0.0,8854
17.4,11176,81,0.0,8824
18.4,11158,62,0.0,8830
19.4,11392,56,0.0,8854
20.5,11176,75,0.0,8823
21.5,10780,23,0.0,8833
22.5,11284,43,0.0,8835
23.5,11284,83,0.0,8791
24.5,11284,63,0.0,8798
25.6,11284,90,0.0,8788
26.6,11230,62,0.0,8767
27.6,10834,69,0.0,8782
28.6,11662,42,0.0,8815
29.7,11140,47,0.0,8813
30.7,11608,92,0.0,8775
31.7,11608,79,0.0,8806
32.7,11500,67,0.0,8764
33.8,11068,93,0.0,8766
34.8,11644,91,0.0,8767
35.8,11500,41,0.0,8769
36.8,11644,94,0.0,8756
37.8,11644,94,0.0,8767
38.9,11104,65,0.0,8759
39.9,11338,57,0.0,8745
40.9,11500,56,0.0,8754
41.9,11140,92,0.0,8774
43.0,11212,28,0.0,8775
44.0,11644,70,0.0,8773
45.0,11644,29,0.0,8778
46.0,11500,48,0.0,8803
47.0,11068,26,0.0,8816
48.1,11644,61,0.0,8807
49.1,11644,23,0.0,8814
50.1,11644,64,0.0,8816
51.1,11644,84,0.0,8803
52.2,11644,69,0.0,8796
53.2,11644,92,0.0,8803
54.2,11140,75,0.0,8797
55.2,11536,80,0.0,8802
56.2,10996,92,0.0,8800
57.3,11410,74,0.0,8812
58.3,11374,26,0.0,8788
59.3,10824,100,0.0,8779
60.3,11670,97,0.0,8770
61.3,11486,92,0.0,8774
62.4,11138,99,0.0,8861
63.4,11828,99,0.0,8841
64.4,11796,95,0.0,8813
65.5,11734,99,0.0,8893
66.5,11806,92,0.0,8883
67.5,11806,98,0.0,8863
68.5,11734,98,0.0,8875
69.6,11780,96,0.0,8838
70.6,11806,98,0.0,8834
71.6,11686,98,0.0,8851
72.6,11756,94,0.0,8844
73.7,11762,96,0.0,8850
74.7,11846,97,0.0,8852
75.7,11756,97,0.0,8860
76.7,11416,97,0.0,8877
77.8,11818,97,0.0,8882
78.8,11458,100,0.0,8841
79.8,11682,92,0.0,8851
80.9,4864,0,0.0,8857
81.9,11664,94,0.0,8848
82.9,11778,93,0.0,8815
83.9,11748,9,0.0,8862
84.9,11786,97,0.0,8824
86.0,11752,97,0.0,8807
87.0,11800,7,0.0,8840
88.0,11700,96,0.0,8825
89.0,11654,98,0.0,8820
90.1,11872,8,0.0,8819
91.1,11640,97,0.0,8799
92.1,11656,99,0.0,8804
93.2,11816,39,0.0,8865
94.2,11720,97,0.0,8824
95.2,11584,97,0.0,8791
96.2,11728,98,0.0,8836
97.3,11642,95,0.0,8787
98.3,11846,94,0.0,8819
99.3,11200,98,0.0,8864
100.4,11792,96,0.0,8878
101.4,11818,96,0.0,8866
102.4,11752,96,0.0,8854
103.4,11792,96,0.0,8865
104.4,11818,98,0.0,8865
105.5,11658,96,0.0,8888
106.5,11764,99,0.0,8876
107.5,11774,99,0.0,8845
108.5,11838,98,0.0,8851
109.6,11718,98,0.0,8838
110.6,11720,95,0.0,8818
111.6,11794,97,0.0,8890
112.6,11588,97,0.0,8874
113.7,11680,97,0.0,8846
114.7,11726,97,0.0,8831
115.7,11802,97,0.0,8802
116.7,11856,97,0.0,8807
117.8,10834,65,0.0,8907
118.8,10834,96,0.0,8914
119.8,10834,14,0.0,8962
120.9,10834,98,0.0,8963
121.9,10834,76,0.0,8952
122.9,10834,20,0.0,8939
123.9,10834,97,0.0,8924
124.9,10834,95,0.0,8924
126.0,10834,11,0.0,8921
127.0,10834,11,0.0,8963
128.0,10834,83,0.0,8948
129.0,10834,98,0.0,8935
130.1,10834,17,0.0,8933
131.1,10834,32,0.0,8916
132.1,10834,92,0.0,8990
133.1,10834,93,0.0,9025
134.1,10834,14,0.0,8975
135.2,10834,92,0.0,8960
136.2,10834,84,0.0,8935
137.2,11374,56,0.0,8981
138.2,11374,55,0.0,8982
139.2,11374,36,0.0,8983
140.3,11374,87,0.0,8934
141.3,11374,90,0.0,8987
142.3,11374,59,0.0,8958
143.3,11374,32,0.0,8976
144.3,11374,96,0.0,8948
145.4,11374,40,0.0,8945
146.4,11374,53,0.0,8961
147.4,11374,30,0.0,8978
148.4,11374,97,0.0,9017
149.4,11374,32,0.0,9095
150.5,11374,67,0.0,9080
151.5,11374,13,0.0,9058
152.5,11374,71,0.0,9090
153.5,11374,71,0.0,9135
154.5,11373,0,0.0,8236
