t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,27.6,8807
1.0,15,0,7.2,8940
2.1,15,0,7.0,9065
3.1,15,0,6.8,9226
4.1,15,0,10.5,9291
5.2,15,0,7.5,9337
6.2,15,0,5.0,9347
7.2,15,0,4.5,9352
8.3,15,0,4.4,9347
9.3,15,0,4.7,9347
10.3,15,0,4.9,9350
11.4,15,0,5.5,9371
12.4,15,0,5.3,9378
13.4,15,0,5.1,9367
14.5,15,0,5.7,9369
15.5,15,0,5.0,9362
16.6,15,0,5.7,9381
17.6,15,0,5.8,9398
18.6,15,0,5.3,9388
19.7,15,0,5.5,9384
20.7,15,0,5.3,9395
21.7,15,0,5.5,9401
22.8,15,0,4.4,9377
23.8,15,0,5.5,9383
24.8,15,0,5.2,9373
25.9,15,0,5.8,9368
26.9,15,0,5.3,9372
27.9,15,0,5.5,9382
29.0,15,0,5.9,9399
30.0,15,0,9.7,9389
31.0,15,0,6.3,9388
32.1,15,0,6.3,9405
33.1,15,0,5.8,9398
34.1,15,0,5.9,9396
35.2,15,0,5.3,9409
36.2,15,0,6.9,9421
37.2,15,0,5.2,9430
38.3,15,0,6.4,9444
39.3,15,0,6.4,9449
40.3,15,0,6.0,9448
41.4,15,0,6.4,9440
42.4,15,0,5.1,9465
43.5,15,0,5.2,9470
44.5,15,0,5.0,9477
45.5,15,0,4.8,9471
46.6,15,0,5.3,9468
47.6,15,0,4.2,9466
48.6,15,0,4.6,9456
49.7,15,0,4.0,9451
50.7,15,0,4.6,9466
51.7,15,0,4.7,9450
52.8,15,0,4.2,9453
53.8,15,0,4.1,9444
54.8,15,0,4.4,9445
55.9,15,0,4.4,9434
56.9,15,0,4.7,9447
57.9,15,0,5.7,9445
59.0,15,0,4.6,9441
60.0,15,0,5.7,9450
61.0,15,0,6.7,9462
62.1,15,0,5.9,9473
63.1,15,0,7.0,9481
64.1,15,0,5.9,9476
65.2,15,0,9.1,9505
66.2,15,0,7.3,9504
67.2,15,0,6.9,9519
68.2,15,0,6.4,9535
69.3,15,0,7.6,9556
70.3,15,0,7.3,9525
71.3,15,0,7.0,9539
72.4,15,0,8.0,9557
73.4,15,0,7.3,9548
74.4,15,0,7.4,9548
75.5,15,0,6.6,9567
76.5,15,0,7.8,9582
77.5,15,0,6.3,9577
78.6,15,0,7.1,9583
79.6,15,0,6.9,9572
80.6,15,0,7.6,9587
81.6,15,0,6.7,9601
82.7,15,0,5.7,9599
83.7,15,0,8.2,9598
84.7,15,0,7.3,9561
85.8,15,0,8.7,9579
86.8,15,0,7.4,9604
87.8,15,0,8.6,9606
88.8,15,0,8.5,9604
89.9,15,0,12.3,9613
90.9,15,0,9.8,9615
91.9,15,0,10.1,9614
93.0,15,0,6.2,9602
94.0,15,0,7.4,9617
95.0,15,0,9.2,9632
96.1,15,0,8.3,9617
97.1,15,0,7.4,9629
98.1,15,0,8.1,9625
99.2,15,0,6.0,9613
100.2,15,0,5.7,9621
101.2,15,0,4.8,9611
102.2,15,0,5.2,9619
103.3,15,0,5.3,9618
104.3,15,0,5.1,9620
105.3,15,0,5.0,9642
106.4,15,0,4.4,9645
107.4,15,0,4.7,9645
108.4,15,0,4.3,9655
109.5,15,0,4.7,9655
110.5,15,0,4.0,9652
111.5,15,0,4.2,9637
112.5,15,0,4.0,9625
113.6,15,0,5.1,9648
114.6,15,0,3.9,9673
115.6,15,0,9.3,10020
116.7,15,0,11.5,10016
117.7,15,0,11.7,10038
118.7,15,0,12.4,10040
119.8,15,0,13.0,10024
120.8,15,0,12.7,10027
121.8,15,0,13.2,10028
122.9,15,0,12.9,10023
123.9,15,0,12.5,10012
124.9,15,0,9.5,9765
125.9,15,0,7.1,9775
127.0,15,0,5.2,9786
128.0,15,0,7.1,9761
129.0,15,0,7.3,9743
130.1,15,0,5.9,9729
131.1,15,0,5.4,9738
132.1,15,0,7.0,9737
133.2,15,0,6.5,9743
134.2,15,0,4.6,9745
135.2,15,0,5.9,9724
136.3,15,0,6.3,9722
137.3,15,0,6.3,9736
138.3,15,0,7.0,9743
139.3,15,0,6.3,9751
140.4,15,0,6.6,9758
141.4,15,0,7.2,9777
142.4,15,0,6.6,9782
143.5,15,0,5.1,9786
144.5,15,0,6.4,9770
145.5,15,0,6.7,9757
146.6,15,0,5.7,9730
147.6,15,0,6.4,9742
148.6,15,0,7.9,9730
149.6,15,0,8.2,9750
150.7,15,0,6.8,9755
151.7,15,0,6.8,9775
152.7,15,0,4.7,9788
153.8,15,0,4.5,9788
154.8,15,0,4.6,9779
155.8,15,0,4.4,9761
156.9,15,0,4.0,9779
157.9,15,0,3.6,9781
158.9,15,0,3.6,9774
160.0,15,0,4.5,9769
161.0,15,0,3.8,9761
162.0,15,0,4.4,9748
163.0,15,0,5.7,9751
164.1,15,0,5.5,9747
165.1,15,0,7.0,9756
166.1,15,0,6.2,9770
167.2,15,0,7.6,9769
168.2,15,0,6.2,9748
169.2,15,0,7.4,9763
170.3,15,0,7.0,9767
171.3,15,0,9.4,9787
172.3,15,0,9.6,9790
173.3,15,0,7.5,9788
174.4,15,0,7.4,9790
175.4,15,0,10.2,9811
176.4,15,0,8.5,9822
177.5,15,0,3.8,9823
178.5,15,0,10.3,9836
179.5,15,0,9.9,9827
180.6,15,0,11.2,9838
181.6,15,0,10.9,9837
182.6,15,0,10.6,9822
183.6,15,0,11.3,9820
184.7,15,0,8.2,9840
185.7,15,0,7.3,9863
186.7,15,0,8.9,9866
187.8,15,0,11.1,9869
188.8,15,0,9.0,9860
189.8,15,0,11.3,9868
190.9,15,0,9.7,9885
191.9,15,0,8.3,9868
192.9,15,0,10.6,9859
193.9,15,0,7.4,9850
195.0,15,0,9.8,9876
196.0,15,0,10.0,9865
197.0,15,0,10.8,9873
198.1,15,0,8.4,9884
199.1,15,0,10.9,9892
200.1,15,0,8.3,9877
201.2,15,0,9.2,9868
202.2,15,0,10.1,9882
203.2,15,0,9.1,9890
204.3,15,0,8.0,9899
205.3,15,0,9.8,9890
206.3,15,0,11.0,9905
207.3,15,0,11.1,9888
208.4,15,0,10.8,9889
209.4,15,0,13.6,9902
210.4,15,0,9.8,9896
211.5,15,0,10.8,9890
212.5,15,0,11.2,9905
213.5,15,0,9.8,9915
214.6,15,0,11.4,9898
215.6,15,0,11.1,9908
216.6,15,0,11.0,9924
217.6,15,0,10.6,9909
218.7,15,0,10.1,9898
219.7,15,0,8.4,9906
220.7,15,0,4.5,9887
221.8,15,0,4.7,9900
222.8,15,0,5.6,9923
223.8,15,0,5.1,9908
224.9,15,0,5.8,9915
225.9,15,0,4.7,9937
226.9,15,0,5.3,9946
227.9,15,0,5.6,9935
229.0,15,0,4.8,9930
230.0,15,0,4.6,9925
231.0,15,0,5.0,9910
232.1,15,0,5.8,9912
233.1,15,0,6.5,9908
234.1,15,0,4.6,9908
235.2,15,0,5.0,9925
236.2,15,0,4.3,9916
237.2,15,0,4.3,9922
238.3,15,0,4.7,9906
239.3,15,0,4.1,9899
240.3,15,0,4.2,9899
241.3,15,0,5.4,9914
242.4,15,0,4.4,9917
243.4,15,0,5.0,9915
244.4,15,0,5.0,9938
245.5,15,0,4.8,9967
246.5,15,0,4.8,9990
247.5,15,0,4.8,9974
248.6,15,0,4.2,9976
249.6,15,0,4.7,9984
250.6,15,0,4.3,9989
251.6,15,0,4.3,9981
252.7,15,0,4.6,9968
253.7,15,0,4.8,9970
254.7,15,0,4.1,9979
