t_s,mem_used_mib,gpu_util_pct
0,17, 0
1,17, 0
2,17, 0
4,4610, 0
5,4670, 1
6,4672, 31
7,4672, 27
8,4672, 30
9,4672, 27
10,5534, 27
11,6594, 93
12,6596, 90
13,6596, 25
14,6596, 29
15,6896, 79
16,7236, 23
17,7236, 27
18,7236, 25
19,7236, 23
20,7236, 22
21,7456, 25
22,7456, 23
23,7456, 26
24,7456, 62
25,7516, 86
26,7516, 86
27,7516, 55
28,7516, 60
29,7516, 55
30,7516, 49
32,7516, 22
33,7516, 50
34,7516, 87
35,7516, 63
36,7516, 85
37,7516, 84
38,7516, 58
39,7516, 90
40,7516, 60
41,7516, 90
42,7516, 83
43,7516, 53
44,7516, 66
45,7516, 66
46,7516, 56
47,7516, 90
48,7516, 84
49,7516, 26
50,7516, 25
51,7516, 25
52,7516, 76
53,7516, 61
54,7516, 90
55,7516, 89
56,7516, 88
58,7516, 82
59,7516, 83
60,7516, 88
61,7516, 48
62,7516, 55
63,7516, 83
64,7516, 57
65,7516, 84
66,7516, 89
67,7516, 60
68,7516, 73
69,7516, 89
70,7516, 87
71,7516, 43
72,7516, 73
73,7516, 53
74,7516, 70
75,7516, 89
76,7516, 67
77,7516, 62
78,7516, 25
79,7516, 23
80,7516, 25
81,7516, 25
82,7516, 25
83,7516, 25
85,7516, 25
86,7516, 28
87,7516, 25
88,7516, 25
89,7516, 27
90,7516, 27
91,7516, 22
92,7516, 26
93,7516, 25
94,7516, 42
95,7516, 25
96,7516, 27
97,7516, 27
98,7516, 26
99,7516, 27
100,7516, 27
101,7516, 25
102,7516, 26
103,7516, 24
104,7516, 22
105,7516, 27
106,7516, 26
107,7516, 91
108,7516, 73
109,7516, 70
110,7516, 29
112,7516, 75
113,7516, 87
114,7516, 79
115,7516, 39
116,7516, 79
117,7516, 24
118,7516, 24
119,7516, 25
120,7516, 77
121,7516, 25
122,7516, 27
123,7516, 25
124,7516, 26
125,7516, 27
126,7516, 28
127,7516, 27
128,7516, 27
129,7516, 26
130,7516, 25
131,7516, 25
132,7516, 26
133,7516, 23
134,7516, 20
135,7516, 24
136,7516, 25
137,7516, 39
138,7516, 30
140,7516, 92
141,7516, 46
142,7516, 39
143,7516, 47
144,7516, 50
145,7516, 89
146,7516, 58
147,7516, 82
148,7516, 88
149,7516, 76
150,7516, 19
151,7516, 21
152,7516, 20
153,7516, 25
154,7516, 27
155,7516, 60
156,7516, 25
157,7516, 20
158,7516, 22
159,7516, 50
160,7516, 23
161,7516, 21
162,7516, 20
163,7516, 20
164,7516, 26
165,7516, 22
167,7516, 22
168,7516, 23
169,7516, 22
170,7516, 20
171,7516, 22
172,7516, 23
173,7516, 23
174,7516, 23
175,7516, 25
176,7516, 21
177,7516, 25
178,7516, 65
179,7516, 54
180,7516, 88
181,7516, 82
182,7516, 80
183,7516, 66
184,7516, 88
185,7516, 81
186,7516, 33
187,7516, 53
188,7516, 58
189,7516, 23
190,7516, 21
191,7516, 27
193,7516, 23
194,7516, 24
195,7516, 32
196,7516, 25
197,7516, 23
198,7516, 27
199,7516, 27
200,7516, 27
201,7516, 27
202,7516, 27
203,7516, 56
204,7516, 25
205,7516, 25
206,7516, 27
207,7516, 23
208,7516, 27
209,7516, 25
210,7516, 80
211,7516, 23
212,7516, 25
213,7516, 59
214,7516, 87
215,7516, 68
216,7516, 53
217,7516, 45
218,7516, 77
219,7516, 48
221,7516, 49
222,7516, 89
223,7516, 20
224,7516, 25
225,7516, 26
226,7516, 27
227,7516, 26
228,4646, 30
229,6132, 55
230,6132, 45
231,6132, 44
232,6132, 38
233,6132, 19
234,6132, 0
235,6132, 0
236,6132, 3
237,6132, 60
238,6132, 69
239,6132, 94
240,6132, 92
241,6132, 94
242,6132, 95
243,6132, 94
244,6132, 93
245,6132, 53
246,6132, 0
248,6132, 0
249,6132, 0
250,6132, 44
251,6132, 83
252,6132, 92
253,6132, 86
254,6132, 31
255,6132, 11
256,6132, 0
257,6132, 0
258,6132, 32
259,6132, 92
260,6132, 85
261,6132, 91
262,6132, 92
263,6132, 94
264,6132, 61
265,6132, 43
266,6132, 18
267,6132, 0
268,6132, 0
269,6132, 0
270,6132, 0
271,6132, 13
272,6132, 38
273,6132, 80
275,6132, 92
276,6132, 94
277,6132, 96
278,6132, 94
279,6132, 93
280,6132, 91
281,6132, 0
282,6132, 0
283,6132, 2
284,6132, 78
285,6132, 93
286,6132, 95
287,6132, 96
288,6132, 95
289,6132, 70
290,6132, 22
291,6132, 0
292,6132, 0
293,6132, 7
294,6132, 51
295,6132, 85
296,6132, 94
297,6132, 92
298,6132, 89
299,6132, 31
301,6132, 0
302,6132, 36
303,6132, 95
304,6132, 94
305,6132, 94
306,6132, 95
307,6132, 67
308,6132, 25
309,6132, 0
310,6132, 0
311,6132, 36
312,6132, 94
313,6132, 93
314,6132, 94
315,6132, 77
316,6132, 39
317,6132, 0
318,6132, 0
319,6132, 0
320,6132, 30
321,6132, 66
322,6132, 94
323,6132, 93
324,6132, 96
325,6132, 86
326,6132, 0
328,6132, 0
329,6132, 0
330,6132, 9
331,6132, 43
332,6132, 92
333,6132, 96
334,6132, 94
335,6132, 94
336,6132, 95
337,6132, 66
338,6132, 28
339,6132, 0
340,6132, 0
341,6132, 0
342,6132, 27
343,6132, 63
344,6132, 94
345,6132, 96
346,6132, 91
347,6132, 43
348,6132, 8
349,6132, 0
350,6132, 0
351,6132, 0
352,6132, 23
353,6132, 88
354,6132, 94
355,6132, 43
357,6132, 0
358,6132, 0
359,6132, 0
360,6132, 69
361,6132, 94
362,6132, 94
363,6132, 93
364,6132, 91
365,6132, 28
366,6132, 0
367,6132, 0
368,6132, 0
369,6132, 51
370,6132, 91
371,6132, 91
372,6132, 0
373,6132, 94
374,6132, 93
375,6132, 95
376,6132, 45
377,6132, 0
378,6132, 0
379,6132, 40
380,6132, 93
381,6132, 94
383,6132, 94
384,6132, 50
385,6132, 0
386,6132, 0
387,6132, 19
388,6132, 95
389,6132, 93
390,6132, 89
391,6132, 20
392,6132, 0
393,6132, 0
394,6132, 55
395,6132, 93
396,6132, 93
397,6132, 72
398,6132, 4
399,6132, 91
400,6132, 5
401,6132, 0
402,6132, 93
403,6132, 20
404,6132, 0
405,6132, 91
406,6132, 40
408,6132, 0
409,6132, 43
410,6132, 94
411,6132, 0
412,6132, 0
413,6132, 94
414,6132, 14
415,6132, 0
416,6132, 93
417,6132, 30
418,6132, 0
419,6132, 90
420,6132, 0
421,6132, 0
422,6132, 93
423,6132, 94
424,6132, 43
425,6132, 0
426,6132, 0
427,6132, 18
428,6132, 93
429,6132, 93
430,6132, 81
431,6132, 3
433,6132, 0
434,6132, 63
435,6132, 87
436,6132, 0
437,6132, 46
438,6132, 88
439,6132, 0
440,6132, 25
441,6132, 93
442,6132, 94
443,6132, 71
444,6132, 0
445,6132, 73
446,6132, 0
447,6132, 82
448,6132, 60
449,6132, 0
450,6132, 69
451,6132, 0
452,6132, 88
453,6132, 0
454,6132, 89
455,6132, 0
456,17, 0
