t_s,mem_used_mib,gpu_util_pct
0,15, 9
2,15, 0
3,15, 0
4,208, 14
5,210, 0
6,2823, 59
7,2823, 23
8,2823, 0
9,2823, 56
10,7631, 100
11,5467, 91
13,5713, 96
14,5713, 0
15,6157, 98
16,6157, 29
17,6157, 99
18,6157, 100
19,6157, 100
20,6157, 58
21,6157, 100
22,6157, 100
23,6157, 65
24,6157, 100
25,6157, 100
26,6157, 56
27,6157, 100
28,6157, 52
29,6157, 100
30,6157, 100
31,6157, 63
32,6157, 100
33,6157, 100
34,6157, 100
35,6157, 100
36,6157, 100
37,6157, 78
39,6157, 100
40,6157, 24
41,6157, 100
42,6157, 61
43,6157, 100
44,6157, 21
45,6157, 100
46,6157, 22
47,6157, 58
48,6157, 100
49,6157, 65
50,6157, 100
51,6157, 100
52,6157, 100
53,6157, 100
55,6157, 59
56,6157, 100
57,6157, 21
58,6157, 100
59,6157, 100
60,6157, 100
61,6157, 100
62,6157, 100
63,6157, 100
64,6157, 100
65,6157, 50
66,6157, 100
67,6157, 100
68,6157, 100
69,6157, 100
70,6157, 100
72,6157, 100
73,6157, 42
74,6157, 100
75,6157, 85
76,6159, 100
77,6159, 100
78,6159, 94
79,6159, 100
80,6159, 62
81,6159, 24
82,6159, 100
83,6159, 68
84,6159, 100
85,6159, 24
86,6159, 100
87,6159, 23
88,6159, 100
90,6159, 27
91,6159, 100
92,6159, 82
93,6159, 100
94,6159, 100
95,6159, 100
96,6159, 87
97,6159, 100
98,6159, 100
99,6159, 59
100,6159, 100
101,6159, 100
102,6159, 100
103,6159, 27
104,6159, 100
105,6159, 100
106,6159, 45
107,6159, 100
108,6159, 100
109,6159, 100
110,6159, 100
111,6159, 73
113,6159, 100
114,6159, 100
115,6159, 57
116,6159, 100
117,6159, 29
118,6159, 100
119,6159, 100
120,6159, 42
121,6159, 100
122,6159, 100
123,6159, 49
124,6159, 100
125,6159, 100
126,6159, 100
127,6159, 100
128,6159, 60
129,6159, 100
130,6159, 100
131,6159, 40
132,6159, 100
133,6159, 100
134,6159, 100
135,6159, 100
136,6159, 32
138,6159, 100
139,6159, 100
140,6159, 47
141,6159, 100
142,6159, 100
143,6159, 97
144,6159, 100
145,6159, 100
146,6159, 97
147,6159, 100
148,6159, 37
149,6159, 100
150,6159, 72
151,6159, 100
152,6159, 100
153,6159, 100
154,6159, 80
155,6159, 100
156,6159, 100
157,6159, 72
158,6159, 100
159,6159, 100
160,6159, 87
162,6159, 100
163,6159, 100
164,6159, 72
165,6159, 100
166,6159, 100
167,6159, 100
168,6159, 100
169,6159, 100
170,6159, 100
171,6159, 100
172,6159, 100
173,6159, 88
174,6159, 100
175,6159, 50
176,6159, 100
177,6159, 100
178,6159, 94
179,6159, 100
180,6159, 100
181,6159, 75
182,6159, 100
183,6159, 100
184,6159, 52
186,6159, 100
187,6159, 100
188,6159, 68
189,6159, 100
190,6159, 100
191,6159, 56
192,6159, 100
193,6159, 100
194,6159, 52
195,6159, 100
196,6159, 100
197,6159, 75
198,6159, 100
199,6159, 100
200,6159, 100
201,6159, 59
202,6159, 100
203,6159, 100
204,6159, 60
205,6159, 100
206,6159, 100
207,6159, 43
208,6159, 100
209,6159, 100
211,6159, 92
212,6159, 100
213,6159, 82
214,6159, 100
215,6159, 100
216,6159, 72
217,6159, 100
218,6159, 100
219,6159, 87
220,6159, 100
221,6159, 100
222,6159, 100
223,6159, 100
224,6159, 46
225,6159, 100
226,6159, 100
227,6159, 100
228,6159, 100
229,6159, 100
230,6159, 91
231,6159, 100
232,6159, 100
233,6159, 100
235,6159, 100
236,6159, 70
237,6159, 100
238,6159, 86
239,6159, 100
240,6159, 100
241,6159, 72
242,6159, 100
243,6159, 100
244,6159, 100
245,6159, 100
246,6159, 100
247,6159, 86
248,6159, 100
249,6159, 100
250,6159, 100
251,6159, 78
252,6159, 100
253,6159, 59
254,6159, 100
255,6159, 100
256,6159, 100
257,6159, 100
258,6159, 49
260,6159, 100
261,6159, 100
262,6159, 99
263,6159, 100
264,6159, 100
265,6159, 37
266,6159, 100
267,6167, 92
268,6167, 100
269,6167, 100
270,6167, 49
271,6167, 100
272,6167, 100
273,6167, 100
274,6167, 100
275,6167, 74
276,6167, 100
277,6167, 100
278,6167, 63
279,6167, 100
280,6167, 100
281,6167, 100
282,6167, 100
283,6167, 100
285,6167, 54
286,6167, 100
287,6167, 100
288,6167, 100
289,6167, 100
290,6167, 56
291,6167, 100
292,6167, 100
293,6167, 38
294,6167, 100
295,6167, 100
296,6167, 56
297,6167, 100
298,6167, 100
299,6167, 63
300,6167, 100
301,6167, 100
302,6167, 55
303,6167, 100
304,6167, 100
305,6167, 56
306,6167, 100
307,6167, 100
308,6167, 58
309,6167, 100
311,6167, 100
312,6167, 100
313,6167, 75
314,6167, 100
315,6167, 100
316,6167, 75
317,6167, 100
318,6167, 100
319,6167, 65
320,6167, 100
321,6167, 100
322,6167, 100
323,6167, 100
324,6167, 100
325,6167, 100
326,6167, 100
327,6167, 58
328,6167, 100
329,6167, 100
330,6167, 84
331,6167, 100
332,6167, 100
333,6167, 75
334,6167, 100
335,6167, 100
336,6167, 62
338,6167, 100
339,6167, 100
340,6167, 49
341,6167, 100
342,6167, 100
343,6167, 68
344,6167, 100
345,6167, 100
346,6167, 100
347,6167, 100
348,6167, 90
349,6167, 89
350,6167, 100
351,6167, 100
352,6167, 95
353,6167, 100
354,6167, 100
355,6167, 86
356,6167, 100
357,6167, 100
358,6167, 100
359,6167, 54
360,6167, 100
361,6167, 100
362,6167, 100
364,6167, 49
365,6167, 100
366,6167, 100
367,6167, 100
368,6167, 50
369,6167, 100
370,6167, 100
371,6167, 100
372,6167, 71
373,6167, 100
374,6167, 100
375,6167, 45
376,6167, 100
377,6167, 100
378,6167, 53
379,6167, 100
380,6167, 100
381,6167, 100
382,6167, 68
383,6167, 100
384,6167, 100
385,6167, 88
386,6167, 84
387,6167, 100
388,6167, 100
390,6167, 94
391,6167, 80
392,6167, 100
393,6167, 100
394,6167, 49
395,6167, 100
396,6167, 100
397,6167, 80
398,6167, 100
399,6167, 100
400,6167, 44
401,6167, 100
402,6167, 100
403,6167, 100
404,6167, 100
405,6167, 100
406,6167, 97
407,6167, 78
408,6167, 100
409,6167, 100
410,6167, 89
411,6167, 100
412,6167, 100
413,6167, 100
414,6167, 100
416,6167, 100
417,6167, 100
418,6167, 100
419,6167, 100
420,6167, 70
421,6167, 100
422,6167, 100
423,6167, 58
424,6167, 100
425,6167, 100
426,6167, 45
427,6167, 100
428,6167, 100
429,6167, 80
430,6167, 100
431,6167, 100
432,6167, 100
433,6167, 79
434,6167, 100
435,6167, 100
436,6167, 52
437,6167, 100
438,6167, 100
439,6167, 68
440,6167, 100
442,6167, 100
443,6167, 49
444,6167, 100
445,6167, 100
446,6167, 100
447,6167, 100
448,6167, 100
449,6167, 100
450,6167, 100
451,6167, 100
452,6167, 52
453,6167, 100
454,6167, 100
455,6167, 56
456,6167, 100
457,6167, 100
458,6167, 47
459,6167, 100
460,6167, 100
461,6167, 95
462,6167, 100
463,6167, 100
464,6167, 100
465,6167, 81
466,6167, 100
468,6167, 100
469,6167, 100
470,6167, 78
471,6167, 100
472,6167, 100
473,6167, 100
474,6167, 100
475,6167, 100
476,6167, 100
477,6167, 45
478,6167, 100
479,6167, 100
480,6167, 24
481,6167, 100
482,6167, 50
483,6167, 100
484,6167, 100
485,6167, 86
486,6167, 100
487,6167, 100
488,6167, 67
489,6167, 100
490,6167, 100
492,6167, 54
493,6167, 100
494,6167, 100
495,6167, 64
496,6167, 100
497,6167, 100
498,6167, 48
499,6167, 100
500,6167, 96
501,6167, 100
502,6167, 100
503,6167, 41
504,6167, 100
505,6167, 100
506,6167, 100
507,6167, 31
508,6167, 100
509,6167, 100
510,6167, 90
511,6167, 100
512,6167, 76
513,6167, 100
514,6167, 100
515,6167, 100
516,6167, 47
518,6167, 100
519,6167, 100
520,6167, 100
521,6167, 35
522,6167, 100
523,6167, 100
524,6167, 48
525,6167, 100
526,6167, 100
527,6167, 100
528,6167, 50
529,6167, 100
530,6167, 100
531,6167, 96
532,6167, 100
533,6167, 100
534,6167, 67
535,6167, 100
536,6167, 100
537,6167, 39
538,6167, 100
539,6167, 100
540,6167, 85
542,6167, 92
543,6167, 100
544,6167, 100
545,6167, 84
546,6167, 90
547,6167, 100
548,6167, 100
549,6167, 88
550,6167, 100
551,6167, 100
552,6167, 59
553,6167, 100
554,6167, 100
555,6167, 64
556,6167, 100
557,6167, 78
558,6167, 100
559,6167, 100
560,6167, 61
561,6167, 100
562,6167, 100
563,6167, 68
564,6167, 100
565,6167, 100
566,6167, 89
568,6167, 100
569,6167, 100
570,6167, 100
571,6167, 100
572,6167, 72
573,6167, 100
574,6167, 100
575,6167, 63
576,6167, 100
577,6167, 100
578,6167, 55
579,6167, 100
580,6167, 100
581,6167, 45
582,6167, 100
583,6167, 55
584,6167, 100
585,6167, 100
586,6167, 97
