t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,0,76.7,12113
1.0,15,0,74.1,12131
2.1,15,0,72.2,12152
3.1,15,0,68.2,12171
4.2,15,0,72.7,12137
5.2,15,0,71.5,12097
6.2,15,0,71.2,12063
7.3,15,0,71.6,12099
8.3,15,0,73.2,12063
9.4,15,0,76.7,12476
10.4,15,0,75.0,12447
11.4,15,0,74.6,12503
12.5,15,0,72.7,12484
13.5,15,0,73.1,12496
14.5,15,0,72.7,12459
15.6,15,0,75.0,12437
16.6,15,0,75.4,12467
17.7,15,0,73.7,12343
18.7,15,0,73.8,12411
19.7,15,0,73.4,12450
20.8,15,0,72.7,12439
21.8,15,0,74.6,12464
22.8,15,0,75.8,12468
23.9,15,0,72.5,12476
24.9,15,0,72.4,12488
25.9,15,0,71.0,12414
27.0,15,0,69.5,12457
28.0,15,0,70.5,12472
29.1,15,0,70.0,11997
30.1,15,0,71.0,11997
31.1,15,0,70.2,11961
32.2,15,0,68.7,11952
33.2,15,0,70.8,12025
34.2,15,0,72.0,12304
35.3,15,0,70.0,12283
36.3,15,0,74.6,12278
37.4,15,0,69.0,12282
38.4,15,0,69.6,12229
39.4,15,0,69.6,12343
40.5,15,0,68.7,12340
41.5,15,0,64.4,12357
42.5,15,0,59.2,12359
43.6,15,0,69.0,12108
44.6,15,0,72.2,12073
45.7,15,0,73.4,12066
46.7,15,0,72.2,12078
47.7,15,0,72.0,12096
48.8,15,0,70.5,12115
49.8,15,0,71.8,12098
50.8,15,0,68.8,12116
51.9,15,0,71.0,12085
52.9,15,0,69.7,12108
54.0,15,0,69.4,12150
55.0,15,0,68.5,12148
56.0,15,0,68.1,12139
57.1,15,0,68.9,12132
58.1,15,0,68.5,12123
59.2,15,0,71.4,12098
60.2,15,0,69.5,12065
61.2,15,0,71.9,12024
62.3,15,0,70.6,12015
63.3,15,0,68.4,11994
64.4,15,0,69.1,11982
65.4,15,0,68.6,12012
66.4,15,0,69.7,11995
67.5,15,0,68.6,12025
68.5,15,0,70.9,12188
69.5,15,0,69.5,12445
70.6,15,0,68.0,12440
71.6,15,0,67.8,12403
72.6,15,0,68.1,12441
73.7,15,0,66.2,12422
74.7,15,0,68.1,12414
75.8,15,0,67.4,12406
76.8,15,0,66.9,12459
77.8,15,0,69.2,12438
78.9,15,0,68.8,12449
79.9,15,0,67.8,12467
80.9,15,0,70.8,12447
82.0,15,0,63.8,12452
83.0,15,0,48.7,12467
84.0,15,0,60.3,12320
85.1,15,0,69.4,11975
86.1,15,0,68.7,11962
87.2,15,0,68.2,11942
88.2,15,0,66.6,11946
89.2,15,0,68.7,11958
90.3,15,0,66.8,11966
91.3,15,0,68.7,11939
92.3,15,0,69.5,11962
93.4,15,0,68.9,11934
94.4,15,0,70.4,11921
95.5,15,0,69.9,11955
96.5,15,0,69.4,11960
97.5,15,0,69.8,12027
98.6,15,0,70.5,11989
99.6,15,0,71.5,12037
100.6,15,0,70.3,12035
101.7,15,0,70.5,12040
102.7,15,0,69.7,12010
103.7,15,0,72.9,11985
104.8,15,0,70.8,12046
105.8,15,0,67.3,12078
106.9,15,0,66.8,12084
107.9,15,0,66.3,12056
108.9,15,0,68.2,12006
110.0,15,0,71.0,12030
111.0,15,0,70.4,12037
112.0,15,0,72.0,12065
113.1,15,0,79.3,12075
114.1,15,0,73.5,12059
115.2,15,0,69.6,12105
116.2,15,0,70.9,12120
117.2,15,0,70.9,12104
118.3,15,0,72.2,12153
119.3,15,0,76.8,12218
120.3,15,0,76.4,12285
121.4,15,0,70.3,12309
122.4,15,0,70.4,12338
123.5,15,0,68.1,12365
124.5,15,0,64.6,12390
125.5,15,0,66.1,12359
126.6,15,0,66.8,12352
127.6,15,0,69.7,12331
128.6,15,0,72.8,12553
129.7,15,0,74.0,12739
130.7,15,0,68.2,12778
131.8,15,0,69.0,12809
132.8,15,0,69.8,12705
133.8,15,0,70.5,12753
134.9,15,0,68.8,12774
135.9,15,0,67.6,12666
137.0,15,0,69.9,12635
138.0,15,0,71.6,12631
139.0,15,0,68.4,12650
140.1,15,0,69.0,12598
141.1,15,0,67.8,12610
142.1,15,0,68.0,12611
143.2,15,0,68.0,12583
144.2,15,0,67.1,12642
145.3,15,0,72.9,12390
146.3,15,0,68.7,12390
147.3,15,0,69.4,12310
148.4,15,0,66.5,12277
149.4,15,0,69.7,12272
150.4,15,0,70.6,12215
151.5,15,0,69.9,12224
152.5,15,0,70.2,12230
153.6,15,0,69.3,12208
154.6,15,0,69.2,12209
155.6,15,0,70.9,12231
156.7,15,0,70.8,12207
157.7,15,0,68.4,12185
158.7,15,0,70.4,12237
159.8,15,0,70.6,12263
160.8,15,0,70.0,12245
161.9,15,0,69.2,12230
162.9,15,0,64.6,12288
163.9,15,0,63.3,12281
165.0,15,0,57.1,12262
166.0,15,0,69.0,12208
167.0,15,0,74.4,12208
168.1,15,0,77.6,12196
169.1,15,0,79.7,12183
170.2,15,0,82.2,12205
171.2,15,0,83.2,12224
172.2,15,0,81.3,12186
173.3,15,0,62.9,12061
