t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,102,0,0.0,8122
1.0,130,0,0.0,8332
2.1,4800,24,0.0,8672
3.1,4800,21,0.0,8704
4.1,4800,21,0.0,8698
5.1,4800,22,0.0,8700
6.1,4800,25,0.0,8727
7.2,4800,22,0.0,8739
8.2,4800,25,0.0,8755
9.2,4800,24,0.0,8737
10.2,4800,22,0.0,8741
11.2,4800,21,0.0,8730
12.3,4800,25,0.0,8724
13.3,4800,25,0.0,8735
14.3,4800,26,0.0,8685
15.3,4800,25,0.0,8685
16.3,4800,23,0.0,8697
17.4,4800,22,0.0,8695
18.4,4800,21,0.0,8653
19.4,4800,23,0.0,8641
20.4,4800,25,0.0,8646
21.5,4800,25,0.0,8645
22.5,4800,24,0.0,8654
23.5,4800,23,0.0,8652
24.5,4800,23,0.0,8656
25.5,4800,21,0.0,8655
26.6,4800,25,0.0,8653
27.6,4800,21,0.0,8657
28.6,4800,21,0.0,8640
29.6,4800,23,0.0,8643
30.6,4800,23,0.0,8650
31.7,8396,18,0.0,8817
32.7,8396,18,0.0,8820
33.7,8396,22,0.0,8787
34.7,8396,23,0.0,8807
35.7,8396,24,0.0,8830
36.8,9666,20,0.0,8812
37.8,9666,17,0.0,8812
38.8,11816,17,0.0,8816
39.8,11816,16,0.0,8829
40.8,11816,21,0.0,8828
41.9,11816,25,0.0,8805
42.9,11782,19,0.0,8790
43.9,11782,19,0.0,8808
44.9,11510,19,0.0,8808
46.0,11518,37,0.0,8838
47.0,11746,60,0.0,8847
48.0,11746,64,0.0,8849
49.0,11746,71,0.0,8848
50.1,11746,94,0.0,8846
51.1,11746,49,0.0,8828
52.1,11746,18,0.0,8842
53.1,11746,83,0.0,8841
54.1,11746,17,0.0,8841
55.2,11746,21,0.0,8847
56.2,11746,21,0.0,8859
57.2,11746,23,0.0,8857
58.2,11746,23,0.0,8880
59.2,11746,25,0.0,8874
60.3,11746,25,0.0,8888
61.3,11746,22,0.0,8864
62.3,11746,21,0.0,8863
63.3,11746,23,0.0,8845
64.3,11746,23,0.0,8842
65.4,11746,25,0.0,8833
66.4,11746,21,0.0,8834
67.4,11746,25,0.0,8837
68.4,11746,21,0.0,8855
69.5,11746,24,0.0,8862
70.5,11746,21,0.0,8857
