t_s,mem_used_mib,gpu_util_pct
0,15, 8
3,15, 0
4,15, 0
5,15, 0
6,202, 2
7,202, 14
8,2818, 5
9,2818, 0
10,2818, 0
11,2818, 0
12,7688, 100
13,5498, 100
14,5770, 45
15,5802, 0
16,6213, 35
17,6213, 10
19,6213, 68
20,6341, 100
21,6213, 100
22,6213, 100
23,6213, 43
24,6277, 100
25,6277, 100
26,6277, 64
27,6277, 100
28,6277, 66
29,6213, 100
30,6213, 100
31,6213, 75
32,6213, 100
33,6213, 64
34,6213, 100
35,6213, 100
36,6213, 47
37,6213, 100
38,6213, 100
39,6213, 52
40,6213, 100
41,6213, 100
43,6341, 100
44,6341, 100
45,6341, 93
46,6341, 100
47,6213, 100
48,6213, 71
49,6213, 100
50,6213, 100
51,6213, 39
52,6213, 100
53,6213, 78
54,6213, 100
55,6213, 100
56,6213, 98
57,6213, 100
58,6213, 100
59,6213, 67
60,6213, 100
61,6213, 100
62,6213, 67
63,6213, 100
64,6213, 100
65,6213, 45
67,6213, 100
68,6213, 100
69,6213, 100
70,6213, 100
71,6213, 68
72,6213, 100
73,6213, 100
74,6213, 51
75,6213, 100
76,6213, 100
77,6213, 100
78,6213, 100
79,6213, 100
80,6213, 100
81,6213, 100
82,6213, 24
83,6213, 100
84,6213, 100
85,6213, 100
87,6213, 100
88,6213, 89
89,6213, 100
90,6213, 48
91,6213, 100
92,6213, 97
93,6213, 100
94,6213, 100
95,6213, 100
96,6213, 60
97,6213, 100
98,6213, 61
99,6213, 100
100,6213, 48
101,6213, 100
102,6213, 72
104,6213, 100
105,6213, 91
106,6213, 100
107,6213, 100
108,6213, 100
109,6213, 100
110,6213, 100
111,6213, 77
112,6213, 100
113,6213, 92
114,6213, 100
115,6213, 100
116,6213, 100
117,6213, 100
118,6213, 84
119,6213, 100
120,6213, 93
122,6213, 100
123,6213, 34
124,6213, 100
125,6213, 40
126,6213, 100
127,6213, 100
128,6213, 100
129,6213, 84
130,6213, 100
131,6213, 65
132,6213, 100
133,6213, 100
134,6213, 100
135,6213, 100
136,6213, 21
137,6213, 100
138,6213, 94
140,6213, 100
141,6213, 99
142,6213, 100
143,6213, 100
144,6213, 100
145,6213, 100
146,6213, 100
147,6213, 83
148,6213, 100
149,6213, 29
150,6213, 100
151,6213, 91
152,6213, 100
153,6213, 100
154,6213, 38
155,6213, 100
156,6213, 21
158,6213, 100
159,6213, 81
160,6213, 100
161,6213, 83
162,6213, 100
163,6213, 100
164,6213, 100
165,6213, 62
166,6213, 100
167,6213, 23
168,6213, 100
169,6213, 64
170,6213, 100
171,6213, 100
172,6213, 100
173,6213, 100
175,6213, 100
176,6213, 100
177,6213, 90
178,6213, 100
179,6213, 72
180,6213, 100
181,6213, 100
182,6213, 55
183,6213, 100
184,6213, 100
185,6213, 100
186,6213, 52
187,6213, 100
188,6213, 100
189,6213, 100
190,6213, 100
191,6213, 100
192,6213, 100
193,6213, 100
194,6213, 51
195,6213, 100
196,6213, 100
197,6213, 100
199,6213, 100
200,6213, 83
201,6213, 100
202,6213, 100
203,6213, 58
204,6213, 100
205,6213, 100
206,6213, 75
207,6213, 100
208,6213, 54
209,6213, 100
210,6213, 100
211,6213, 78
212,6213, 100
213,6213, 100
214,6213, 74
215,6213, 100
216,6213, 100
217,6213, 91
218,6213, 100
219,6213, 100
220,6213, 73
221,6213, 100
222,6213, 100
224,6213, 100
225,6213, 100
226,6213, 100
227,6213, 100
228,6213, 100
229,6213, 100
230,6213, 100
231,6213, 100
232,6213, 49
233,6213, 100
234,6213, 81
235,6213, 100
236,6213, 100
237,6213, 100
238,6213, 100
239,6213, 43
240,6213, 100
241,6213, 100
242,6213, 67
243,6213, 100
244,6213, 100
245,6213, 54
246,6213, 100
248,6213, 100
249,6213, 90
250,6213, 100
251,6213, 100
252,6213, 100
253,6213, 100
254,6213, 54
255,6213, 100
256,6213, 100
257,6213, 100
258,6213, 100
259,6213, 100
260,6213, 100
261,6213, 83
262,6213, 100
263,6213, 100
264,6213, 94
265,6213, 100
266,6213, 100
267,6213, 93
268,6213, 100
269,6213, 100
270,6213, 99
271,6213, 100
273,6213, 100
274,6213, 62
275,6213, 100
276,6213, 100
277,6213, 73
278,6213, 100
279,6213, 100
280,6213, 85
281,6213, 100
282,6213, 63
283,6213, 100
284,6213, 100
285,6213, 55
286,6213, 100
287,6213, 100
288,6213, 88
289,6213, 100
290,6213, 100
291,6213, 87
292,6213, 100
293,6213, 100
294,6213, 70
295,6213, 100
296,6213, 100
298,6213, 64
299,6213, 100
300,6213, 100
301,6213, 100
302,6213, 100
303,6213, 96
304,6213, 100
305,6213, 100
306,6213, 64
307,6213, 100
308,6213, 66
309,6213, 100
310,6213, 100
311,6213, 78
312,6213, 100
313,6213, 100
314,6213, 73
315,6213, 100
316,6213, 100
317,6213, 57
318,6213, 100
319,6213, 100
320,6213, 70
321,6213, 100
322,6213, 100
324,6213, 72
325,6213, 100
326,6213, 100
327,6213, 100
328,6213, 100
329,6213, 66
330,6213, 100
331,6213, 100
332,6213, 57
333,6213, 100
334,6213, 100
335,6213, 100
336,6213, 100
337,6213, 100
338,6213, 100
339,6213, 100
340,6213, 100
341,6213, 100
342,6213, 41
343,6213, 100
344,6213, 100
345,6213, 100
346,6213, 100
347,6213, 90
349,6213, 100
350,6213, 100
351,6213, 89
352,6213, 100
353,6213, 100
354,6213, 54
355,6213, 100
356,6213, 100
357,6213, 100
358,6213, 100
359,6213, 100
360,6213, 100
361,6213, 78
362,6213, 100
363,6213, 100
364,6213, 93
365,6213, 100
