t_s,vram_mib,gpu_util_pct,cpu_pct,ram_mib
0.0,15,9,17.8,10186
2.6,15,0,12.7,10260
3.6,15,0,11.4,10315
4.6,15,0,18.1,10381
5.7,296,1,18.2,10634
6.7,296,0,20.2,11087
7.7,2911,4,17.8,11464
8.8,2911,0,38.1,11779
9.8,2911,0,25.4,11948
10.8,2911,0,27.8,12104
11.8,7656,0,16.1,12119
12.9,7656,100,12.8,12134
13.9,5492,100,12.7,12302
14.9,5738,54,20.8,12522
16.0,5770,0,16.5,12572
17.0,6181,87,20.9,12756
18.0,6181,0,20.9,12881
19.1,6181,96,20.5,12894
20.1,6181,100,38.7,12902
21.1,6181,88,28.9,12936
22.2,6181,100,26.2,12937
23.2,6181,100,27.2,12986
24.2,6181,76,28.6,12981
25.3,6181,100,31.5,12935
26.3,6181,100,25.0,12928
27.3,6181,73,28.1,12911
28.4,6181,100,24.4,12923
29.4,6245,100,22.5,12914
30.4,6245,74,27.8,12917
31.5,6245,100,27.7,12902
32.5,6245,100,21.0,12887
33.5,6245,100,32.0,12904
34.6,6245,100,30.6,12968
35.6,6245,100,38.0,12988
36.6,6245,100,38.8,12924
37.7,6245,46,35.9,12987
38.7,6245,100,33.4,13002
39.7,6245,96,40.3,12906
40.8,6309,100,35.2,12957
41.8,6245,100,30.5,12969
42.9,6309,66,35.1,12914
43.9,6309,100,28.7,12932
44.9,6245,100,29.3,12946
46.0,6245,76,19.7,12960
47.0,6245,100,33.9,13095
48.0,6309,100,24.1,13089
49.1,6245,100,24.9,13078
50.1,6245,100,26.3,13062
51.1,6245,97,31.4,12984
52.2,6309,100,25.0,13005
53.2,6245,100,28.8,12989
54.2,6309,51,27.2,12924
55.3,6245,100,23.3,12906
56.3,6245,100,24.3,12892
57.3,6245,70,27.6,12897
58.4,6245,100,25.0,12923
59.4,6309,100,23.0,12920
60.4,6245,61,26.5,12902
61.5,6245,100,27.2,12904
62.5,6245,90,25.3,12904
63.6,6245,100,26.4,12887
64.6,6245,88,25.8,12908
65.6,6245,100,22.7,12910
66.7,6309,100,23.4,12922
67.7,6245,68,29.1,12931
68.7,6245,100,30.4,12951
69.8,6309,100,24.5,12923
70.8,6245,100,29.8,12936
71.8,6309,100,25.6,12937
72.9,6309,100,25.7,12942
73.9,6245,100,30.4,12936
74.9,6245,100,31.4,12922
76.0,6309,76,25.7,12930
77.0,6245,100,30.0,12923
78.0,6245,100,27.9,12913
79.1,6245,100,25.8,12930
80.1,6245,100,25.7,12923
81.1,6309,54,26.8,12928
82.2,6309,100,24.1,12928
83.2,6245,100,29.4,12951
84.2,6245,97,24.0,12962
85.2,6245,100,24.7,12961
86.3,6245,61,24.4,12990
87.3,6309,100,30.1,12977
88.4,6245,100,24.6,12974
89.4,6309,84,26.4,13007
90.4,6245,100,31.1,12980
91.5,6245,99,23.1,12929
92.5,6245,100,23.4,12943
93.5,6245,82,22.7,12936
94.6,6245,100,24.5,12922
95.6,6245,100,33.7,12912
96.6,6245,100,28.5,12939
97.7,6245,100,27.8,12948
98.7,6245,100,31.4,12972
99.7,6245,100,26.3,12992
100.8,6245,99,38.7,12973
101.8,6245,100,25.2,12993
102.8,6245,100,23.0,13070
103.9,6245,45,25.5,13067
104.9,6245,100,22.5,13071
105.9,6245,100,26.2,13058
107.0,6245,96,23.8,13204
108.0,6245,68,26.1,13231
109.0,6245,100,26.8,13271
110.1,6245,100,33.9,13245
111.1,6245,78,36.1,13282
112.1,6245,100,28.2,13216
113.2,6245,100,20.5,13223
114.2,6245,100,27.5,13197
115.2,6245,55,22.5,13180
116.3,6245,100,30.2,13025
117.3,6245,100,29.0,13046
118.3,6245,68,32.6,12959
119.4,6245,100,42.6,13046
120.4,6245,100,36.6,13068
121.5,6245,100,37.5,13062
122.5,6245,100,44.1,13473
123.6,6245,100,33.6,13496
124.6,6245,22,45.7,13642
125.6,6245,100,30.7,13670
126.6,6245,100,38.0,13703
127.7,6245,95,32.9,13732
128.7,6245,89,50.4,13879
129.7,6245,100,31.6,13661
130.8,6245,100,39.3,13603
131.8,6245,60,31.7,13565
132.9,6245,100,48.5,13741
133.9,6245,100,30.7,13662
134.9,6245,100,41.7,14014
136.0,6245,46,32.6,13984
137.0,6245,100,46.0,14096
138.0,6245,100,31.4,13461
139.1,6245,41,35.2,13668
140.1,6245,100,38.7,13737
141.2,6245,100,34.8,13633
142.2,6245,100,37.7,13644
143.2,6245,50,34.9,13535
144.3,6245,100,44.4,13592
145.3,6245,100,36.6,13596
146.3,6245,46,38.8,13649
147.4,6245,100,32.5,13768
148.4,6245,100,49.2,13930
149.4,6245,52,27.9,13953
150.5,6245,100,44.8,13427
151.5,6245,100,31.5,13499
152.5,6245,100,50.8,13647
153.6,6245,100,30.3,13647
154.6,6245,100,42.6,13629
155.6,6245,77,31.7,13634
156.7,6245,100,51.8,13903
157.7,6245,100,25.7,13877
158.7,6245,56,33.9,13631
159.8,6245,100,32.1,13416
160.8,6245,100,52.4,13759
161.8,6245,100,28.8,13686
162.9,6245,51,43.3,13388
163.9,6245,100,40.8,13607
165.0,6245,100,32.6,13635
166.0,6245,100,41.0,13774
167.1,6245,100,42.7,13965
168.1,6245,100,35.2,13437
169.1,6245,61,35.1,13393
170.2,6245,100,35.0,13384
171.2,6245,100,36.1,13247
172.2,6245,100,39.8,13545
173.3,6245,62,32.8,13685
174.3,6245,100,43.3,13820
175.3,6245,100,34.1,13836
176.4,6245,25,37.3,14030
177.4,6245,100,33.7,14061
178.4,6245,100,51.5,14196
179.5,6245,20,34.2,14505
180.5,6245,100,39.2,15191
181.5,6245,59,39.5,15262
182.6,6245,100,46.9,14998
183.6,6245,100,32.8,15312
184.6,6245,80,49.5,15931
185.7,6245,89,36.4,16162
186.7,6245,100,47.1,16158
187.7,6245,100,27.1,16145
188.8,6245,29,38.6,16246
189.8,6245,100,35.1,16194
190.8,6245,100,45.3,16313
191.9,6245,100,31.6,15357
192.9,6245,99,38.3,14542
193.9,6245,100,36.7,14549
195.0,6245,100,48.1,14628
196.0,6245,35,34.4,14534
197.1,6245,100,30.1,14808
198.1,6245,100,41.0,15081
199.1,6245,69,48.5,14943
200.2,6245,100,37.7,14151
201.2,6245,100,31.3,14529
202.2,6245,100,40.0,14493
203.3,6245,66,40.1,14392
204.3,6245,100,35.2,14282
205.3,6245,100,32.4,14540
206.4,6245,55,42.3,14623
207.4,6245,100,47.6,14497
208.4,6245,100,35.4,13993
209.5,6245,50,28.9,14277
210.5,6245,100,46.8,14441
211.6,6245,82,37.5,14443
212.6,6245,95,33.8,13959
213.6,6245,100,35.1,14735
214.7,6245,100,32.2,14814
215.7,6245,14,41.4,14746
216.7,6245,100,44.8,14727
217.8,6245,100,29.6,14068
218.8,6245,79,32.1,14343
219.8,6245,100,33.6,14349
220.9,6245,100,40.8,14367
221.9,6245,100,41.6,14623
222.9,6245,80,24.8,14582
224.0,6245,100,49.2,14838
225.0,6245,100,34.9,14787
226.0,6245,100,32.6,14969
227.1,6245,62,28.1,14998
228.1,6245,100,50.7,15140
229.1,6245,100,33.5,15103
230.2,6245,34,36.1,15331
231.2,6245,100,36.5,15408
232.2,6245,100,49.8,16110
233.3,6245,52,39.3,15918
234.3,6245,100,32.5,15027
235.3,6245,100,28.6,15211
236.4,6245,100,41.1,15335
237.4,6245,43,38.3,15334
238.4,6245,100,37.0,15423
239.5,6245,100,31.0,15486
240.5,6245,50,43.3,15416
241.5,6245,100,37.6,15331
242.6,6245,47,35.7,14923
243.6,6245,100,29.5,14839
244.6,6245,100,43.5,14763
245.7,6245,95,43.8,14799
246.7,6245,100,33.8,14859
247.8,6245,100,33.2,15202
248.8,6245,100,36.3,15040
249.8,6245,79,55.6,15097
250.9,6245,100,31.8,14954
251.9,6245,100,29.9,15013
252.9,6245,57,36.5,14977
254.0,6245,100,55.7,14882
255.0,6245,100,36.2,15002
256.0,6245,73,34.3,14907
257.1,6245,100,28.9,14885
258.1,6245,100,52.6,15175
259.1,6245,100,33.0,15281
260.2,6245,74,34.7,15444
261.2,6245,100,33.6,15407
262.2,6245,100,52.7,15450
263.3,6245,44,35.2,15429
264.3,6245,100,36.0,14327
265.3,6245,100,33.0,14608
266.4,6245,93,34.6,14606
267.4,6245,100,45.0,14846
268.4,6245,100,46.9,14820
269.5,6245,100,31.3,14092
270.5,6245,99,30.4,14104
271.6,6245,100,30.9,14008
272.6,6245,42,29.5,13993
273.6,6245,100,23.0,14064
274.7,6245,100,25.4,14295
275.7,6245,96,24.1,14293
276.7,6245,98,31.1,14311
277.8,6245,100,26.5,14421
278.8,6245,100,23.8,14262
279.8,6245,50,27.3,14217
280.9,6245,100,37.0,14319
281.9,6245,100,32.8,14570
282.9,6245,81,28.3,14756
284.0,6245,100,32.9,15143
285.0,6245,100,39.6,15796
286.0,6245,100,36.7,15786
287.1,6245,42,35.7,16446
288.1,6245,100,35.5,16023
289.1,6245,100,28.1,15772
290.2,6245,84,28.6,15531
291.2,6245,100,33.9,15401
292.2,6245,100,25.6,15640
293.3,6245,100,28.3,16379
294.3,6245,53,35.4,15804
295.3,6245,100,27.5,15881
296.4,6245,100,22.5,15789
297.4,6245,100,25.5,15763
298.4,6245,89,31.5,15722
299.5,6245,100,28.9,15651
300.5,6245,100,26.6,15578
301.6,6245,100,27.9,14665
302.6,6245,100,25.7,14603
303.6,6245,44,32.3,14584
304.7,6245,100,26.1,14290
305.7,6245,100,19.3,14265
306.7,6245,100,24.8,14232
307.8,6245,47,27.5,14226
308.8,6245,100,31.4,14212
309.8,6245,100,23.3,14183
310.9,6245,50,25.5,14173
311.9,6245,100,28.0,14176
312.9,6245,100,27.0,14190
314.0,6245,100,26.1,14187
315.0,6245,88,26.5,14199
316.1,6245,100,26.5,14229
317.1,6245,100,29.0,14652
318.1,6245,46,31.5,15115
319.2,6245,100,20.5,15255
320.2,6245,100,33.5,14526
321.2,6245,100,29.2,14440
322.3,6245,100,25.5,14416
323.3,6245,100,22.2,14384
324.3,6245,100,25.1,14284
325.4,6245,37,33.7,14226
326.4,6245,100,26.3,14226
327.4,6245,100,27.0,14259
328.5,6245,92,23.2,14254
329.5,6245,100,29.1,14302
330.5,6245,100,28.9,14512
331.6,6245,100,29.0,14653
332.6,6245,100,24.6,14717
333.6,6245,100,27.7,14720
334.7,6245,42,26.7,14687
335.7,6245,100,29.2,14712
336.7,6245,100,25.2,14614
337.8,6245,96,30.7,14571
338.8,6245,100,34.9,14663
339.8,6245,100,27.1,14625
340.9,6245,100,22.3,14697
341.9,6245,88,26.7,14637
342.9,6245,100,23.4,14628
344.0,6245,100,22.6,14783
345.0,6245,66,25.1,14788
346.1,6245,100,20.2,14784
347.1,6245,100,25.0,14760
348.1,6245,100,20.6,14738
349.1,6245,58,19.5,14567
350.2,6245,100,14.4,14545
351.2,6245,100,19.1,14517
352.2,6245,75,25.5,14862
353.3,6245,100,17.1,14956
